forest_index,dataset,type,strategy,iteration,class,metric,value
0,arrhythmia,bagging,random,0,-1,precision,0.945054945054945
0,arrhythmia,bagging,random,0,-1,recall,1.0
0,arrhythmia,bagging,random,0,-1,f1-score,0.9717514124293786
0,arrhythmia,bagging,random,0,1,precision,0.0
0,arrhythmia,bagging,random,0,1,recall,0.0
0,arrhythmia,bagging,random,0,1,f1-score,0.0
0,arrhythmia,bagging,random,0,all,accuracy,0.945054945054945
0,arrhythmia,bagging,random,0,all,precision,0.4725274725274725
0,arrhythmia,bagging,random,0,all,recall,0.5
0,arrhythmia,bagging,random,0,all,f1-score,0.4858757062146893
0,arrhythmia,bagging,random,0,all,auc,0.9662790697674419
0,arrhythmia,bagging,random,0,all,g-mean,0.0
1,arrhythmia,bagging,random,1,-1,precision,0.945054945054945
1,arrhythmia,bagging,random,1,-1,recall,1.0
1,arrhythmia,bagging,random,1,-1,f1-score,0.9717514124293786
1,arrhythmia,bagging,random,1,1,precision,0.0
1,arrhythmia,bagging,random,1,1,recall,0.0
1,arrhythmia,bagging,random,1,1,f1-score,0.0
1,arrhythmia,bagging,random,1,all,accuracy,0.945054945054945
1,arrhythmia,bagging,random,1,all,precision,0.4725274725274725
1,arrhythmia,bagging,random,1,all,recall,0.5
1,arrhythmia,bagging,random,1,all,f1-score,0.4858757062146893
1,arrhythmia,bagging,random,1,all,auc,0.9813953488372094
1,arrhythmia,bagging,random,1,all,g-mean,0.0
2,arrhythmia,bagging,random,2,-1,precision,0.945054945054945
2,arrhythmia,bagging,random,2,-1,recall,1.0
2,arrhythmia,bagging,random,2,-1,f1-score,0.9717514124293786
2,arrhythmia,bagging,random,2,1,precision,0.0
2,arrhythmia,bagging,random,2,1,recall,0.0
2,arrhythmia,bagging,random,2,1,f1-score,0.0
2,arrhythmia,bagging,random,2,all,accuracy,0.945054945054945
2,arrhythmia,bagging,random,2,all,precision,0.4725274725274725
2,arrhythmia,bagging,random,2,all,recall,0.5
2,arrhythmia,bagging,random,2,all,f1-score,0.4858757062146893
2,arrhythmia,bagging,random,2,all,auc,0.9523255813953488
2,arrhythmia,bagging,random,2,all,g-mean,0.0
3,arrhythmia,bagging,random,3,-1,precision,0.945054945054945
3,arrhythmia,bagging,random,3,-1,recall,1.0
3,arrhythmia,bagging,random,3,-1,f1-score,0.9717514124293786
3,arrhythmia,bagging,random,3,1,precision,0.0
3,arrhythmia,bagging,random,3,1,recall,0.0
3,arrhythmia,bagging,random,3,1,f1-score,0.0
3,arrhythmia,bagging,random,3,all,accuracy,0.945054945054945
3,arrhythmia,bagging,random,3,all,precision,0.4725274725274725
3,arrhythmia,bagging,random,3,all,recall,0.5
3,arrhythmia,bagging,random,3,all,f1-score,0.4858757062146893
3,arrhythmia,bagging,random,3,all,auc,0.9941860465116279
3,arrhythmia,bagging,random,3,all,g-mean,0.0
4,arrhythmia,bagging,random,4,-1,precision,0.945054945054945
4,arrhythmia,bagging,random,4,-1,recall,1.0
4,arrhythmia,bagging,random,4,-1,f1-score,0.9717514124293786
4,arrhythmia,bagging,random,4,1,precision,0.0
4,arrhythmia,bagging,random,4,1,recall,0.0
4,arrhythmia,bagging,random,4,1,f1-score,0.0
4,arrhythmia,bagging,random,4,all,accuracy,0.945054945054945
4,arrhythmia,bagging,random,4,all,precision,0.4725274725274725
4,arrhythmia,bagging,random,4,all,recall,0.5
4,arrhythmia,bagging,random,4,all,f1-score,0.4858757062146893
4,arrhythmia,bagging,random,4,all,auc,0.9790697674418605
4,arrhythmia,bagging,random,4,all,g-mean,0.0
5,arrhythmia,bagging,random,5,-1,precision,0.945054945054945
5,arrhythmia,bagging,random,5,-1,recall,1.0
5,arrhythmia,bagging,random,5,-1,f1-score,0.9717514124293786
5,arrhythmia,bagging,random,5,1,precision,0.0
5,arrhythmia,bagging,random,5,1,recall,0.0
5,arrhythmia,bagging,random,5,1,f1-score,0.0
5,arrhythmia,bagging,random,5,all,accuracy,0.945054945054945
5,arrhythmia,bagging,random,5,all,precision,0.4725274725274725
5,arrhythmia,bagging,random,5,all,recall,0.5
5,arrhythmia,bagging,random,5,all,f1-score,0.4858757062146893
5,arrhythmia,bagging,random,5,all,auc,0.9965116279069768
5,arrhythmia,bagging,random,5,all,g-mean,0.0
6,arrhythmia,bagging,random,6,-1,precision,0.945054945054945
6,arrhythmia,bagging,random,6,-1,recall,1.0
6,arrhythmia,bagging,random,6,-1,f1-score,0.9717514124293786
6,arrhythmia,bagging,random,6,1,precision,0.0
6,arrhythmia,bagging,random,6,1,recall,0.0
6,arrhythmia,bagging,random,6,1,f1-score,0.0
6,arrhythmia,bagging,random,6,all,accuracy,0.945054945054945
6,arrhythmia,bagging,random,6,all,precision,0.4725274725274725
6,arrhythmia,bagging,random,6,all,recall,0.5
6,arrhythmia,bagging,random,6,all,f1-score,0.4858757062146893
6,arrhythmia,bagging,random,6,all,auc,0.9906976744186047
6,arrhythmia,bagging,random,6,all,g-mean,0.0
7,arrhythmia,bagging,random,7,-1,precision,0.945054945054945
7,arrhythmia,bagging,random,7,-1,recall,1.0
7,arrhythmia,bagging,random,7,-1,f1-score,0.9717514124293786
7,arrhythmia,bagging,random,7,1,precision,0.0
7,arrhythmia,bagging,random,7,1,recall,0.0
7,arrhythmia,bagging,random,7,1,f1-score,0.0
7,arrhythmia,bagging,random,7,all,accuracy,0.945054945054945
7,arrhythmia,bagging,random,7,all,precision,0.4725274725274725
7,arrhythmia,bagging,random,7,all,recall,0.5
7,arrhythmia,bagging,random,7,all,f1-score,0.4858757062146893
7,arrhythmia,bagging,random,7,all,auc,0.9
7,arrhythmia,bagging,random,7,all,g-mean,0.0
8,arrhythmia,bagging,random,8,-1,precision,0.945054945054945
8,arrhythmia,bagging,random,8,-1,recall,1.0
8,arrhythmia,bagging,random,8,-1,f1-score,0.9717514124293786
8,arrhythmia,bagging,random,8,1,precision,0.0
8,arrhythmia,bagging,random,8,1,recall,0.0
8,arrhythmia,bagging,random,8,1,f1-score,0.0
8,arrhythmia,bagging,random,8,all,accuracy,0.945054945054945
8,arrhythmia,bagging,random,8,all,precision,0.4725274725274725
8,arrhythmia,bagging,random,8,all,recall,0.5
8,arrhythmia,bagging,random,8,all,f1-score,0.4858757062146893
8,arrhythmia,bagging,random,8,all,auc,0.9627906976744186
8,arrhythmia,bagging,random,8,all,g-mean,0.0
9,arrhythmia,bagging,random,9,-1,precision,0.945054945054945
9,arrhythmia,bagging,random,9,-1,recall,1.0
9,arrhythmia,bagging,random,9,-1,f1-score,0.9717514124293786
9,arrhythmia,bagging,random,9,1,precision,0.0
9,arrhythmia,bagging,random,9,1,recall,0.0
9,arrhythmia,bagging,random,9,1,f1-score,0.0
9,arrhythmia,bagging,random,9,all,accuracy,0.945054945054945
9,arrhythmia,bagging,random,9,all,precision,0.4725274725274725
9,arrhythmia,bagging,random,9,all,recall,0.5
9,arrhythmia,bagging,random,9,all,f1-score,0.4858757062146893
9,arrhythmia,bagging,random,9,all,auc,0.9639534883720929
9,arrhythmia,bagging,random,9,all,g-mean,0.0
10,arrhythmia,bagging,random,10,-1,precision,0.945054945054945
10,arrhythmia,bagging,random,10,-1,recall,1.0
10,arrhythmia,bagging,random,10,-1,f1-score,0.9717514124293786
10,arrhythmia,bagging,random,10,1,precision,0.0
10,arrhythmia,bagging,random,10,1,recall,0.0
10,arrhythmia,bagging,random,10,1,f1-score,0.0
10,arrhythmia,bagging,random,10,all,accuracy,0.945054945054945
10,arrhythmia,bagging,random,10,all,precision,0.4725274725274725
10,arrhythmia,bagging,random,10,all,recall,0.5
10,arrhythmia,bagging,random,10,all,f1-score,0.4858757062146893
10,arrhythmia,bagging,random,10,all,auc,0.9569767441860465
10,arrhythmia,bagging,random,10,all,g-mean,0.0
11,arrhythmia,bagging,random,11,-1,precision,0.945054945054945
11,arrhythmia,bagging,random,11,-1,recall,1.0
11,arrhythmia,bagging,random,11,-1,f1-score,0.9717514124293786
11,arrhythmia,bagging,random,11,1,precision,0.0
11,arrhythmia,bagging,random,11,1,recall,0.0
11,arrhythmia,bagging,random,11,1,f1-score,0.0
11,arrhythmia,bagging,random,11,all,accuracy,0.945054945054945
11,arrhythmia,bagging,random,11,all,precision,0.4725274725274725
11,arrhythmia,bagging,random,11,all,recall,0.5
11,arrhythmia,bagging,random,11,all,f1-score,0.4858757062146893
11,arrhythmia,bagging,random,11,all,auc,0.941860465116279
11,arrhythmia,bagging,random,11,all,g-mean,0.0
12,arrhythmia,bagging,random,12,-1,precision,0.945054945054945
12,arrhythmia,bagging,random,12,-1,recall,1.0
12,arrhythmia,bagging,random,12,-1,f1-score,0.9717514124293786
12,arrhythmia,bagging,random,12,1,precision,0.0
12,arrhythmia,bagging,random,12,1,recall,0.0
12,arrhythmia,bagging,random,12,1,f1-score,0.0
12,arrhythmia,bagging,random,12,all,accuracy,0.945054945054945
12,arrhythmia,bagging,random,12,all,precision,0.4725274725274725
12,arrhythmia,bagging,random,12,all,recall,0.5
12,arrhythmia,bagging,random,12,all,f1-score,0.4858757062146893
12,arrhythmia,bagging,random,12,all,auc,0.886046511627907
12,arrhythmia,bagging,random,12,all,g-mean,0.0
13,arrhythmia,bagging,random,13,-1,precision,0.945054945054945
13,arrhythmia,bagging,random,13,-1,recall,1.0
13,arrhythmia,bagging,random,13,-1,f1-score,0.9717514124293786
13,arrhythmia,bagging,random,13,1,precision,0.0
13,arrhythmia,bagging,random,13,1,recall,0.0
13,arrhythmia,bagging,random,13,1,f1-score,0.0
13,arrhythmia,bagging,random,13,all,accuracy,0.945054945054945
13,arrhythmia,bagging,random,13,all,precision,0.4725274725274725
13,arrhythmia,bagging,random,13,all,recall,0.5
13,arrhythmia,bagging,random,13,all,f1-score,0.4858757062146893
13,arrhythmia,bagging,random,13,all,auc,0.9662790697674419
13,arrhythmia,bagging,random,13,all,g-mean,0.0
14,arrhythmia,bagging,random,14,-1,precision,0.945054945054945
14,arrhythmia,bagging,random,14,-1,recall,1.0
