forest_index,dataset,type,strategy,iteration,class,metric,value
0,ecoli,bagging,random,0,-1,precision,0.95
0,ecoli,bagging,random,0,-1,recall,0.9344262295081968
0,ecoli,bagging,random,0,-1,f1-score,0.9421487603305785
0,ecoli,bagging,random,0,1,precision,0.5
0,ecoli,bagging,random,0,1,recall,0.5714285714285714
0,ecoli,bagging,random,0,1,f1-score,0.5333333333333333
0,ecoli,bagging,random,0,all,accuracy,0.8970588235294118
0,ecoli,bagging,random,0,all,precision,0.725
0,ecoli,bagging,random,0,all,recall,0.7529274004683841
0,ecoli,bagging,random,0,all,f1-score,0.7377410468319558
0,ecoli,bagging,random,0,all,auc,0.9238875878220141
0,ecoli,bagging,random,0,all,g-mean,0.730724192451061
1,ecoli,bagging,random,1,-1,precision,0.9833333333333333
1,ecoli,bagging,random,1,-1,recall,0.9672131147540983
1,ecoli,bagging,random,1,-1,f1-score,0.9752066115702479
1,ecoli,bagging,random,1,1,precision,0.75
1,ecoli,bagging,random,1,1,recall,0.8571428571428571
1,ecoli,bagging,random,1,1,f1-score,0.8
1,ecoli,bagging,random,1,all,accuracy,0.9558823529411765
1,ecoli,bagging,random,1,all,precision,0.8666666666666667
1,ecoli,bagging,random,1,all,recall,0.9121779859484778
1,ecoli,bagging,random,1,all,f1-score,0.887603305785124
1,ecoli,bagging,random,1,all,auc,0.9613583138173304
1,ecoli,bagging,random,1,all,g-mean,0.9105162341476235
2,ecoli,bagging,random,2,-1,precision,0.9384615384615385
2,ecoli,bagging,random,2,-1,recall,1.0
2,ecoli,bagging,random,2,-1,f1-score,0.9682539682539683
2,ecoli,bagging,random,2,1,precision,1.0
2,ecoli,bagging,random,2,1,recall,0.42857142857142855
2,ecoli,bagging,random,2,1,f1-score,0.6
2,ecoli,bagging,random,2,all,accuracy,0.9411764705882353
2,ecoli,bagging,random,2,all,precision,0.9692307692307692
2,ecoli,bagging,random,2,all,recall,0.7142857142857143
2,ecoli,bagging,random,2,all,f1-score,0.7841269841269841
2,ecoli,bagging,random,2,all,auc,0.9637002341920374
2,ecoli,bagging,random,2,all,g-mean,0.6546536707079771
3,ecoli,bagging,random,3,-1,precision,0.9230769230769231
3,ecoli,bagging,random,3,-1,recall,0.9836065573770492
3,ecoli,bagging,random,3,-1,f1-score,0.9523809523809523
3,ecoli,bagging,random,3,1,precision,0.6666666666666666
3,ecoli,bagging,random,3,1,recall,0.2857142857142857
3,ecoli,bagging,random,3,1,f1-score,0.4
3,ecoli,bagging,random,3,all,accuracy,0.9117647058823529
3,ecoli,bagging,random,3,all,precision,0.7948717948717949
3,ecoli,bagging,random,3,all,recall,0.6346604215456675
3,ecoli,bagging,random,3,all,f1-score,0.6761904761904762
3,ecoli,bagging,random,3,all,auc,0.8372365339578455
3,ecoli,bagging,random,3,all,g-mean,0.5301230470040622
4,ecoli,bagging,random,4,-1,precision,0.9344262295081968
4,ecoli,bagging,random,4,-1,recall,0.9344262295081968
4,ecoli,bagging,random,4,-1,f1-score,0.9344262295081968
4,ecoli,bagging,random,4,1,precision,0.42857142857142855
4,ecoli,bagging,random,4,1,recall,0.42857142857142855
4,ecoli,bagging,random,4,1,f1-score,0.42857142857142855
4,ecoli,bagging,random,4,all,accuracy,0.8823529411764706
4,ecoli,bagging,random,4,all,precision,0.6814988290398126
4,ecoli,bagging,random,4,all,recall,0.6814988290398126
4,ecoli,bagging,random,4,all,f1-score,0.6814988290398126
4,ecoli,bagging,random,4,all,auc,0.8911007025761124
4,ecoli,bagging,random,4,all,g-mean,0.632825713822488
5,ecoli,bagging,random,5,-1,precision,0.9384615384615385
5,ecoli,bagging,random,5,-1,recall,1.0
5,ecoli,bagging,random,5,-1,f1-score,0.9682539682539683
5,ecoli,bagging,random,5,1,precision,1.0
5,ecoli,bagging,random,5,1,recall,0.42857142857142855
5,ecoli,bagging,random,5,1,f1-score,0.6
5,ecoli,bagging,random,5,all,accuracy,0.9411764705882353
5,ecoli,bagging,random,5,all,precision,0.9692307692307692
5,ecoli,bagging,random,5,all,recall,0.7142857142857143
5,ecoli,bagging,random,5,all,f1-score,0.7841269841269841
5,ecoli,bagging,random,5,all,auc,0.9742388758782201
5,ecoli,bagging,random,5,all,g-mean,0.6546536707079771
6,ecoli,bagging,random,6,-1,precision,0.9523809523809523
6,ecoli,bagging,random,6,-1,recall,0.9836065573770492
6,ecoli,bagging,random,6,-1,f1-score,0.967741935483871
6,ecoli,bagging,random,6,1,precision,0.8
6,ecoli,bagging,random,6,1,recall,0.5714285714285714
6,ecoli,bagging,random,6,1,f1-score,0.6666666666666666
6,ecoli,bagging,random,6,all,accuracy,0.9411764705882353
6,ecoli,bagging,random,6,all,precision,0.8761904761904762
6,ecoli,bagging,random,6,all,recall,0.7775175644028103
6,ecoli,bagging,random,6,all,f1-score,0.8172043010752688
6,ecoli,bagging,random,6,all,auc,0.9484777517564402
6,ecoli,bagging,random,6,all,g-mean,0.7497072027996945
7,ecoli,bagging,random,7,-1,precision,0.9104477611940298
7,ecoli,bagging,random,7,-1,recall,1.0
7,ecoli,bagging,random,7,-1,f1-score,0.953125
7,ecoli,bagging,random,7,1,precision,1.0
7,ecoli,bagging,random,7,1,recall,0.14285714285714285
7,ecoli,bagging,random,7,1,f1-score,0.25
