forest_index,dataset,type,strategy,iteration,class,metric,value
0,ecoli,bagging,random,0,-1,precision,0.9649122807017544
0,ecoli,bagging,random,0,-1,recall,0.9016393442622951
0,ecoli,bagging,random,0,-1,f1-score,0.9322033898305084
0,ecoli,bagging,random,0,1,precision,0.45454545454545453
0,ecoli,bagging,random,0,1,recall,0.7142857142857143
0,ecoli,bagging,random,0,1,f1-score,0.5555555555555556
0,ecoli,bagging,random,0,all,accuracy,0.8823529411764706
0,ecoli,bagging,random,0,all,precision,0.7097288676236044
0,ecoli,bagging,random,0,all,recall,0.8079625292740047
0,ecoli,bagging,random,0,all,f1-score,0.743879472693032
0,ecoli,bagging,random,0,all,auc,0.8548009367681498
0,ecoli,bagging,random,0,all,g-mean,0.8025136154885452
1,ecoli,bagging,random,1,-1,precision,0.9354838709677419
1,ecoli,bagging,random,1,-1,recall,0.9508196721311475
1,ecoli,bagging,random,1,-1,f1-score,0.943089430894309
1,ecoli,bagging,random,1,1,precision,0.5
1,ecoli,bagging,random,1,1,recall,0.42857142857142855
1,ecoli,bagging,random,1,1,f1-score,0.46153846153846156
1,ecoli,bagging,random,1,all,accuracy,0.8970588235294118
1,ecoli,bagging,random,1,all,precision,0.717741935483871
1,ecoli,bagging,random,1,all,recall,0.689695550351288
1,ecoli,bagging,random,1,all,f1-score,0.7023139462163852
1,ecoli,bagging,random,1,all,auc,0.9508196721311475
1,ecoli,bagging,random,1,all,g-mean,0.6383526808896969
2,ecoli,bagging,random,2,-1,precision,0.9354838709677419
2,ecoli,bagging,random,2,-1,recall,0.9508196721311475
2,ecoli,bagging,random,2,-1,f1-score,0.943089430894309
2,ecoli,bagging,random,2,1,precision,0.5
2,ecoli,bagging,random,2,1,recall,0.42857142857142855
2,ecoli,bagging,random,2,1,f1-score,0.46153846153846156
2,ecoli,bagging,random,2,all,accuracy,0.8970588235294118
2,ecoli,bagging,random,2,all,precision,0.717741935483871
2,ecoli,bagging,random,2,all,recall,0.689695550351288
2,ecoli,bagging,random,2,all,f1-score,0.7023139462163852
2,ecoli,bagging,random,2,all,auc,0.9578454332552693
2,ecoli,bagging,random,2,all,g-mean,0.6383526808896969
3,ecoli,bagging,random,3,-1,precision,0.9672131147540983
3,ecoli,bagging,random,3,-1,recall,0.9672131147540983
3,ecoli,bagging,random,3,-1,f1-score,0.9672131147540983
3,ecoli,bagging,random,3,1,precision,0.7142857142857143
3,ecoli,bagging,random,3,1,recall,0.7142857142857143
3,ecoli,bagging,random,3,1,f1-score,0.7142857142857143
3,ecoli,bagging,random,3,all,accuracy,0.9411764705882353
3,ecoli,bagging,random,3,all,precision,0.8407494145199064
3,ecoli,bagging,random,3,all,recall,0.8407494145199064
3,ecoli,bagging,random,3,all,f1-score,0.8407494145199064
3,ecoli,bagging,random,3,all,auc,0.9250585480093676
3,ecoli,bagging,random,3,all,g-mean,0.831183800695515
4,ecoli,bagging,random,4,-1,precision,0.9354838709677419
4,ecoli,bagging,random,4,-1,recall,0.9508196721311475
4,ecoli,bagging,random,4,-1,f1-score,0.943089430894309
4,ecoli,bagging,random,4,1,precision,0.5
4,ecoli,bagging,random,4,1,recall,0.42857142857142855
4,ecoli,bagging,random,4,1,f1-score,0.46153846153846156
4,ecoli,bagging,random,4,all,accuracy,0.8970588235294118
4,ecoli,bagging,random,4,all,precision,0.717741935483871
4,ecoli,bagging,random,4,all,recall,0.689695550351288
4,ecoli,bagging,random,4,all,f1-score,0.7023139462163852
4,ecoli,bagging,random,4,all,auc,0.9168618266978923
4,ecoli,bagging,random,4,all,g-mean,0.6383526808896969
5,ecoli,bagging,random,5,-1,precision,0.9836065573770492
5,ecoli,bagging,random,5,-1,recall,0.9836065573770492
5,ecoli,bagging,random,5,-1,f1-score,0.9836065573770492
5,ecoli,bagging,random,5,1,precision,0.8571428571428571
5,ecoli,bagging,random,5,1,recall,0.8571428571428571
5,ecoli,bagging,random,5,1,f1-score,0.8571428571428571
5,ecoli,bagging,random,5,all,accuracy,0.9705882352941176
5,ecoli,bagging,random,5,all,precision,0.9203747072599531
5,ecoli,bagging,random,5,all,recall,0.9203747072599531
5,ecoli,bagging,random,5,all,f1-score,0.9203747072599531
5,ecoli,bagging,random,5,all,auc,0.9800936768149882
5,ecoli,bagging,random,5,all,g-mean,0.9182000516742599
6,ecoli,bagging,random,6,-1,precision,0.9354838709677419
