forest_index,dataset,type,strategy,iteration,class,metric,value
0,ecoli,bagging,random,0,-1,precision,0.9523809523809523
0,ecoli,bagging,random,0,-1,recall,0.9836065573770492
0,ecoli,bagging,random,0,-1,f1-score,0.967741935483871
0,ecoli,bagging,random,0,1,precision,0.8
0,ecoli,bagging,random,0,1,recall,0.5714285714285714
0,ecoli,bagging,random,0,1,f1-score,0.6666666666666666
0,ecoli,bagging,random,0,all,accuracy,0.9411764705882353
0,ecoli,bagging,random,0,all,precision,0.8761904761904762
0,ecoli,bagging,random,0,all,recall,0.7775175644028103
0,ecoli,bagging,random,0,all,f1-score,0.8172043010752688
0,ecoli,bagging,random,0,all,auc,0.9824355971896955
0,ecoli,bagging,random,0,all,g-mean,0.7497072027996945
1,ecoli,bagging,random,1,-1,precision,0.9833333333333333
1,ecoli,bagging,random,1,-1,recall,0.9672131147540983
1,ecoli,bagging,random,1,-1,f1-score,0.9752066115702479
1,ecoli,bagging,random,1,1,precision,0.75
1,ecoli,bagging,random,1,1,recall,0.8571428571428571
1,ecoli,bagging,random,1,1,f1-score,0.8
1,ecoli,bagging,random,1,all,accuracy,0.9558823529411765
1,ecoli,bagging,random,1,all,precision,0.8666666666666667
1,ecoli,bagging,random,1,all,recall,0.9121779859484778
1,ecoli,bagging,random,1,all,f1-score,0.887603305785124
1,ecoli,bagging,random,1,all,auc,0.9566744730679156
1,ecoli,bagging,random,1,all,g-mean,0.9105162341476235
2,ecoli,bagging,random,2,-1,precision,0.9384615384615385
2,ecoli,bagging,random,2,-1,recall,1.0
2,ecoli,bagging,random,2,-1,f1-score,0.9682539682539683
2,ecoli,bagging,random,2,1,precision,1.0
2,ecoli,bagging,random,2,1,recall,0.42857142857142855
2,ecoli,bagging,random,2,1,f1-score,0.6
2,ecoli,bagging,random,2,all,accuracy,0.9411764705882353
2,ecoli,bagging,random,2,all,precision,0.9692307692307692
2,ecoli,bagging,random,2,all,recall,0.7142857142857143
2,ecoli,bagging,random,2,all,f1-score,0.7841269841269841
2,ecoli,bagging,random,2,all,auc,0.949648711943794
2,ecoli,bagging,random,2,all,g-mean,0.6546536707079771
3,ecoli,bagging,random,3,-1,precision,0.9206349206349206
3,ecoli,bagging,random,3,-1,recall,0.9508196721311475
3,ecoli,bagging,random,3,-1,f1-score,0.9354838709677419
3,ecoli,bagging,random,3,1,precision,0.4
3,ecoli,bagging,random,3,1,recall,0.2857142857142857
3,ecoli,bagging,random,3,1,f1-score,0.3333333333333333
3,ecoli,bagging,random,3,all,accuracy,0.8823529411764706
3,ecoli,bagging,random,3,all,precision,0.6603174603174603
3,ecoli,bagging,random,3,all,recall,0.6182669789227166
3,ecoli,bagging,random,3,all,f1-score,0.6344086021505376
3,ecoli,bagging,random,3,all,auc,0.8817330210772834
3,ecoli,bagging,random,3,all,g-mean,0.5212127813724853
4,ecoli,bagging,random,4,-1,precision,0.9365079365079365
4,ecoli,bagging,random,4,-1,recall,0.9672131147540983
4,ecoli,bagging,random,4,-1,f1-score,0.9516129032258065
4,ecoli,bagging,random,4,1,precision,0.6
4,ecoli,bagging,random,4,1,recall,0.42857142857142855
4,ecoli,bagging,random,4,1,f1-score,0.5
4,ecoli,bagging,random,4,all,accuracy,0.9117647058823529
4,ecoli,bagging,random,4,all,precision,0.7682539682539682
4,ecoli,bagging,random,4,all,recall,0.6978922716627635
4,ecoli,bagging,random,4,all,f1-score,0.7258064516129032
4,ecoli,bagging,random,4,all,auc,0.8688524590163934
4,ecoli,bagging,random,4,all,g-mean,0.6438322035462228
5,ecoli,bagging,random,5,-1,precision,0.9375
5,ecoli,bagging,random,5,-1,recall,0.9836065573770492
