forest_index,dataset,type,strategy,iteration,class,metric,value
0,oil,bagging,random,0,-1,precision,0.967741935483871
0,oil,bagging,random,0,-1,recall,1.0
0,oil,bagging,random,0,-1,f1-score,0.9836065573770492
0,oil,bagging,random,0,1,precision,1.0
0,oil,bagging,random,0,1,recall,0.25
0,oil,bagging,random,0,1,f1-score,0.4
0,oil,bagging,random,0,all,accuracy,0.9680851063829787
0,oil,bagging,random,0,all,precision,0.9838709677419355
0,oil,bagging,random,0,all,recall,0.625
0,oil,bagging,random,0,all,f1-score,0.6918032786885246
0,oil,bagging,random,0,all,auc,0.7840277777777778
0,oil,bagging,random,0,all,g-mean,0.5
1,oil,bagging,random,1,-1,precision,0.9625668449197861
1,oil,bagging,random,1,-1,recall,1.0
1,oil,bagging,random,1,-1,f1-score,0.9809264305177112
1,oil,bagging,random,1,1,precision,1.0
1,oil,bagging,random,1,1,recall,0.125
1,oil,bagging,random,1,1,f1-score,0.2222222222222222
1,oil,bagging,random,1,all,accuracy,0.9627659574468085
1,oil,bagging,random,1,all,precision,0.981283422459893
1,oil,bagging,random,1,all,recall,0.5625
1,oil,bagging,random,1,all,f1-score,0.6015743263699667
1,oil,bagging,random,1,all,auc,0.9684027777777777
1,oil,bagging,random,1,all,g-mean,0.3535533905932738
2,oil,bagging,random,2,-1,precision,0.9574468085106383
2,oil,bagging,random,2,-1,recall,1.0
2,oil,bagging,random,2,-1,f1-score,0.9782608695652174
2,oil,bagging,random,2,1,precision,0.0
2,oil,bagging,random,2,1,recall,0.0
2,oil,bagging,random,2,1,f1-score,0.0
2,oil,bagging,random,2,all,accuracy,0.9574468085106383
2,oil,bagging,random,2,all,precision,0.4787234042553192
2,oil,bagging,random,2,all,recall,0.5
2,oil,bagging,random,2,all,f1-score,0.4891304347826087
2,oil,bagging,random,2,all,auc,0.9510416666666667
2,oil,bagging,random,2,all,g-mean,0.0
3,oil,bagging,random,3,-1,precision,0.9623655913978495
3,oil,bagging,random,3,-1,recall,0.9944444444444445
3,oil,bagging,random,3,-1,f1-score,0.9781420765027322
3,oil,bagging,random,3,1,precision,0.5
3,oil,bagging,random,3,1,recall,0.125
3,oil,bagging,random,3,1,f1-score,0.2
3,oil,bagging,random,3,all,accuracy,0.9574468085106383
3,oil,bagging,random,3,all,precision,0.7311827956989247
3,oil,bagging,random,3,all,recall,0.5597222222222222
3,oil,bagging,random,3,all,f1-score,0.5890710382513661
3,oil,bagging,random,3,all,auc,0.8892361111111111
3,oil,bagging,random,3,all,g-mean,0.3525699300217697
4,oil,bagging,random,4,-1,precision,0.9728260869565217
4,oil,bagging,random,4,-1,recall,0.9944444444444445
4,oil,bagging,random,4,-1,f1-score,0.9835164835164835
4,oil,bagging,random,4,1,precision,0.75
4,oil,bagging,random,4,1,recall,0.375
