forest_index,dataset,type,strategy,iteration,class,metric,value
0,oil,bagging,random,0,-1,precision,0.9625668449197861
0,oil,bagging,random,0,-1,recall,1.0
0,oil,bagging,random,0,-1,f1-score,0.9809264305177112
0,oil,bagging,random,0,1,precision,1.0
0,oil,bagging,random,0,1,recall,0.125
0,oil,bagging,random,0,1,f1-score,0.2222222222222222
0,oil,bagging,random,0,all,accuracy,0.9627659574468085
0,oil,bagging,random,0,all,precision,0.981283422459893
0,oil,bagging,random,0,all,recall,0.5625
0,oil,bagging,random,0,all,f1-score,0.6015743263699667
0,oil,bagging,random,0,all,auc,0.9569444444444445
0,oil,bagging,random,0,all,g-mean,0.3535533905932738
1,oil,bagging,random,1,-1,precision,0.967741935483871
1,oil,bagging,random,1,-1,recall,1.0
1,oil,bagging,random,1,-1,f1-score,0.9836065573770492
1,oil,bagging,random,1,1,precision,1.0
1,oil,bagging,random,1,1,recall,0.25
1,oil,bagging,random,1,1,f1-score,0.4
1,oil,bagging,random,1,all,accuracy,0.9680851063829787
1,oil,bagging,random,1,all,precision,0.9838709677419355
1,oil,bagging,random,1,all,recall,0.625
1,oil,bagging,random,1,all,f1-score,0.6918032786885246
1,oil,bagging,random,1,all,auc,0.9805555555555555
1,oil,bagging,random,1,all,g-mean,0.5
2,oil,bagging,random,2,-1,precision,0.9625668449197861
2,oil,bagging,random,2,-1,recall,1.0
2,oil,bagging,random,2,-1,f1-score,0.9809264305177112
2,oil,bagging,random,2,1,precision,1.0
2,oil,bagging,random,2,1,recall,0.125
2,oil,bagging,random,2,1,f1-score,0.2222222222222222
2,oil,bagging,random,2,all,accuracy,0.9627659574468085
2,oil,bagging,random,2,all,precision,0.981283422459893
2,oil,bagging,random,2,all,recall,0.5625
2,oil,bagging,random,2,all,f1-score,0.6015743263699667
2,oil,bagging,random,2,all,auc,0.9017361111111111
2,oil,bagging,random,2,all,g-mean,0.3535533905932738
3,oil,bagging,random,3,-1,precision,0.9625668449197861
3,oil,bagging,random,3,-1,recall,1.0
3,oil,bagging,random,3,-1,f1-score,0.9809264305177112
3,oil,bagging,random,3,1,precision,1.0
3,oil,bagging,random,3,1,recall,0.125
3,oil,bagging,random,3,1,f1-score,0.2222222222222222
3,oil,bagging,random,3,all,accuracy,0.9627659574468085
3,oil,bagging,random,3,all,precision,0.981283422459893
3,oil,bagging,random,3,all,recall,0.5625
3,oil,bagging,random,3,all,f1-score,0.6015743263699667
3,oil,bagging,random,3,all,auc,0.94375
3,oil,bagging,random,3,all,g-mean,0.3535533905932738
4,oil,bagging,random,4,-1,precision,0.9675675675675676
4,oil,bagging,random,4,-1,recall,0.9944444444444445
4,oil,bagging,random,4,-1,f1-score,0.9808219178082191
4,oil,bagging,random,4,1,precision,0.6666666666666666
4,oil,bagging,random,4,1,recall,0.25
4,oil,bagging,random,4,1,f1-score,0.36363636363636365
4,oil,bagging,random,4,all,accuracy,0.9627659574468085
4,oil,bagging,random,4,all,precision,0.8171171171171171
4,oil,bagging,random,4,all,recall,0.6222222222222222
4,oil,bagging,random,4,all,f1-score,0.6722291407222913
4,oil,bagging,random,4,all,auc,0.9222222222222223
4,oil,bagging,random,4,all,g-mean,0.4986091767217197
5,oil,bagging,random,5,-1,precision,0.9623655913978495
5,oil,bagging,random,5,-1,recall,0.9944444444444445
5,oil,bagging,random,5,-1,f1-score,0.9781420765027322
5,oil,bagging,random,5,1,precision,0.5
5,oil,bagging,random,5,1,recall,0.125
5,oil,bagging,random,5,1,f1-score,0.2
5,oil,bagging,random,5,all,accuracy,0.9574468085106383
5,oil,bagging,random,5,all,precision,0.7311827956989247
5,oil,bagging,random,5,all,recall,0.5597222222222222
5,oil,bagging,random,5,all,f1-score,0.5890710382513661
5,oil,bagging,random,5,all,auc,0.9190972222222222
5,oil,bagging,random,5,all,g-mean,0.3525699300217697
6,oil,bagging,random,6,-1,precision,0.9572192513368984
6,oil,bagging,random,6,-1,recall,0.9944444444444445
6,oil,bagging,random,6,-1,f1-score,0.9754768392370572
6,oil,bagging,random,6,1,precision,0.0
6,oil,bagging,random,6,1,recall,0.0
6,oil,bagging,random,6,1,f1-score,0.0
6,oil,bagging,random,6,all,accuracy,0.9521276595744681
6,oil,bagging,random,6,all,precision,0.4786096256684492
6,oil,bagging,random,6,all,recall,0.49722222222222223
6,oil,bagging,random,6,all,f1-score,0.4877384196185286
6,oil,bagging,random,6,all,auc,0.7864583333333333
6,oil,bagging,random,6,all,g-mean,0.0
7,oil,bagging,random,7,-1,precision,0.9728260869565217
7,oil,bagging,random,7,-1,recall,0.9944444444444445
7,oil,bagging,random,7,-1,f1-score,0.9835164835164835
7,oil,bagging,random,7,1,precision,0.75
7,oil,bagging,random,7,1,recall,0.375
7,oil,bagging,random,7,1,f1-score,0.5
7,oil,bagging,random,7,all,accuracy,0.9680851063829787
7,oil,bagging,random,7,all,precision,0.8614130434782609
7,oil,bagging,random,7,all,recall,0.6847222222222222
7,oil,bagging,random,7,all,f1-score,0.7417582417582418
7,oil,bagging,random,7,all,auc,0.9416666666666667
7,oil,bagging,random,7,all,g-mean,0.6106690320187087
8,oil,bagging,random,8,-1,precision,0.9623655913978495
8,oil,bagging,random,8,-1,recall,0.9944444444444445
8,oil,bagging,random,8,-1,f1-score,0.9781420765027322
8,oil,bagging,random,8,1,precision,0.5
8,oil,bagging,random,8,1,recall,0.125
8,oil,bagging,random,8,1,f1-score,0.2
8,oil,bagging,random,8,all,accuracy,0.9574468085106383
8,oil,bagging,random,8,all,precision,0.7311827956989247
8,oil,bagging,random,8,all,recall,0.5597222222222222
8,oil,bagging,random,8,all,f1-score,0.5890710382513661
8,oil,bagging,random,8,all,auc,0.9659722222222222
8,oil,bagging,random,8,all,g-mean,0.3525699300217697
9,oil,bagging,random,9,-1,precision,0.967741935483871
9,oil,bagging,random,9,-1,recall,1.0
9,oil,bagging,random,9,-1,f1-score,0.9836065573770492
9,oil,bagging,random,9,1,precision,1.0
9,oil,bagging,random,9,1,recall,0.25
9,oil,bagging,random,9,1,f1-score,0.4
9,oil,bagging,random,9,all,accuracy,0.9680851063829787
9,oil,bagging,random,9,all,precision,0.9838709677419355
9,oil,bagging,random,9,all,recall,0.625
9,oil,bagging,random,9,all,f1-score,0.6918032786885246
9,oil,bagging,random,9,all,auc,0.9944444444444444
9,oil,bagging,random,9,all,g-mean,0.5
10,oil,bagging,random,10,-1,precision,0.9625668449197861
10,oil,bagging,random,10,-1,recall,1.0
10,oil,bagging,random,10,-1,f1-score,0.9809264305177112
10,oil,bagging,random,10,1,precision,1.0
10,oil,bagging,random,10,1,recall,0.125
10,oil,bagging,random,10,1,f1-score,0.2222222222222222
10,oil,bagging,random,10,all,accuracy,0.9627659574468085
10,oil,bagging,random,10,all,precision,0.981283422459893
10,oil,bagging,random,10,all,recall,0.5625
10,oil,bagging,random,10,all,f1-score,0.6015743263699667
10,oil,bagging,random,10,all,auc,0.9722222222222222
10,oil,bagging,random,10,all,g-mean,0.3535533905932738
11,oil,bagging,random,11,-1,precision,0.967741935483871
11,oil,bagging,random,11,-1,recall,1.0
11,oil,bagging,random,11,-1,f1-score,0.9836065573770492
11,oil,bagging,random,11,1,precision,1.0
11,oil,bagging,random,11,1,recall,0.25
11,oil,bagging,random,11,1,f1-score,0.4
11,oil,bagging,random,11,all,accuracy,0.9680851063829787
11,oil,bagging,random,11,all,precision,0.9838709677419355
11,oil,bagging,random,11,all,recall,0.625
11,oil,bagging,random,11,all,f1-score,0.6918032786885246
11,oil,bagging,random,11,all,auc,0.9791666666666666
11,oil,bagging,random,11,all,g-mean,0.5
12,oil,bagging,random,12,-1,precision,0.967741935483871
12,oil,bagging,random,12,-1,recall,1.0
12,oil,bagging,random,12,-1,f1-score,0.9836065573770492
12,oil,bagging,random,12,1,precision,1.0
12,oil,bagging,random,12,1,recall,0.25
12,oil,bagging,random,12,1,f1-score,0.4
12,oil,bagging,random,12,all,accuracy,0.9680851063829787
12,oil,bagging,random,12,all,precision,0.9838709677419355
12,oil,bagging,random,12,all,recall,0.625
12,oil,bagging,random,12,all,f1-score,0.6918032786885246
12,oil,bagging,random,12,all,auc,0.903125
12,oil,bagging,random,12,all,g-mean,0.5
13,oil,bagging,random,13,-1,precision,0.9623655913978495
13,oil,bagging,random,13,-1,recall,0.9944444444444445
13,oil,bagging,random,13,-1,f1-score,0.9781420765027322
13,oil,bagging,random,13,1,precision,0.5
13,oil,bagging,random,13,1,recall,0.125
13,oil,bagging,random,13,1,f1-score,0.2
13,oil,bagging,random,13,all,accuracy,0.9574468085106383
13,oil,bagging,random,13,all,precision,0.7311827956989247
13,oil,bagging,random,13,all,recall,0.5597222222222222
13,oil,bagging,random,13,all,f1-score,0.5890710382513661
13,oil,bagging,random,13,all,auc,0.9381944444444444
13,oil,bagging,random,13,all,g-mean,0.3525699300217697
14,oil,bagging,random,14,-1,precision,0.967741935483871
14,oil,bagging,random,14,-1,recall,1.0
14,oil,bagging,random,14,-1,f1-score,0.9836065573770492
14,oil,bagging,random,14,1,precision,1.0
14,oil,bagging,random,14,1,recall,0.25
14,oil,bagging,random,14,1,f1-score,0.4
14,oil,bagging,random,14,all,accuracy,0.9680851063829787
14,oil,bagging,random,14,all,precision,0.9838709677419355
14,oil,bagging,random,14,all,recall,0.625
14,oil,bagging,random,14,all,f1-score,0.6918032786885246
14,oil,bagging,random,14,all,auc,0.9614583333333333
14,oil,bagging,random,14,all,g-mean,0.5
15,oil,bagging,random,15,-1,precision,0.9625668449197861
15,oil,bagging,random,15,-1,recall,1.0
15,oil,bagging,random,15,-1,f1-score,0.9809264305177112
15,oil,bagging,random,15,1,precision,1.0
15,oil,bagging,random,15,1,recall,0.125
15,oil,bagging,random,15,1,f1-score,0.2222222222222222
15,oil,bagging,random,15,all,accuracy,0.9627659574468085
15,oil,bagging,random,15,all,precision,0.981283422459893
15,oil,bagging,random,15,all,recall,0.5625
15,oil,bagging,random,15,all,f1-score,0.6015743263699667
15,oil,bagging,random,15,all,auc,0.9413194444444444
15,oil,bagging,random,15,all,g-mean,0.3535533905932738
16,oil,bagging,random,16,-1,precision,0.9574468085106383
16,oil,bagging,random,16,-1,recall,1.0
16,oil,bagging,random,16,-1,f1-score,0.9782608695652174
16,oil,bagging,random,16,1,precision,0.0
16,oil,bagging,random,16,1,recall,0.0
16,oil,bagging,random,16,1,f1-score,0.0
16,oil,bagging,random,16,all,accuracy,0.9574468085106383
16,oil,bagging,random,16,all,precision,0.4787234042553192
16,oil,bagging,random,16,all,recall,0.5
16,oil,bagging,random,16,all,f1-score,0.4891304347826087
16,oil,bagging,random,16,all,auc,0.9003472222222222
16,oil,bagging,random,16,all,g-mean,0.0
17,oil,bagging,random,17,-1,precision,0.9728260869565217
17,oil,bagging,random,17,-1,recall,0.9944444444444445
17,oil,bagging,random,17,-1,f1-score,0.9835164835164835
17,oil,bagging,random,17,1,precision,0.75
17,oil,bagging,random,17,1,recall,0.375
