forest_index,dataset,type,strategy,iteration,class,metric,value
0,oil,bagging,random,0,-1,precision,0.967741935483871
0,oil,bagging,random,0,-1,recall,1.0
0,oil,bagging,random,0,-1,f1-score,0.9836065573770492
0,oil,bagging,random,0,1,precision,1.0
0,oil,bagging,random,0,1,recall,0.25
0,oil,bagging,random,0,1,f1-score,0.4
0,oil,bagging,random,0,all,accuracy,0.9680851063829787
0,oil,bagging,random,0,all,precision,0.9838709677419355
0,oil,bagging,random,0,all,recall,0.625
0,oil,bagging,random,0,all,f1-score,0.6918032786885246
0,oil,bagging,random,0,all,auc,0.9854166666666666
0,oil,bagging,random,0,all,g-mean,0.5
1,oil,bagging,random,1,-1,precision,0.9779005524861878
1,oil,bagging,random,1,-1,recall,0.9833333333333333
1,oil,bagging,random,1,-1,f1-score,0.9806094182825484
1,oil,bagging,random,1,1,precision,0.5714285714285714
1,oil,bagging,random,1,1,recall,0.5
1,oil,bagging,random,1,1,f1-score,0.5333333333333333
1,oil,bagging,random,1,all,accuracy,0.9627659574468085
1,oil,bagging,random,1,all,precision,0.7746645619573795
1,oil,bagging,random,1,all,recall,0.7416666666666667
1,oil,bagging,random,1,all,f1-score,0.7569713758079408
1,oil,bagging,random,1,all,auc,0.9631944444444445
1,oil,bagging,random,1,all,g-mean,0.7011894655987543
2,oil,bagging,random,2,-1,precision,0.9625668449197861
2,oil,bagging,random,2,-1,recall,1.0
2,oil,bagging,random,2,-1,f1-score,0.9809264305177112
2,oil,bagging,random,2,1,precision,1.0
2,oil,bagging,random,2,1,recall,0.125
2,oil,bagging,random,2,1,f1-score,0.2222222222222222
2,oil,bagging,random,2,all,accuracy,0.9627659574468085
2,oil,bagging,random,2,all,precision,0.981283422459893
2,oil,bagging,random,2,all,recall,0.5625
2,oil,bagging,random,2,all,f1-score,0.6015743263699667
2,oil,bagging,random,2,all,auc,0.9711805555555556
2,oil,bagging,random,2,all,g-mean,0.3535533905932738
3,oil,bagging,random,3,-1,precision,0.9625668449197861
3,oil,bagging,random,3,-1,recall,1.0
3,oil,bagging,random,3,-1,f1-score,0.9809264305177112
3,oil,bagging,random,3,1,precision,1.0
3,oil,bagging,random,3,1,recall,0.125
3,oil,bagging,random,3,1,f1-score,0.2222222222222222
3,oil,bagging,random,3,all,accuracy,0.9627659574468085
3,oil,bagging,random,3,all,precision,0.981283422459893
3,oil,bagging,random,3,all,recall,0.5625
3,oil,bagging,random,3,all,f1-score,0.6015743263699667
3,oil,bagging,random,3,all,auc,0.9770833333333333
3,oil,bagging,random,3,all,g-mean,0.3535533905932738
4,oil,bagging,random,4,-1,precision,0.9623655913978495
4,oil,bagging,random,4,-1,recall,0.9944444444444445
4,oil,bagging,random,4,-1,f1-score,0.9781420765027322
4,oil,bagging,random,4,1,precision,0.5
