forest_index,dataset,type,strategy,iteration,class,metric,value
0,optical_digits,bagging,random,0,-1,precision,0.978743961352657
0,optical_digits,bagging,random,0,-1,recall,1.0
0,optical_digits,bagging,random,0,-1,f1-score,0.9892578125
0,optical_digits,bagging,random,0,1,precision,1.0
0,optical_digits,bagging,random,0,1,recall,0.8018018018018018
0,optical_digits,bagging,random,0,1,f1-score,0.89
0,optical_digits,bagging,random,0,all,accuracy,0.9804270462633452
0,optical_digits,bagging,random,0,all,precision,0.9893719806763285
0,optical_digits,bagging,random,0,all,recall,0.9009009009009009
0,optical_digits,bagging,random,0,all,f1-score,0.9396289062500001
0,optical_digits,bagging,random,0,all,auc,0.9986037370045268
0,optical_digits,bagging,random,0,all,g-mean,0.8954338623269738
1,optical_digits,bagging,random,1,-1,precision,0.9777992277992278
1,optical_digits,bagging,random,1,-1,recall,1.0
1,optical_digits,bagging,random,1,-1,f1-score,0.9887750122010737
1,optical_digits,bagging,random,1,1,precision,1.0
1,optical_digits,bagging,random,1,1,recall,0.7927927927927928
1,optical_digits,bagging,random,1,1,f1-score,0.8844221105527639
1,optical_digits,bagging,random,1,all,accuracy,0.9795373665480427
1,optical_digits,bagging,random,1,all,precision,0.9888996138996139
1,optical_digits,bagging,random,1,all,recall,0.8963963963963963
1,optical_digits,bagging,random,1,all,f1-score,0.9365985613769188
1,optical_digits,bagging,random,1,all,auc,0.9991729142765667
1,optical_digits,bagging,random,1,all,g-mean,0.8903891243679882
2,optical_digits,bagging,random,2,-1,precision,0.9796905222437138
2,optical_digits,bagging,random,2,-1,recall,1.0
2,optical_digits,bagging,random,2,-1,f1-score,0.9897410845139228
2,optical_digits,bagging,random,2,1,precision,1.0
2,optical_digits,bagging,random,2,1,recall,0.8108108108108109
2,optical_digits,bagging,random,2,1,f1-score,0.8955223880597015
2,optical_digits,bagging,random,2,all,accuracy,0.9813167259786477
2,optical_digits,bagging,random,2,all,precision,0.9898452611218569
2,optical_digits,bagging,random,2,all,recall,0.9054054054054055
2,optical_digits,bagging,random,2,all,f1-score,0.9426317362868122
2,optical_digits,bagging,random,2,all,auc,0.9990172798662433
2,optical_digits,bagging,random,2,all,g-mean,0.9004503377814963
3,optical_digits,bagging,random,3,-1,precision,0.9758919961427194
3,optical_digits,bagging,random,3,-1,recall,0.9990128331688055
3,optical_digits,bagging,random,3,-1,f1-score,0.9873170731707317
3,optical_digits,bagging,random,3,1,precision,0.9885057471264368
3,optical_digits,bagging,random,3,1,recall,0.7747747747747747
3,optical_digits,bagging,random,3,1,f1-score,0.8686868686868687
3,optical_digits,bagging,random,3,all,accuracy,0.9768683274021353
3,optical_digits,bagging,random,3,all,precision,0.9821988716345781
3,optical_digits,bagging,random,3,all,recall,0.8868938039717902
3,optical_digits,bagging,random,3,all,f1-score,0.9280019709288002
3,optical_digits,bagging,random,3,all,auc,0.9983013615787555
3,optical_digits,bagging,random,3,all,g-mean,0.8797783486853213
4,optical_digits,bagging,random,4,-1,precision,0.9629277566539924
4,optical_digits,bagging,random,4,-1,recall,1.0
4,optical_digits,bagging,random,4,-1,f1-score,0.9811138014527845
4,optical_digits,bagging,random,4,1,precision,1.0
4,optical_digits,bagging,random,4,1,recall,0.6486486486486487
4,optical_digits,bagging,random,4,1,f1-score,0.7868852459016393
4,optical_digits,bagging,random,4,all,accuracy,0.9653024911032029
4,optical_digits,bagging,random,4,all,precision,0.9814638783269962
4,optical_digits,bagging,random,4,all,recall,0.8243243243243243
4,optical_digits,bagging,random,4,all,f1-score,0.8839995236772119
4,optical_digits,bagging,random,4,all,auc,0.9985236964506461
