forest_index,dataset,type,strategy,iteration,class,metric,value
0,optical_digits,bagging,random,0,-1,precision,0.9806389157792836
0,optical_digits,bagging,random,0,-1,recall,1.0
0,optical_digits,bagging,random,0,-1,f1-score,0.9902248289345064
0,optical_digits,bagging,random,0,1,precision,1.0
0,optical_digits,bagging,random,0,1,recall,0.8198198198198198
0,optical_digits,bagging,random,0,1,f1-score,0.900990099009901
0,optical_digits,bagging,random,0,all,accuracy,0.9822064056939501
0,optical_digits,bagging,random,0,all,precision,0.9903194578896418
0,optical_digits,bagging,random,0,all,recall,0.9099099099099099
0,optical_digits,bagging,random,0,all,f1-score,0.9456074639722036
0,optical_digits,bagging,random,0,all,auc,0.9998265787999253
0,optical_digits,bagging,random,0,all,g-mean,0.9054390204866476
1,optical_digits,bagging,random,1,-1,precision,0.9777992277992278
1,optical_digits,bagging,random,1,-1,recall,1.0
1,optical_digits,bagging,random,1,-1,f1-score,0.9887750122010737
1,optical_digits,bagging,random,1,1,precision,1.0
1,optical_digits,bagging,random,1,1,recall,0.7927927927927928
1,optical_digits,bagging,random,1,1,f1-score,0.8844221105527639
1,optical_digits,bagging,random,1,all,accuracy,0.9795373665480427
1,optical_digits,bagging,random,1,all,precision,0.9888996138996139
1,optical_digits,bagging,random,1,all,recall,0.8963963963963963
1,optical_digits,bagging,random,1,all,f1-score,0.9365985613769188
1,optical_digits,bagging,random,1,all,auc,0.9993196552920146
1,optical_digits,bagging,random,1,all,g-mean,0.8903891243679882
2,optical_digits,bagging,random,2,-1,precision,0.9777777777777777
2,optical_digits,bagging,random,2,-1,recall,0.9990128331688055
2,optical_digits,bagging,random,2,-1,f1-score,0.98828125
2,optical_digits,bagging,random,2,1,precision,0.9887640449438202
2,optical_digits,bagging,random,2,1,recall,0.7927927927927928
2,optical_digits,bagging,random,2,1,f1-score,0.88
2,optical_digits,bagging,random,2,all,accuracy,0.9786476868327402
2,optical_digits,bagging,random,2,all,precision,0.9832709113607989
2,optical_digits,bagging,random,2,all,recall,0.8959028129807991
2,optical_digits,bagging,random,2,all,f1-score,0.934140625
2,optical_digits,bagging,random,2,all,auc,0.998665990768656
2,optical_digits,bagging,random,2,all,g-mean,0.8899495345488629
3,optical_digits,bagging,random,3,-1,precision,0.9749759384023099
3,optical_digits,bagging,random,3,-1,recall,1.0
3,optical_digits,bagging,random,3,-1,f1-score,0.9873294346978557
3,optical_digits,bagging,random,3,1,precision,1.0
3,optical_digits,bagging,random,3,1,recall,0.7657657657657657
3,optical_digits,bagging,random,3,1,f1-score,0.8673469387755102
3,optical_digits,bagging,random,3,all,accuracy,0.9768683274021353
3,optical_digits,bagging,random,3,all,precision,0.9874879692011549
3,optical_digits,bagging,random,3,all,recall,0.8828828828828829
3,optical_digits,bagging,random,3,all,f1-score,0.927338186736683
3,optical_digits,bagging,random,3,all,auc,0.9988082850866661
3,optical_digits,bagging,random,3,all,g-mean,0.8750804338835177
4,optical_digits,bagging,random,4,-1,precision,0.9749759384023099
4,optical_digits,bagging,random,4,-1,recall,1.0
4,optical_digits,bagging,random,4,-1,f1-score,0.9873294346978557
4,optical_digits,bagging,random,4,1,precision,1.0
4,optical_digits,bagging,random,4,1,recall,0.7657657657657657
4,optical_digits,bagging,random,4,1,f1-score,0.8673469387755102
4,optical_digits,bagging,random,4,all,accuracy,0.9768683274021353
4,optical_digits,bagging,random,4,all,precision,0.9874879692011549
4,optical_digits,bagging,random,4,all,recall,0.8828828828828829
4,optical_digits,bagging,random,4,all,f1-score,0.927338186736683
4,optical_digits,bagging,random,4,all,auc,0.9985192497532083
4,optical_digits,bagging,random,4,all,g-mean,0.8750804338835177
5,optical_digits,bagging,random,5,-1,precision,0.9768563162970106
5,optical_digits,bagging,random,5,-1,recall,1.0
5,optical_digits,bagging,random,5,-1,f1-score,0.9882926829268293
5,optical_digits,bagging,random,5,1,precision,1.0
5,optical_digits,bagging,random,5,1,recall,0.7837837837837838
5,optical_digits,bagging,random,5,1,f1-score,0.8787878787878788
5,optical_digits,bagging,random,5,all,accuracy,0.9786476868327402
5,optical_digits,bagging,random,5,all,precision,0.9884281581485053
5,optical_digits,bagging,random,5,all,recall,0.8918918918918919
5,optical_digits,bagging,random,5,all,f1-score,0.9335402808573541
5,optical_digits,bagging,random,5,all,auc,0.999332995384328
5,optical_digits,bagging,random,5,all,g-mean,0.8853156407653622
6,optical_digits,bagging,random,6,-1,precision,0.9777777777777777
6,optical_digits,bagging,random,6,-1,recall,0.9990128331688055
6,optical_digits,bagging,random,6,-1,f1-score,0.98828125
6,optical_digits,bagging,random,6,1,precision,0.9887640449438202
6,optical_digits,bagging,random,6,1,recall,0.7927927927927928
6,optical_digits,bagging,random,6,1,f1-score,0.88
6,optical_digits,bagging,random,6,all,accuracy,0.9786476868327402
6,optical_digits,bagging,random,6,all,precision,0.9832709113607989
6,optical_digits,bagging,random,6,all,recall,0.8959028129807991
6,optical_digits,bagging,random,6,all,f1-score,0.934140625
6,optical_digits,bagging,random,6,all,auc,0.9990617468406215
6,optical_digits,bagging,random,6,all,g-mean,0.8899495345488629
7,optical_digits,bagging,random,7,-1,precision,0.9796905222437138
7,optical_digits,bagging,random,7,-1,recall,1.0
7,optical_digits,bagging,random,7,-1,f1-score,0.9897410845139228
7,optical_digits,bagging,random,7,1,precision,1.0
7,optical_digits,bagging,random,7,1,recall,0.8108108108108109
7,optical_digits,bagging,random,7,1,f1-score,0.8955223880597015
7,optical_digits,bagging,random,7,all,accuracy,0.9813167259786477
7,optical_digits,bagging,random,7,all,precision,0.9898452611218569
7,optical_digits,bagging,random,7,all,recall,0.9054054054054055
7,optical_digits,bagging,random,7,all,f1-score,0.9426317362868122
7,optical_digits,bagging,random,7,all,auc,0.9994486095177112
7,optical_digits,bagging,random,7,all,g-mean,0.9004503377814963
8,optical_digits,bagging,random,8,-1,precision,0.9749759384023099
8,optical_digits,bagging,random,8,-1,recall,1.0
8,optical_digits,bagging,random,8,-1,f1-score,0.9873294346978557
8,optical_digits,bagging,random,8,1,precision,1.0
8,optical_digits,bagging,random,8,1,recall,0.7657657657657657
8,optical_digits,bagging,random,8,1,f1-score,0.8673469387755102
8,optical_digits,bagging,random,8,all,accuracy,0.9768683274021353
8,optical_digits,bagging,random,8,all,precision,0.9874879692011549
8,optical_digits,bagging,random,8,all,recall,0.8828828828828829
8,optical_digits,bagging,random,8,all,f1-score,0.927338186736683
8,optical_digits,bagging,random,8,all,auc,0.9992351680406961
8,optical_digits,bagging,random,8,all,g-mean,0.8750804338835177
9,optical_digits,bagging,random,9,-1,precision,0.9712368168744008
9,optical_digits,bagging,random,9,-1,recall,1.0
9,optical_digits,bagging,random,9,-1,f1-score,0.9854085603112841
9,optical_digits,bagging,random,9,1,precision,1.0
9,optical_digits,bagging,random,9,1,recall,0.7297297297297297
9,optical_digits,bagging,random,9,1,f1-score,0.84375
9,optical_digits,bagging,random,9,all,accuracy,0.9733096085409253
9,optical_digits,bagging,random,9,all,precision,0.9856184084372004
9,optical_digits,bagging,random,9,all,recall,0.8648648648648649
9,optical_digits,bagging,random,9,all,f1-score,0.914579280155642
9,optical_digits,bagging,random,9,all,auc,0.9991640208816911
9,optical_digits,bagging,random,9,all,g-mean,0.8542421961772491
10,optical_digits,bagging,random,10,-1,precision,0.9806389157792836
10,optical_digits,bagging,random,10,-1,recall,1.0
10,optical_digits,bagging,random,10,-1,f1-score,0.9902248289345064
10,optical_digits,bagging,random,10,1,precision,1.0
10,optical_digits,bagging,random,10,1,recall,0.8198198198198198
10,optical_digits,bagging,random,10,1,f1-score,0.900990099009901
10,optical_digits,bagging,random,10,all,accuracy,0.9822064056939501
10,optical_digits,bagging,random,10,all,precision,0.9903194578896418
10,optical_digits,bagging,random,10,all,recall,0.9099099099099099
10,optical_digits,bagging,random,10,all,f1-score,0.9456074639722036
10,optical_digits,bagging,random,10,all,auc,0.999261848225323
10,optical_digits,bagging,random,10,all,g-mean,0.9054390204866476
11,optical_digits,bagging,random,11,-1,precision,0.9768563162970106
11,optical_digits,bagging,random,11,-1,recall,1.0
11,optical_digits,bagging,random,11,-1,f1-score,0.9882926829268293
11,optical_digits,bagging,random,11,1,precision,1.0
11,optical_digits,bagging,random,11,1,recall,0.7837837837837838
11,optical_digits,bagging,random,11,1,f1-score,0.8787878787878788
11,optical_digits,bagging,random,11,all,accuracy,0.9786476868327402
11,optical_digits,bagging,random,11,all,precision,0.9884281581485053
11,optical_digits,bagging,random,11,all,recall,0.8918918918918919
11,optical_digits,bagging,random,11,all,f1-score,0.9335402808573541
11,optical_digits,bagging,random,11,all,auc,0.9987060110455964
11,optical_digits,bagging,random,11,all,g-mean,0.8853156407653622
12,optical_digits,bagging,random,12,-1,precision,0.9806389157792836
12,optical_digits,bagging,random,12,-1,recall,1.0
12,optical_digits,bagging,random,12,-1,f1-score,0.9902248289345064
12,optical_digits,bagging,random,12,1,precision,1.0
12,optical_digits,bagging,random,12,1,recall,0.8198198198198198
12,optical_digits,bagging,random,12,1,f1-score,0.900990099009901
12,optical_digits,bagging,random,12,all,accuracy,0.9822064056939501
12,optical_digits,bagging,random,12,all,precision,0.9903194578896418
12,optical_digits,bagging,random,12,all,recall,0.9099099099099099
12,optical_digits,bagging,random,12,all,f1-score,0.9456074639722036
12,optical_digits,bagging,random,12,all,auc,0.9992307213432584
12,optical_digits,bagging,random,12,all,g-mean,0.9054390204866476
13,optical_digits,bagging,random,13,-1,precision,0.9806389157792836
13,optical_digits,bagging,random,13,-1,recall,1.0
13,optical_digits,bagging,random,13,-1,f1-score,0.9902248289345064
13,optical_digits,bagging,random,13,1,precision,1.0
13,optical_digits,bagging,random,13,1,recall,0.8198198198198198
13,optical_digits,bagging,random,13,1,f1-score,0.900990099009901
13,optical_digits,bagging,random,13,all,accuracy,0.9822064056939501
13,optical_digits,bagging,random,13,all,precision,0.9903194578896418
13,optical_digits,bagging,random,13,all,recall,0.9099099099099099
13,optical_digits,bagging,random,13,all,f1-score,0.9456074639722036
13,optical_digits,bagging,random,13,all,auc,0.9986215237942779
13,optical_digits,bagging,random,13,all,g-mean,0.9054390204866476
14,optical_digits,bagging,random,14,-1,precision,0.972168905950096
14,optical_digits,bagging,random,14,-1,recall,1.0
14,optical_digits,bagging,random,14,-1,f1-score,0.9858880778588808
14,optical_digits,bagging,random,14,1,precision,1.0
14,optical_digits,bagging,random,14,1,recall,0.7387387387387387
14,optical_digits,bagging,random,14,1,f1-score,0.8497409326424871
14,optical_digits,bagging,random,14,all,accuracy,0.9741992882562278
14,optical_digits,bagging,random,14,all,precision,0.986084452975048
14,optical_digits,bagging,random,14,all,recall,0.8693693693693694
14,optical_digits,bagging,random,14,all,f1-score,0.9178145052506839
14,optical_digits,bagging,random,14,all,auc,0.9980834734043026
14,optical_digits,bagging,random,14,all,g-mean,0.8594991208481477
15,optical_digits,bagging,random,15,-1,precision,0.9768563162970106
15,optical_digits,bagging,random,15,-1,recall,1.0
15,optical_digits,bagging,random,15,-1,f1-score,0.9882926829268293
15,optical_digits,bagging,random,15,1,precision,1.0
15,optical_digits,bagging,random,15,1,recall,0.7837837837837838
15,optical_digits,bagging,random,15,1,f1-score,0.8787878787878788
15,optical_digits,bagging,random,15,all,accuracy,0.9786476868327402
15,optical_digits,bagging,random,15,all,precision,0.9884281581485053
15,optical_digits,bagging,random,15,all,recall,0.8918918918918919
15,optical_digits,bagging,random,15,all,f1-score,0.9335402808573541
15,optical_digits,bagging,random,15,all,auc,0.9984303158044521
15,optical_digits,bagging,random,15,all,g-mean,0.8853156407653622
16,optical_digits,bagging,random,16,-1,precision,0.9796905222437138
16,optical_digits,bagging,random,16,-1,recall,1.0
16,optical_digits,bagging,random,16,-1,f1-score,0.9897410845139228
16,optical_digits,bagging,random,16,1,precision,1.0
16,optical_digits,bagging,random,16,1,recall,0.8108108108108109
16,optical_digits,bagging,random,16,1,f1-score,0.8955223880597015
16,optical_digits,bagging,random,16,all,accuracy,0.9813167259786477
16,optical_digits,bagging,random,16,all,precision,0.9898452611218569
16,optical_digits,bagging,random,16,all,recall,0.9054054054054055
16,optical_digits,bagging,random,16,all,f1-score,0.9426317362868122
16,optical_digits,bagging,random,16,all,auc,0.9993996958458953
16,optical_digits,bagging,random,16,all,g-mean,0.9004503377814963
17,optical_digits,bagging,random,17,-1,precision,0.9777992277992278
17,optical_digits,bagging,random,17,-1,recall,1.0
17,optical_digits,bagging,random,17,-1,f1-score,0.9887750122010737
17,optical_digits,bagging,random,17,1,precision,1.0
17,optical_digits,bagging,random,17,1,recall,0.7927927927927928
17,optical_digits,bagging,random,17,1,f1-score,0.8844221105527639
17,optical_digits,bagging,random,17,all,accuracy,0.9795373665480427
17,optical_digits,bagging,random,17,all,precision,0.9888996138996139
17,optical_digits,bagging,random,17,all,recall,0.8963963963963963
17,optical_digits,bagging,random,17,all,f1-score,0.9365985613769188
17,optical_digits,bagging,random,17,all,auc,0.9990306199585568
17,optical_digits,bagging,random,17,all,g-mean,0.8903891243679882
18,optical_digits,bagging,random,18,-1,precision,0.9777992277992278
18,optical_digits,bagging,random,18,-1,recall,1.0
18,optical_digits,bagging,random,18,-1,f1-score,0.9887750122010737
18,optical_digits,bagging,random,18,1,precision,1.0
18,optical_digits,bagging,random,18,1,recall,0.7927927927927928
18,optical_digits,bagging,random,18,1,f1-score,0.8844221105527639
18,optical_digits,bagging,random,18,all,accuracy,0.9795373665480427
18,optical_digits,bagging,random,18,all,precision,0.9888996138996139
18,optical_digits,bagging,random,18,all,recall,0.8963963963963963
18,optical_digits,bagging,random,18,all,f1-score,0.9365985613769188
18,optical_digits,bagging,random,18,all,auc,0.9995597769536566
18,optical_digits,bagging,random,18,all,g-mean,0.8903891243679882
19,optical_digits,bagging,random,19,-1,precision,0.9758919961427194
19,optical_digits,bagging,random,19,-1,recall,0.9990128331688055
19,optical_digits,bagging,random,19,-1,f1-score,0.9873170731707317
19,optical_digits,bagging,random,19,1,precision,0.9885057471264368
19,optical_digits,bagging,random,19,1,recall,0.7747747747747747
19,optical_digits,bagging,random,19,1,f1-score,0.8686868686868687
19,optical_digits,bagging,random,19,all,accuracy,0.9768683274021353
19,optical_digits,bagging,random,19,all,precision,0.9821988716345781
19,optical_digits,bagging,random,19,all,recall,0.8868938039717902
19,optical_digits,bagging,random,19,all,f1-score,0.9280019709288002
19,optical_digits,bagging,random,19,all,auc,0.9989372393123628
19,optical_digits,bagging,random,19,all,g-mean,0.8797783486853213
20,optical_digits,bagging,random,20,-1,precision,0.9796905222437138
20,optical_digits,bagging,random,20,-1,recall,1.0
20,optical_digits,bagging,random,20,-1,f1-score,0.9897410845139228
20,optical_digits,bagging,random,20,1,precision,1.0
20,optical_digits,bagging,random,20,1,recall,0.8108108108108109
20,optical_digits,bagging,random,20,1,f1-score,0.8955223880597015
20,optical_digits,bagging,random,20,all,accuracy,0.9813167259786477
20,optical_digits,bagging,random,20,all,precision,0.9898452611218569
20,optical_digits,bagging,random,20,all,recall,0.9054054054054055
20,optical_digits,bagging,random,20,all,f1-score,0.9426317362868122
20,optical_digits,bagging,random,20,all,auc,0.9994174826356464
20,optical_digits,bagging,random,20,all,g-mean,0.9004503377814963
21,optical_digits,bagging,random,21,-1,precision,0.9844509232264335
21,optical_digits,bagging,random,21,-1,recall,1.0
21,optical_digits,bagging,random,21,-1,f1-score,0.9921645445641528
21,optical_digits,bagging,random,21,1,precision,1.0
21,optical_digits,bagging,random,21,1,recall,0.8558558558558559
21,optical_digits,bagging,random,21,1,f1-score,0.9223300970873787
21,optical_digits,bagging,random,21,all,accuracy,0.9857651245551602
21,optical_digits,bagging,random,21,all,precision,0.9922254616132167
21,optical_digits,bagging,random,21,all,recall,0.927927927927928
21,optical_digits,bagging,random,21,all,f1-score,0.9572473208257657
21,optical_digits,bagging,random,21,all,auc,0.9992084878560693
21,optical_digits,bagging,random,21,all,g-mean,0.9251247785330667
22,optical_digits,bagging,random,22,-1,precision,0.9815712900096993
22,optical_digits,bagging,random,22,-1,recall,0.9990128331688055
22,optical_digits,bagging,random,22,-1,f1-score,0.9902152641878669
22,optical_digits,bagging,random,22,1,precision,0.989247311827957
22,optical_digits,bagging,random,22,1,recall,0.8288288288288288
22,optical_digits,bagging,random,22,1,f1-score,0.9019607843137255
22,optical_digits,bagging,random,22,all,accuracy,0.9822064056939501
22,optical_digits,bagging,random,22,all,precision,0.9854093009188282
22,optical_digits,bagging,random,22,all,recall,0.9139208309988172
22,optical_digits,bagging,random,22,all,f1-score,0.9460880242507962
22,optical_digits,bagging,random,22,all,auc,0.9986793308609695
22,optical_digits,bagging,random,22,all,g-mean,0.9099508978512364
23,optical_digits,bagging,random,23,-1,precision,0.9806389157792836
23,optical_digits,bagging,random,23,-1,recall,1.0
23,optical_digits,bagging,random,23,-1,f1-score,0.9902248289345064
23,optical_digits,bagging,random,23,1,precision,1.0
23,optical_digits,bagging,random,23,1,recall,0.8198198198198198
23,optical_digits,bagging,random,23,1,f1-score,0.900990099009901
23,optical_digits,bagging,random,23,all,accuracy,0.9822064056939501
23,optical_digits,bagging,random,23,all,precision,0.9903194578896418
23,optical_digits,bagging,random,23,all,recall,0.9099099099099099
23,optical_digits,bagging,random,23,all,f1-score,0.9456074639722036
23,optical_digits,bagging,random,23,all,auc,0.9987727115071636
23,optical_digits,bagging,random,23,all,g-mean,0.9054390204866476
24,optical_digits,bagging,random,24,-1,precision,0.9749759384023099
24,optical_digits,bagging,random,24,-1,recall,1.0
24,optical_digits,bagging,random,24,-1,f1-score,0.9873294346978557
24,optical_digits,bagging,random,24,1,precision,1.0
24,optical_digits,bagging,random,24,1,recall,0.7657657657657657
