forest_index,dataset,type,strategy,iteration,class,metric,value
0,optical_digits,bagging,random,0,-1,precision,0.9796905222437138
0,optical_digits,bagging,random,0,-1,recall,1.0
0,optical_digits,bagging,random,0,-1,f1-score,0.9897410845139228
0,optical_digits,bagging,random,0,1,precision,1.0
0,optical_digits,bagging,random,0,1,recall,0.8108108108108109
0,optical_digits,bagging,random,0,1,f1-score,0.8955223880597015
0,optical_digits,bagging,random,0,all,accuracy,0.9813167259786477
0,optical_digits,bagging,random,0,all,precision,0.9898452611218569
0,optical_digits,bagging,random,0,all,recall,0.9054054054054055
0,optical_digits,bagging,random,0,all,f1-score,0.9426317362868122
0,optical_digits,bagging,random,0,all,auc,0.9985459299378352
0,optical_digits,bagging,random,0,all,g-mean,0.9004503377814963
1,optical_digits,bagging,random,1,-1,precision,0.9806389157792836
1,optical_digits,bagging,random,1,-1,recall,1.0
1,optical_digits,bagging,random,1,-1,f1-score,0.9902248289345064
1,optical_digits,bagging,random,1,1,precision,1.0
1,optical_digits,bagging,random,1,1,recall,0.8198198198198198
1,optical_digits,bagging,random,1,1,f1-score,0.900990099009901
1,optical_digits,bagging,random,1,all,accuracy,0.9822064056939501
1,optical_digits,bagging,random,1,all,precision,0.9903194578896418
1,optical_digits,bagging,random,1,all,recall,0.9099099099099099
1,optical_digits,bagging,random,1,all,f1-score,0.9456074639722036
1,optical_digits,bagging,random,1,all,auc,0.9994041425433331
1,optical_digits,bagging,random,1,all,g-mean,0.9054390204866476
2,optical_digits,bagging,random,2,-1,precision,0.9777992277992278
2,optical_digits,bagging,random,2,-1,recall,1.0
2,optical_digits,bagging,random,2,-1,f1-score,0.9887750122010737
2,optical_digits,bagging,random,2,1,precision,1.0
2,optical_digits,bagging,random,2,1,recall,0.7927927927927928
2,optical_digits,bagging,random,2,1,f1-score,0.8844221105527639
2,optical_digits,bagging,random,2,all,accuracy,0.9795373665480427
2,optical_digits,bagging,random,2,all,precision,0.9888996138996139
2,optical_digits,bagging,random,2,all,recall,0.8963963963963963
2,optical_digits,bagging,random,2,all,f1-score,0.9365985613769188
2,optical_digits,bagging,random,2,all,auc,0.9994752897023381
2,optical_digits,bagging,random,2,all,g-mean,0.8903891243679882
3,optical_digits,bagging,random,3,-1,precision,0.9815891472868217
3,optical_digits,bagging,random,3,-1,recall,1.0
3,optical_digits,bagging,random,3,-1,f1-score,0.9907090464547678
3,optical_digits,bagging,random,3,1,precision,1.0
3,optical_digits,bagging,random,3,1,recall,0.8288288288288288
3,optical_digits,bagging,random,3,1,f1-score,0.9064039408866995
3,optical_digits,bagging,random,3,all,accuracy,0.9830960854092526
3,optical_digits,bagging,random,3,all,precision,0.9907945736434108
3,optical_digits,bagging,random,3,all,recall,0.9144144144144144
3,optical_digits,bagging,random,3,all,f1-score,0.9485564936707336
3,optical_digits,bagging,random,3,all,auc,0.9995820104408456
3,optical_digits,bagging,random,3,all,g-mean,0.910400367326831
4,optical_digits,bagging,random,4,-1,precision,0.9712368168744008
4,optical_digits,bagging,random,4,-1,recall,1.0
4,optical_digits,bagging,random,4,-1,f1-score,0.9854085603112841
4,optical_digits,bagging,random,4,1,precision,1.0
4,optical_digits,bagging,random,4,1,recall,0.7297297297297297
4,optical_digits,bagging,random,4,1,f1-score,0.84375
4,optical_digits,bagging,random,4,all,accuracy,0.9733096085409253
4,optical_digits,bagging,random,4,all,precision,0.9856184084372004
4,optical_digits,bagging,random,4,all,recall,0.8648648648648649
4,optical_digits,bagging,random,4,all,f1-score,0.914579280155642
4,optical_digits,bagging,random,4,all,auc,0.9995642236510943
4,optical_digits,bagging,random,4,all,g-mean,0.8542421961772491
5,optical_digits,bagging,random,5,-1,precision,0.9731027857829011
5,optical_digits,bagging,random,5,-1,recall,1.0
5,optical_digits,bagging,random,5,-1,f1-score,0.9863680623174295
5,optical_digits,bagging,random,5,1,precision,1.0
5,optical_digits,bagging,random,5,1,recall,0.7477477477477478
5,optical_digits,bagging,random,5,1,f1-score,0.8556701030927835
5,optical_digits,bagging,random,5,all,accuracy,0.9750889679715302
5,optical_digits,bagging,random,5,all,precision,0.9865513928914506
5,optical_digits,bagging,random,5,all,recall,0.8738738738738738
5,optical_digits,bagging,random,5,all,f1-score,0.9210190827051065
5,optical_digits,bagging,random,5,all,auc,0.9991462340919399
5,optical_digits,bagging,random,5,all,g-mean,0.8647240876416868
6,optical_digits,bagging,random,6,-1,precision,0.9749759384023099
6,optical_digits,bagging,random,6,-1,recall,1.0
6,optical_digits,bagging,random,6,-1,f1-score,0.9873294346978557
6,optical_digits,bagging,random,6,1,precision,1.0
6,optical_digits,bagging,random,6,1,recall,0.7657657657657657
6,optical_digits,bagging,random,6,1,f1-score,0.8673469387755102
6,optical_digits,bagging,random,6,all,accuracy,0.9768683274021353
6,optical_digits,bagging,random,6,all,precision,0.9874879692011549
6,optical_digits,bagging,random,6,all,recall,0.8828828828828829
6,optical_digits,bagging,random,6,all,f1-score,0.927338186736683
6,optical_digits,bagging,random,6,all,auc,0.9991462340919399
6,optical_digits,bagging,random,6,all,g-mean,0.8750804338835177
7,optical_digits,bagging,random,7,-1,precision,0.9749759384023099
7,optical_digits,bagging,random,7,-1,recall,1.0
7,optical_digits,bagging,random,7,-1,f1-score,0.9873294346978557
7,optical_digits,bagging,random,7,1,precision,1.0
7,optical_digits,bagging,random,7,1,recall,0.7657657657657657
7,optical_digits,bagging,random,7,1,f1-score,0.8673469387755102
7,optical_digits,bagging,random,7,all,accuracy,0.9768683274021353
7,optical_digits,bagging,random,7,all,precision,0.9874879692011549
7,optical_digits,bagging,random,7,all,recall,0.8828828828828829
7,optical_digits,bagging,random,7,all,f1-score,0.927338186736683
7,optical_digits,bagging,random,7,all,auc,0.9992529548304475
7,optical_digits,bagging,random,7,all,g-mean,0.8750804338835177
8,optical_digits,bagging,random,8,-1,precision,0.9740384615384615
8,optical_digits,bagging,random,8,-1,recall,1.0
8,optical_digits,bagging,random,8,-1,f1-score,0.9868485143692158
8,optical_digits,bagging,random,8,1,precision,1.0
8,optical_digits,bagging,random,8,1,recall,0.7567567567567568
8,optical_digits,bagging,random,8,1,f1-score,0.8615384615384616
8,optical_digits,bagging,random,8,all,accuracy,0.9759786476868327
8,optical_digits,bagging,random,8,all,precision,0.9870192307692307
