forest_index,dataset,type,strategy,iteration,class,metric,value
0,thyroid_sick,bagging,random,0,-1,precision,0.9791376912378303
0,thyroid_sick,bagging,random,0,-1,recall,0.9929478138222849
0,thyroid_sick,bagging,random,0,-1,f1-score,0.9859943977591037
0,thyroid_sick,bagging,random,0,1,precision,0.8611111111111112
0,thyroid_sick,bagging,random,0,1,recall,0.6739130434782609
0,thyroid_sick,bagging,random,0,1,f1-score,0.7560975609756098
0,thyroid_sick,bagging,random,0,all,accuracy,0.9735099337748344
0,thyroid_sick,bagging,random,0,all,precision,0.9201244011744707
0,thyroid_sick,bagging,random,0,all,recall,0.833430428650273
0,thyroid_sick,bagging,random,0,all,f1-score,0.8710459793673567
0,thyroid_sick,bagging,random,0,all,auc,0.9859262893236034
0,thyroid_sick,bagging,random,0,all,g-mean,0.8180222999576855
1,thyroid_sick,bagging,random,1,-1,precision,0.9901408450704225
1,thyroid_sick,bagging,random,1,-1,recall,0.9915373765867419
1,thyroid_sick,bagging,random,1,-1,f1-score,0.9908386187455955
1,thyroid_sick,bagging,random,1,1,precision,0.8666666666666667
1,thyroid_sick,bagging,random,1,1,recall,0.8478260869565217
1,thyroid_sick,bagging,random,1,1,f1-score,0.8571428571428571
1,thyroid_sick,bagging,random,1,all,accuracy,0.9827814569536424
1,thyroid_sick,bagging,random,1,all,precision,0.9284037558685446
1,thyroid_sick,bagging,random,1,all,recall,0.9196817317716318
1,thyroid_sick,bagging,random,1,all,f1-score,0.9239907379442263
1,thyroid_sick,bagging,random,1,all,auc,0.9940669651070093
1,thyroid_sick,bagging,random,1,all,g-mean,0.9168703583728032
2,thyroid_sick,bagging,random,2,-1,precision,0.9833101529902643
2,thyroid_sick,bagging,random,2,-1,recall,0.997179125528914
2,thyroid_sick,bagging,random,2,-1,f1-score,0.9901960784313726
2,thyroid_sick,bagging,random,2,1,precision,0.9444444444444444
2,thyroid_sick,bagging,random,2,1,recall,0.7391304347826086
2,thyroid_sick,bagging,random,2,1,f1-score,0.8292682926829268
2,thyroid_sick,bagging,random,2,all,accuracy,0.9814569536423841
2,thyroid_sick,bagging,random,2,all,precision,0.9638772987173543
2,thyroid_sick,bagging,random,2,all,recall,0.8681547801557613
2,thyroid_sick,bagging,random,2,all,f1-score,0.9097321855571496
2,thyroid_sick,bagging,random,2,all,auc,0.9961826209603237
2,thyroid_sick,bagging,random,2,all,g-mean,0.8585135063633698
3,thyroid_sick,bagging,random,3,-1,precision,0.9859943977591037
3,thyroid_sick,bagging,random,3,-1,recall,0.9929478138222849
