forest_index,dataset,type,strategy,iteration,class,metric,value
0,us_crime,bagging,random,0,-1,precision,0.9455958549222798
0,us_crime,bagging,random,0,-1,recall,0.989159891598916
0,us_crime,bagging,random,0,-1,f1-score,0.9668874172185431
0,us_crime,bagging,random,0,1,precision,0.6923076923076923
0,us_crime,bagging,random,0,1,recall,0.3
0,us_crime,bagging,random,0,1,f1-score,0.4186046511627907
0,us_crime,bagging,random,0,all,accuracy,0.9373433583959899
0,us_crime,bagging,random,0,all,precision,0.8189517736149861
0,us_crime,bagging,random,0,all,recall,0.644579945799458
0,us_crime,bagging,random,0,all,f1-score,0.6927460341906669
0,us_crime,bagging,random,0,all,auc,0.8805781391147243
0,us_crime,bagging,random,0,all,g-mean,0.5447457824340403
1,us_crime,bagging,random,1,-1,precision,0.9381443298969072
1,us_crime,bagging,random,1,-1,recall,0.986449864498645
1,us_crime,bagging,random,1,-1,f1-score,0.9616908850726552
1,us_crime,bagging,random,1,1,precision,0.5454545454545454
1,us_crime,bagging,random,1,1,recall,0.2
1,us_crime,bagging,random,1,1,f1-score,0.2926829268292683
1,us_crime,bagging,random,1,all,accuracy,0.9273182957393483
1,us_crime,bagging,random,1,all,precision,0.7417994376757263
1,us_crime,bagging,random,1,all,recall,0.5932249322493225
1,us_crime,bagging,random,1,all,f1-score,0.6271869059509617
1,us_crime,bagging,random,1,all,auc,0.8985998193315268
1,us_crime,bagging,random,1,all,g-mean,0.44417335906122174
2,us_crime,bagging,random,2,-1,precision,0.9453125
2,us_crime,bagging,random,2,-1,recall,0.983739837398374
2,us_crime,bagging,random,2,-1,f1-score,0.9641434262948207
2,us_crime,bagging,random,2,1,precision,0.6
2,us_crime,bagging,random,2,1,recall,0.3
2,us_crime,bagging,random,2,1,f1-score,0.4
2,us_crime,bagging,random,2,all,accuracy,0.9323308270676691
2,us_crime,bagging,random,2,all,precision,0.77265625
2,us_crime,bagging,random,2,all,recall,0.641869918699187
2,us_crime,bagging,random,2,all,f1-score,0.6820717131474103
2,us_crime,bagging,random,2,all,auc,0.9008581752484192
2,us_crime,bagging,random,2,all,g-mean,0.5432512781572743
3,us_crime,bagging,random,3,-1,precision,0.9401041666666666
3,us_crime,bagging,random,3,-1,recall,0.978319783197832
3,us_crime,bagging,random,3,-1,f1-score,0.9588313413014609
3,us_crime,bagging,random,3,1,precision,0.4666666666666667
3,us_crime,bagging,random,3,1,recall,0.23333333333333334
3,us_crime,bagging,random,3,1,f1-score,0.3111111111111111
3,us_crime,bagging,random,3,all,accuracy,0.9223057644110275
3,us_crime,bagging,random,3,all,precision,0.7033854166666667
3,us_crime,bagging,random,3,all,recall,0.6058265582655826
3,us_crime,bagging,random,3,all,f1-score,0.634971226206286
3,us_crime,bagging,random,3,all,auc,0.8721318879855465
3,us_crime,bagging,random,3,all,g-mean,0.4777809289616886
4,us_crime,bagging,random,4,-1,precision,0.9458762886597938
4,us_crime,bagging,random,4,-1,recall,0.994579945799458
4,us_crime,bagging,random,4,-1,f1-score,0.9696169088507266
4,us_crime,bagging,random,4,1,precision,0.8181818181818182
4,us_crime,bagging,random,4,1,recall,0.3
4,us_crime,bagging,random,4,1,f1-score,0.43902439024390244
4,us_crime,bagging,random,4,all,accuracy,0.9423558897243107
4,us_crime,bagging,random,4,all,precision,0.882029053420806
4,us_crime,bagging,random,4,all,recall,0.647289972899729
4,us_crime,bagging,random,4,all,f1-score,0.7043206495473145
4,us_crime,bagging,random,4,all,auc,0.9009936766034328
4,us_crime,bagging,random,4,all,g-mean,0.5462361977568287
5,us_crime,bagging,random,5,-1,precision,0.9503916449086162
5,us_crime,bagging,random,5,-1,recall,0.986449864498645
5,us_crime,bagging,random,5,-1,f1-score,0.9680851063829787
5,us_crime,bagging,random,5,1,precision,0.6875
5,us_crime,bagging,random,5,1,recall,0.36666666666666664
5,us_crime,bagging,random,5,1,f1-score,0.4782608695652174
5,us_crime,bagging,random,5,all,accuracy,0.9398496240601504
5,us_crime,bagging,random,5,all,precision,0.818945822454308
5,us_crime,bagging,random,5,all,recall,0.6765582655826559
5,us_crime,bagging,random,5,all,f1-score,0.723172987974098
5,us_crime,bagging,random,5,all,auc,0.8982836495031616
5,us_crime,bagging,random,5,all,g-mean,0.6014135712215872
6,us_crime,bagging,random,6,-1,precision,0.9506493506493506
6,us_crime,bagging,random,6,-1,recall,0.991869918699187
6,us_crime,bagging,random,6,-1,f1-score,0.9708222811671088
6,us_crime,bagging,random,6,1,precision,0.7857142857142857
6,us_crime,bagging,random,6,1,recall,0.36666666666666664
6,us_crime,bagging,random,6,1,f1-score,0.5
6,us_crime,bagging,random,6,all,accuracy,0.9448621553884712
6,us_crime,bagging,random,6,all,precision,0.8681818181818182
6,us_crime,bagging,random,6,all,recall,0.6792682926829268
6,us_crime,bagging,random,6,all,f1-score,0.7354111405835544
6,us_crime,bagging,random,6,all,auc,0.9156729900632341
6,us_crime,bagging,random,6,all,g-mean,0.6030635429673796
7,us_crime,bagging,random,7,-1,precision,0.9505208333333334
7,us_crime,bagging,random,7,-1,recall,0.989159891598916
7,us_crime,bagging,random,7,-1,f1-score,0.9694555112881806
7,us_crime,bagging,random,7,1,precision,0.7333333333333333
