forest_index,dataset,type,strategy,iteration,class,metric,value
0,us_crime,bagging,random,0,-1,precision,0.9362244897959183
0,us_crime,bagging,random,0,-1,recall,0.994579945799458
0,us_crime,bagging,random,0,-1,f1-score,0.9645203679369251
0,us_crime,bagging,random,0,1,precision,0.7142857142857143
0,us_crime,bagging,random,0,1,recall,0.16666666666666666
0,us_crime,bagging,random,0,1,f1-score,0.2702702702702703
0,us_crime,bagging,random,0,all,accuracy,0.9323308270676691
0,us_crime,bagging,random,0,all,precision,0.8252551020408163
0,us_crime,bagging,random,0,all,recall,0.5806233062330624
0,us_crime,bagging,random,0,all,f1-score,0.6173953191035977
0,us_crime,bagging,random,0,all,auc,0.9248870822041555
0,us_crime,bagging,random,0,all,g-mean,0.40714042331842915
1,us_crime,bagging,random,1,-1,precision,0.9386189258312021
1,us_crime,bagging,random,1,-1,recall,0.994579945799458
1,us_crime,bagging,random,1,-1,f1-score,0.9657894736842105
1,us_crime,bagging,random,1,1,precision,0.75
1,us_crime,bagging,random,1,1,recall,0.2
1,us_crime,bagging,random,1,1,f1-score,0.3157894736842105
1,us_crime,bagging,random,1,all,accuracy,0.9348370927318296
1,us_crime,bagging,random,1,all,precision,0.844309462915601
1,us_crime,bagging,random,1,all,recall,0.597289972899729
1,us_crime,bagging,random,1,all,f1-score,0.6407894736842106
1,us_crime,bagging,random,1,all,auc,0.8466124661246612
1,us_crime,bagging,random,1,all,g-mean,0.44599998784741196
2,us_crime,bagging,random,2,-1,precision,0.9483204134366925
2,us_crime,bagging,random,2,-1,recall,0.994579945799458
2,us_crime,bagging,random,2,-1,f1-score,0.9708994708994709
2,us_crime,bagging,random,2,1,precision,0.8333333333333334
2,us_crime,bagging,random,2,1,recall,0.3333333333333333
2,us_crime,bagging,random,2,1,f1-score,0.47619047619047616
2,us_crime,bagging,random,2,all,accuracy,0.9448621553884712
2,us_crime,bagging,random,2,all,precision,0.8908268733850129
2,us_crime,bagging,random,2,all,recall,0.6639566395663956
2,us_crime,bagging,random,2,all,f1-score,0.7235449735449735
2,us_crime,bagging,random,2,all,auc,0.8997289972899729
2,us_crime,bagging,random,2,all,g-mean,0.5757835084472456
3,us_crime,bagging,random,3,-1,precision,0.9505208333333334
3,us_crime,bagging,random,3,-1,recall,0.989159891598916
3,us_crime,bagging,random,3,-1,f1-score,0.9694555112881806
3,us_crime,bagging,random,3,1,precision,0.7333333333333333
3,us_crime,bagging,random,3,1,recall,0.36666666666666664
3,us_crime,bagging,random,3,1,f1-score,0.4888888888888889
3,us_crime,bagging,random,3,all,accuracy,0.9423558897243107
3,us_crime,bagging,random,3,all,precision,0.8419270833333333
3,us_crime,bagging,random,3,all,recall,0.6779132791327913
3,us_crime,bagging,random,3,all,f1-score,0.7291722000885348
3,us_crime,bagging,random,3,all,auc,0.916260162601626
3,us_crime,bagging,random,3,all,g-mean,0.6022391221540958
4,us_crime,bagging,random,4,-1,precision,0.9455958549222798
4,us_crime,bagging,random,4,-1,recall,0.989159891598916
4,us_crime,bagging,random,4,-1,f1-score,0.9668874172185431
4,us_crime,bagging,random,4,1,precision,0.6923076923076923
4,us_crime,bagging,random,4,1,recall,0.3
4,us_crime,bagging,random,4,1,f1-score,0.4186046511627907
4,us_crime,bagging,random,4,all,accuracy,0.9373433583959899
4,us_crime,bagging,random,4,all,precision,0.8189517736149861
