forest_index,dataset,type,strategy,iteration,class,metric,value
0,wine_quality,bagging,random,0,-1,precision,0.9681724845995893
0,wine_quality,bagging,random,0,-1,recall,1.0
0,wine_quality,bagging,random,0,-1,f1-score,0.983828899321857
0,wine_quality,bagging,random,0,1,precision,1.0
0,wine_quality,bagging,random,0,1,recall,0.16216216216216217
0,wine_quality,bagging,random,0,1,f1-score,0.27906976744186046
0,wine_quality,bagging,random,0,all,accuracy,0.9683673469387755
0,wine_quality,bagging,random,0,all,precision,0.9840862422997947
0,wine_quality,bagging,random,0,all,recall,0.5810810810810811
0,wine_quality,bagging,random,0,all,f1-score,0.6314493333818587
0,wine_quality,bagging,random,0,all,auc,0.894772290848643
0,wine_quality,bagging,random,0,all,g-mean,0.4026936331284146
1,wine_quality,bagging,random,1,-1,precision,0.9670781893004116
1,wine_quality,bagging,random,1,-1,recall,0.9968186638388123
1,wine_quality,bagging,random,1,-1,f1-score,0.9817232375979112
1,wine_quality,bagging,random,1,1,precision,0.625
1,wine_quality,bagging,random,1,1,recall,0.13513513513513514
1,wine_quality,bagging,random,1,1,f1-score,0.2222222222222222
1,wine_quality,bagging,random,1,all,accuracy,0.9642857142857143
1,wine_quality,bagging,random,1,all,precision,0.7960390946502058
1,wine_quality,bagging,random,1,all,recall,0.5659768994869737
1,wine_quality,bagging,random,1,all,f1-score,0.6019727299100668
1,wine_quality,bagging,random,1,all,auc,0.8681895044567367
1,wine_quality,bagging,random,1,all,g-mean,0.36702210402519736
2,wine_quality,bagging,random,2,-1,precision,0.9642126789366053
2,wine_quality,bagging,random,2,-1,recall,1.0
2,wine_quality,bagging,random,2,-1,f1-score,0.9817803227485684
2,wine_quality,bagging,random,2,1,precision,1.0
2,wine_quality,bagging,random,2,1,recall,0.05405405405405406
2,wine_quality,bagging,random,2,1,f1-score,0.10256410256410256
2,wine_quality,bagging,random,2,all,accuracy,0.9642857142857143
2,wine_quality,bagging,random,2,all,precision,0.9821063394683027
2,wine_quality,bagging,random,2,all,recall,0.527027027027027
2,wine_quality,bagging,random,2,all,f1-score,0.5421722126563355
2,wine_quality,bagging,random,2,all,auc,0.8949585853085322
2,wine_quality,bagging,random,2,all,g-mean,0.2324952774876386
3,wine_quality,bagging,random,3,-1,precision,0.9681069958847737
3,wine_quality,bagging,random,3,-1,recall,0.9978791092258749
3,wine_quality,bagging,random,3,-1,f1-score,0.9827676240208877
3,wine_quality,bagging,random,3,1,precision,0.75
3,wine_quality,bagging,random,3,1,recall,0.16216216216216217
3,wine_quality,bagging,random,3,1,f1-score,0.26666666666666666
3,wine_quality,bagging,random,3,all,accuracy,0.9663265306122449
3,wine_quality,bagging,random,3,all,precision,0.8590534979423868
3,wine_quality,bagging,random,3,all,recall,0.5800206356940185
3,wine_quality,bagging,random,3,all,f1-score,0.6247171453437772
3,wine_quality,bagging,random,3,all,auc,0.8899572955776561
3,wine_quality,bagging,random,3,all,g-mean,0.4022663718588968
4,wine_quality,bagging,random,4,-1,precision,0.9661885245901639
4,wine_quality,bagging,random,4,-1,recall,1.0
4,wine_quality,bagging,random,4,-1,f1-score,0.982803543512246
4,wine_quality,bagging,random,4,1,precision,1.0
4,wine_quality,bagging,random,4,1,recall,0.10810810810810811
4,wine_quality,bagging,random,4,1,f1-score,0.1951219512195122
4,wine_quality,bagging,random,4,all,accuracy,0.9663265306122449
4,wine_quality,bagging,random,4,all,precision,0.983094262295082
4,wine_quality,bagging,random,4,all,recall,0.5540540540540541
4,wine_quality,bagging,random,4,all,f1-score,0.5889627473658791
4,wine_quality,bagging,random,4,all,auc,0.8853572554526956
4,wine_quality,bagging,random,4,all,g-mean,0.32879797461071464
5,wine_quality,bagging,random,5,-1,precision,0.9691675231243576
5,wine_quality,bagging,random,5,-1,recall,1.0
5,wine_quality,bagging,random,5,-1,f1-score,0.9843423799582464
5,wine_quality,bagging,random,5,1,precision,1.0
5,wine_quality,bagging,random,5,1,recall,0.1891891891891892
5,wine_quality,bagging,random,5,1,f1-score,0.3181818181818182
5,wine_quality,bagging,random,5,all,accuracy,0.9693877551020408
5,wine_quality,bagging,random,5,all,precision,0.9845837615621789
5,wine_quality,bagging,random,5,all,recall,0.5945945945945946
5,wine_quality,bagging,random,5,all,f1-score,0.6512620990700323
5,wine_quality,bagging,random,5,all,auc,0.8864033704966898
5,wine_quality,bagging,random,5,all,g-mean,0.43495883620084
6,wine_quality,bagging,random,6,-1,precision,0.9651639344262295
6,wine_quality,bagging,random,6,-1,recall,0.9989395546129375
6,wine_quality,bagging,random,6,-1,f1-score,0.9817613340281397
6,wine_quality,bagging,random,6,1,precision,0.75
6,wine_quality,bagging,random,6,1,recall,0.08108108108108109
6,wine_quality,bagging,random,6,1,f1-score,0.14634146341463414
6,wine_quality,bagging,random,6,all,accuracy,0.9642857142857143
6,wine_quality,bagging,random,6,all,precision,0.8575819672131147
6,wine_quality,bagging,random,6,all,recall,0.5400103178470093
6,wine_quality,bagging,random,6,all,f1-score,0.5640513987213869
6,wine_quality,bagging,random,6,all,auc,0.8688057092086784
6,wine_quality,bagging,random,6,all,g-mean,0.28459637914539704
7,wine_quality,bagging,random,7,-1,precision,0.9681724845995893
7,wine_quality,bagging,random,7,-1,recall,1.0
7,wine_quality,bagging,random,7,-1,f1-score,0.983828899321857
7,wine_quality,bagging,random,7,1,precision,1.0
7,wine_quality,bagging,random,7,1,recall,0.16216216216216217
7,wine_quality,bagging,random,7,1,f1-score,0.27906976744186046
7,wine_quality,bagging,random,7,all,accuracy,0.9683673469387755
7,wine_quality,bagging,random,7,all,precision,0.9840862422997947
7,wine_quality,bagging,random,7,all,recall,0.5810810810810811
7,wine_quality,bagging,random,7,all,f1-score,0.6314493333818587
7,wine_quality,bagging,random,7,all,auc,0.8804132870940931
7,wine_quality,bagging,random,7,all,g-mean,0.4026936331284146
8,wine_quality,bagging,random,8,-1,precision,0.9641393442622951
8,wine_quality,bagging,random,8,-1,recall,0.9978791092258749
8,wine_quality,bagging,random,8,-1,f1-score,0.9807191245440333
8,wine_quality,bagging,random,8,1,precision,0.5
8,wine_quality,bagging,random,8,1,recall,0.05405405405405406
8,wine_quality,bagging,random,8,1,f1-score,0.0975609756097561
8,wine_quality,bagging,random,8,all,accuracy,0.9622448979591837
8,wine_quality,bagging,random,8,all,precision,0.7320696721311475
8,wine_quality,bagging,random,8,all,recall,0.5259665816399645
8,wine_quality,bagging,random,8,all,f1-score,0.5391400500768947
8,wine_quality,bagging,random,8,all,auc,0.8496747012123471
8,wine_quality,bagging,random,8,all,g-mean,0.23224859807866818
9,wine_quality,bagging,random,9,-1,precision,0.9651995905834186
9,wine_quality,bagging,random,9,-1,recall,1.0
9,wine_quality,bagging,random,9,-1,f1-score,0.9822916666666667
9,wine_quality,bagging,random,9,1,precision,1.0
9,wine_quality,bagging,random,9,1,recall,0.08108108108108109
9,wine_quality,bagging,random,9,1,f1-score,0.15
9,wine_quality,bagging,random,9,all,accuracy,0.9653061224489796
9,wine_quality,bagging,random,9,all,precision,0.9825997952917094
9,wine_quality,bagging,random,9,all,recall,0.5405405405405406
9,wine_quality,bagging,random,9,all,f1-score,0.5661458333333333
9,wine_quality,bagging,random,9,all,auc,0.8676306210770686
9,wine_quality,bagging,random,9,all,g-mean,0.28474739872574967
10,wine_quality,bagging,random,10,-1,precision,0.9671794871794872
10,wine_quality,bagging,random,10,-1,recall,1.0
10,wine_quality,bagging,random,10,-1,f1-score,0.9833159541188738
10,wine_quality,bagging,random,10,1,precision,1.0
10,wine_quality,bagging,random,10,1,recall,0.13513513513513514
10,wine_quality,bagging,random,10,1,f1-score,0.23809523809523808
10,wine_quality,bagging,random,10,all,accuracy,0.9673469387755103
10,wine_quality,bagging,random,10,all,precision,0.9835897435897436
10,wine_quality,bagging,random,10,all,recall,0.5675675675675675
10,wine_quality,bagging,random,10,all,f1-score,0.610705596107056
10,wine_quality,bagging,random,10,all,auc,0.8839815425181279
