forest_index,dataset,type,strategy,iteration,class,metric,value
0,wine_quality,bagging,random,0,-1,precision,0.9661190965092402
0,wine_quality,bagging,random,0,-1,recall,0.9978791092258749
0,wine_quality,bagging,random,0,-1,f1-score,0.9817423056859677
0,wine_quality,bagging,random,0,1,precision,0.6666666666666666
0,wine_quality,bagging,random,0,1,recall,0.10810810810810811
0,wine_quality,bagging,random,0,1,f1-score,0.18604651162790697
0,wine_quality,bagging,random,0,all,accuracy,0.9642857142857143
0,wine_quality,bagging,random,0,all,precision,0.8163928815879534
0,wine_quality,bagging,random,0,all,recall,0.5529936086669915
0,wine_quality,bagging,random,0,all,f1-score,0.5838944086569373
0,wine_quality,bagging,random,0,all,auc,0.8451606431457969
0,wine_quality,bagging,random,0,all,g-mean,0.3284491172449905
1,wine_quality,bagging,random,1,-1,precision,0.9671457905544147
1,wine_quality,bagging,random,1,-1,recall,0.9989395546129375
1,wine_quality,bagging,random,1,-1,f1-score,0.9827856025039123
1,wine_quality,bagging,random,1,1,precision,0.8333333333333334
1,wine_quality,bagging,random,1,1,recall,0.13513513513513514
1,wine_quality,bagging,random,1,1,f1-score,0.23255813953488372
1,wine_quality,bagging,random,1,all,accuracy,0.9663265306122449
1,wine_quality,bagging,random,1,all,precision,0.9002395619438741
1,wine_quality,bagging,random,1,all,recall,0.5670373448740363
1,wine_quality,bagging,random,1,all,f1-score,0.607671871019398
1,wine_quality,bagging,random,1,all,auc,0.90744031412112
1,wine_quality,bagging,random,1,all,g-mean,0.36741234560701824
2,wine_quality,bagging,random,2,-1,precision,0.9681069958847737
2,wine_quality,bagging,random,2,-1,recall,0.9978791092258749
2,wine_quality,bagging,random,2,-1,f1-score,0.9827676240208877
2,wine_quality,bagging,random,2,1,precision,0.75
2,wine_quality,bagging,random,2,1,recall,0.16216216216216217
2,wine_quality,bagging,random,2,1,f1-score,0.26666666666666666
2,wine_quality,bagging,random,2,all,accuracy,0.9663265306122449
2,wine_quality,bagging,random,2,all,precision,0.8590534979423868
2,wine_quality,bagging,random,2,all,recall,0.5800206356940185
