forest_index,dataset,type,strategy,iteration,class,metric,value
0,wine_quality,bagging,random,0,-1,precision,0.9711340206185567
0,wine_quality,bagging,random,0,-1,recall,0.9989395546129375
0,wine_quality,bagging,random,0,-1,f1-score,0.9848405645582854
0,wine_quality,bagging,random,0,1,precision,0.9
0,wine_quality,bagging,random,0,1,recall,0.24324324324324326
0,wine_quality,bagging,random,0,1,f1-score,0.3829787234042553
0,wine_quality,bagging,random,0,all,accuracy,0.9704081632653061
0,wine_quality,bagging,random,0,all,precision,0.9355670103092784
0,wine_quality,bagging,random,0,all,recall,0.6210913989280904
0,wine_quality,bagging,random,0,all,f1-score,0.6839096439812704
0,wine_quality,bagging,random,0,all,auc,0.8816743572841134
0,wine_quality,bagging,random,0,all,g-mean,0.4929353883299634
1,wine_quality,bagging,random,1,-1,precision,0.9691358024691358
1,wine_quality,bagging,random,1,-1,recall,0.9989395546129375
1,wine_quality,bagging,random,1,-1,f1-score,0.9838120104438642
1,wine_quality,bagging,random,1,1,precision,0.875
1,wine_quality,bagging,random,1,1,recall,0.1891891891891892
1,wine_quality,bagging,random,1,1,f1-score,0.3111111111111111
1,wine_quality,bagging,random,1,all,accuracy,0.9683673469387755
1,wine_quality,bagging,random,1,all,precision,0.9220679012345678
1,wine_quality,bagging,random,1,all,recall,0.5940643719010633
1,wine_quality,bagging,random,1,all,f1-score,0.6474615607774876
1,wine_quality,bagging,random,1,all,auc,0.9194348112693819
1,wine_quality,bagging,random,1,all,g-mean,0.43472814998137793
2,wine_quality,bagging,random,2,-1,precision,0.9671120246659815
2,wine_quality,bagging,random,2,-1,recall,0.9978791092258749
2,wine_quality,bagging,random,2,-1,f1-score,0.9822546972860126
2,wine_quality,bagging,random,2,1,precision,0.7142857142857143
2,wine_quality,bagging,random,2,1,recall,0.13513513513513514
2,wine_quality,bagging,random,2,1,f1-score,0.22727272727272727
2,wine_quality,bagging,random,2,all,accuracy,0.9653061224489796
2,wine_quality,bagging,random,2,all,precision,0.8406988694758479
2,wine_quality,bagging,random,2,all,recall,0.566507122180505
2,wine_quality,bagging,random,2,all,f1-score,0.6047637122793699
2,wine_quality,bagging,random,2,all,auc,0.8992290275429193
2,wine_quality,bagging,random,2,all,g-mean,0.3672172766547986
3,wine_quality,bagging,random,3,-1,precision,0.9700413223140496
3,wine_quality,bagging,random,3,-1,recall,0.9957582184517497
3,wine_quality,bagging,random,3,-1,f1-score,0.9827315541601256
3,wine_quality,bagging,random,3,1,precision,0.6666666666666666
3,wine_quality,bagging,random,3,1,recall,0.21621621621621623
3,wine_quality,bagging,random,3,1,f1-score,0.32653061224489793
3,wine_quality,bagging,random,3,all,accuracy,0.9663265306122449
3,wine_quality,bagging,random,3,all,precision,0.8183539944903582
3,wine_quality,bagging,random,3,all,recall,0.605987217333983
3,wine_quality,bagging,random,3,all,f1-score,0.6546310832025117
3,wine_quality,bagging,random,3,all,auc,0.8956177810896793
3,wine_quality,bagging,random,3,all,g-mean,0.4640033127681717
4,wine_quality,bagging,random,4,-1,precision,0.9681397738951696
4,wine_quality,bagging,random,4,-1,recall,0.9989395546129375
4,wine_quality,bagging,random,4,-1,f1-score,0.9832985386221295
4,wine_quality,bagging,random,4,1,precision,0.8571428571428571
4,wine_quality,bagging,random,4,1,recall,0.16216216216216217
4,wine_quality,bagging,random,4,1,f1-score,0.2727272727272727
4,wine_quality,bagging,random,4,all,accuracy,0.9673469387755103
4,wine_quality,bagging,random,4,all,precision,0.9126413155190134
4,wine_quality,bagging,random,4,all,recall,0.5805508583875498
4,wine_quality,bagging,random,4,all,f1-score,0.628012905674701
4,wine_quality,bagging,random,4,all,auc,0.8122295147745836
4,wine_quality,bagging,random,4,all,g-mean,0.40248005918969604
5,wine_quality,bagging,random,5,-1,precision,0.9641393442622951
5,wine_quality,bagging,random,5,-1,recall,0.9978791092258749
5,wine_quality,bagging,random,5,-1,f1-score,0.9807191245440333
5,wine_quality,bagging,random,5,1,precision,0.5
5,wine_quality,bagging,random,5,1,recall,0.05405405405405406
5,wine_quality,bagging,random,5,1,f1-score,0.0975609756097561
5,wine_quality,bagging,random,5,all,accuracy,0.9622448979591837
5,wine_quality,bagging,random,5,all,precision,0.7320696721311475
5,wine_quality,bagging,random,5,all,recall,0.5259665816399645
5,wine_quality,bagging,random,5,all,f1-score,0.5391400500768947
5,wine_quality,bagging,random,5,all,auc,0.9023530423318336
5,wine_quality,bagging,random,5,all,g-mean,0.23224859807866818
6,wine_quality,bagging,random,6,-1,precision,0.9641025641025641
6,wine_quality,bagging,random,6,-1,recall,0.9968186638388123
6,wine_quality,bagging,random,6,-1,f1-score,0.9801876955161627
6,wine_quality,bagging,random,6,1,precision,0.4
6,wine_quality,bagging,random,6,1,recall,0.05405405405405406
6,wine_quality,bagging,random,6,1,f1-score,0.09523809523809523
6,wine_quality,bagging,random,6,all,accuracy,0.9612244897959183
6,wine_quality,bagging,random,6,all,precision,0.6820512820512821
6,wine_quality,bagging,random,6,all,recall,0.5254363589464333
6,wine_quality,bagging,random,6,all,f1-score,0.537712895377129
6,wine_quality,bagging,random,6,all,auc,0.8183342409217276
6,wine_quality,bagging,random,6,all,g-mean,0.2321251600693753
7,wine_quality,bagging,random,7,-1,precision,0.9671120246659815
7,wine_quality,bagging,random,7,-1,recall,0.9978791092258749
7,wine_quality,bagging,random,7,-1,f1-score,0.9822546972860126
7,wine_quality,bagging,random,7,1,precision,0.7142857142857143
