forest_index,dataset,type,strategy,iteration,class,metric,value
0,ecoli,bagging,random,0,-1,precision,0.9354838709677419
0,ecoli,bagging,random,0,-1,recall,0.9508196721311475
0,ecoli,bagging,random,0,-1,f1-score,0.943089430894309
0,ecoli,bagging,random,0,1,precision,0.5
0,ecoli,bagging,random,0,1,recall,0.42857142857142855
0,ecoli,bagging,random,0,1,f1-score,0.46153846153846156
0,ecoli,bagging,random,0,all,accuracy,0.8970588235294118
0,ecoli,bagging,random,0,all,precision,0.717741935483871
0,ecoli,bagging,random,0,all,recall,0.689695550351288
0,ecoli,bagging,random,0,all,f1-score,0.7023139462163852
0,ecoli,bagging,random,0,all,auc,0.9566744730679155
0,ecoli,bagging,random,0,all,g-mean,0.6383526808896969
1,ecoli,bagging,random,1,-1,precision,0.9365079365079365
1,ecoli,bagging,random,1,-1,recall,0.9672131147540983
1,ecoli,bagging,random,1,-1,f1-score,0.9516129032258065
1,ecoli,bagging,random,1,1,precision,0.6
1,ecoli,bagging,random,1,1,recall,0.42857142857142855
1,ecoli,bagging,random,1,1,f1-score,0.5
1,ecoli,bagging,random,1,all,accuracy,0.9117647058823529
1,ecoli,bagging,random,1,all,precision,0.7682539682539682
1,ecoli,bagging,random,1,all,recall,0.6978922716627635
1,ecoli,bagging,random,1,all,f1-score,0.7258064516129032
1,ecoli,bagging,random,1,all,auc,0.9531615925058547
1,ecoli,bagging,random,1,all,g-mean,0.6438322035462228
2,ecoli,bagging,random,2,-1,precision,0.9516129032258065
2,ecoli,bagging,random,2,-1,recall,0.9672131147540983
2,ecoli,bagging,random,2,-1,f1-score,0.959349593495935
2,ecoli,bagging,random,2,1,precision,0.6666666666666666
2,ecoli,bagging,random,2,1,recall,0.5714285714285714
2,ecoli,bagging,random,2,1,f1-score,0.6153846153846154
2,ecoli,bagging,random,2,all,accuracy,0.9264705882352942
2,ecoli,bagging,random,2,all,precision,0.8091397849462365
2,ecoli,bagging,random,2,all,recall,0.7693208430913349
2,ecoli,bagging,random,2,all,f1-score,0.7873671044402752
2,ecoli,bagging,random,2,all,auc,0.9590163934426228
2,ecoli,bagging,random,2,all,g-mean,0.7434333920607233
3,ecoli,bagging,random,3,-1,precision,0.9508196721311475
3,ecoli,bagging,random,3,-1,recall,0.9508196721311475
3,ecoli,bagging,random,3,-1,f1-score,0.9508196721311475
3,ecoli,bagging,random,3,1,precision,0.5714285714285714
3,ecoli,bagging,random,3,1,recall,0.5714285714285714
3,ecoli,bagging,random,3,1,f1-score,0.5714285714285714
3,ecoli,bagging,random,3,all,accuracy,0.9117647058823529
3,ecoli,bagging,random,3,all,precision,0.7611241217798594
3,ecoli,bagging,random,3,all,recall,0.7611241217798594
3,ecoli,bagging,random,3,all,f1-score,0.7611241217798594
3,ecoli,bagging,random,3,all,auc,0.9519906323185011
3,ecoli,bagging,random,3,all,g-mean,0.7371061842991715
4,ecoli,bagging,random,4,-1,precision,0.9354838709677419
4,ecoli,bagging,random,4,-1,recall,0.9508196721311475
4,ecoli,bagging,random,4,-1,f1-score,0.943089430894309
4,ecoli,bagging,random,4,1,precision,0.5
4,ecoli,bagging,random,4,1,recall,0.42857142857142855
4,ecoli,bagging,random,4,1,f1-score,0.46153846153846156
4,ecoli,bagging,random,4,all,accuracy,0.8970588235294118
4,ecoli,bagging,random,4,all,precision,0.717741935483871
4,ecoli,bagging,random,4,all,recall,0.689695550351288
4,ecoli,bagging,random,4,all,f1-score,0.7023139462163852
4,ecoli,bagging,random,4,all,auc,0.9531615925058547
4,ecoli,bagging,random,4,all,g-mean,0.6383526808896969
5,ecoli,bagging,random,5,-1,precision,0.9365079365079365
5,ecoli,bagging,random,5,-1,recall,0.9672131147540983
5,ecoli,bagging,random,5,-1,f1-score,0.9516129032258065
5,ecoli,bagging,random,5,1,precision,0.6
5,ecoli,bagging,random,5,1,recall,0.42857142857142855
5,ecoli,bagging,random,5,1,f1-score,0.5
5,ecoli,bagging,random,5,all,accuracy,0.9117647058823529
5,ecoli,bagging,random,5,all,precision,0.7682539682539682
5,ecoli,bagging,random,5,all,recall,0.6978922716627635
5,ecoli,bagging,random,5,all,f1-score,0.7258064516129032
5,ecoli,bagging,random,5,all,auc,0.9578454332552693
5,ecoli,bagging,random,5,all,g-mean,0.6438322035462228
6,ecoli,bagging,random,6,-1,precision,0.9365079365079365
6,ecoli,bagging,random,6,-1,recall,0.9672131147540983
6,ecoli,bagging,random,6,-1,f1-score,0.9516129032258065
6,ecoli,bagging,random,6,1,precision,0.6
6,ecoli,bagging,random,6,1,recall,0.42857142857142855
6,ecoli,bagging,random,6,1,f1-score,0.5
6,ecoli,bagging,random,6,all,accuracy,0.9117647058823529
6,ecoli,bagging,random,6,all,precision,0.7682539682539682
6,ecoli,bagging,random,6,all,recall,0.6978922716627635
6,ecoli,bagging,random,6,all,f1-score,0.7258064516129032
6,ecoli,bagging,random,6,all,auc,0.955503512880562
6,ecoli,bagging,random,6,all,g-mean,0.6438322035462228
7,ecoli,bagging,random,7,-1,precision,0.9365079365079365
7,ecoli,bagging,random,7,-1,recall,0.9672131147540983
7,ecoli,bagging,random,7,-1,f1-score,0.9516129032258065
7,ecoli,bagging,random,7,1,precision,0.6
7,ecoli,bagging,random,7,1,recall,0.42857142857142855
7,ecoli,bagging,random,7,1,f1-score,0.5
7,ecoli,bagging,random,7,all,accuracy,0.9117647058823529
7,ecoli,bagging,random,7,all,precision,0.7682539682539682
7,ecoli,bagging,random,7,all,recall,0.6978922716627635
7,ecoli,bagging,random,7,all,f1-score,0.7258064516129032
7,ecoli,bagging,random,7,all,auc,0.949648711943794
7,ecoli,bagging,random,7,all,g-mean,0.6438322035462228
8,ecoli,bagging,random,8,-1,precision,0.9206349206349206
8,ecoli,bagging,random,8,-1,recall,0.9508196721311475
8,ecoli,bagging,random,8,-1,f1-score,0.9354838709677419
8,ecoli,bagging,random,8,1,precision,0.4
8,ecoli,bagging,random,8,1,recall,0.2857142857142857
8,ecoli,bagging,random,8,1,f1-score,0.3333333333333333
8,ecoli,bagging,random,8,all,accuracy,0.8823529411764706
8,ecoli,bagging,random,8,all,precision,0.6603174603174603
8,ecoli,bagging,random,8,all,recall,0.6182669789227166
8,ecoli,bagging,random,8,all,f1-score,0.6344086021505376
8,ecoli,bagging,random,8,all,auc,0.9531615925058547
8,ecoli,bagging,random,8,all,g-mean,0.5212127813724853
9,ecoli,bagging,random,9,-1,precision,0.921875
9,ecoli,bagging,random,9,-1,recall,0.9672131147540983
9,ecoli,bagging,random,9,-1,f1-score,0.944
9,ecoli,bagging,random,9,1,precision,0.5
9,ecoli,bagging,random,9,1,recall,0.2857142857142857
9,ecoli,bagging,random,9,1,f1-score,0.36363636363636365
9,ecoli,bagging,random,9,all,accuracy,0.8970588235294118
9,ecoli,bagging,random,9,all,precision,0.7109375
9,ecoli,bagging,random,9,all,recall,0.626463700234192
9,ecoli,bagging,random,9,all,f1-score,0.6538181818181819
9,ecoli,bagging,random,9,all,auc,0.9543325526932085
9,ecoli,bagging,random,9,all,g-mean,0.5256867928866548
10,ecoli,bagging,random,10,-1,precision,0.9354838709677419
10,ecoli,bagging,random,10,-1,recall,0.9508196721311475
10,ecoli,bagging,random,10,-1,f1-score,0.943089430894309
10,ecoli,bagging,random,10,1,precision,0.5
10,ecoli,bagging,random,10,1,recall,0.42857142857142855
10,ecoli,bagging,random,10,1,f1-score,0.46153846153846156
10,ecoli,bagging,random,10,all,accuracy,0.8970588235294118
10,ecoli,bagging,random,10,all,precision,0.717741935483871
10,ecoli,bagging,random,10,all,recall,0.689695550351288
10,ecoli,bagging,random,10,all,f1-score,0.7023139462163852
10,ecoli,bagging,random,10,all,auc,0.9578454332552693
10,ecoli,bagging,random,10,all,g-mean,0.6383526808896969
11,ecoli,bagging,random,11,-1,precision,0.9516129032258065
11,ecoli,bagging,random,11,-1,recall,0.9672131147540983
11,ecoli,bagging,random,11,-1,f1-score,0.959349593495935
11,ecoli,bagging,random,11,1,precision,0.6666666666666666
11,ecoli,bagging,random,11,1,recall,0.5714285714285714
11,ecoli,bagging,random,11,1,f1-score,0.6153846153846154
11,ecoli,bagging,random,11,all,accuracy,0.9264705882352942
11,ecoli,bagging,random,11,all,precision,0.8091397849462365
11,ecoli,bagging,random,11,all,recall,0.7693208430913349
11,ecoli,bagging,random,11,all,f1-score,0.7873671044402752
11,ecoli,bagging,random,11,all,auc,0.955503512880562
11,ecoli,bagging,random,11,all,g-mean,0.7434333920607233
12,ecoli,bagging,random,12,-1,precision,0.9365079365079365
12,ecoli,bagging,random,12,-1,recall,0.9672131147540983
12,ecoli,bagging,random,12,-1,f1-score,0.9516129032258065
12,ecoli,bagging,random,12,1,precision,0.6
12,ecoli,bagging,random,12,1,recall,0.42857142857142855
12,ecoli,bagging,random,12,1,f1-score,0.5
12,ecoli,bagging,random,12,all,accuracy,0.9117647058823529
12,ecoli,bagging,random,12,all,precision,0.7682539682539682
12,ecoli,bagging,random,12,all,recall,0.6978922716627635
12,ecoli,bagging,random,12,all,f1-score,0.7258064516129032
12,ecoli,bagging,random,12,all,auc,0.9578454332552693
12,ecoli,bagging,random,12,all,g-mean,0.6438322035462228
13,ecoli,bagging,random,13,-1,precision,0.9354838709677419
13,ecoli,bagging,random,13,-1,recall,0.9508196721311475
13,ecoli,bagging,random,13,-1,f1-score,0.943089430894309
13,ecoli,bagging,random,13,1,precision,0.5
13,ecoli,bagging,random,13,1,recall,0.42857142857142855
13,ecoli,bagging,random,13,1,f1-score,0.46153846153846156
13,ecoli,bagging,random,13,all,accuracy,0.8970588235294118
13,ecoli,bagging,random,13,all,precision,0.717741935483871
13,ecoli,bagging,random,13,all,recall,0.689695550351288
13,ecoli,bagging,random,13,all,f1-score,0.7023139462163852
13,ecoli,bagging,random,13,all,auc,0.9578454332552693
13,ecoli,bagging,random,13,all,g-mean,0.6383526808896969
14,ecoli,bagging,random,14,-1,precision,0.9365079365079365
