forest_index,dataset,type,strategy,iteration,class,metric,value
0,ecoli,bagging,random,0,-1,precision,0.9516129032258065
0,ecoli,bagging,random,0,-1,recall,0.9672131147540983
0,ecoli,bagging,random,0,-1,f1-score,0.959349593495935
0,ecoli,bagging,random,0,1,precision,0.6666666666666666
0,ecoli,bagging,random,0,1,recall,0.5714285714285714
0,ecoli,bagging,random,0,1,f1-score,0.6153846153846154
0,ecoli,bagging,random,0,all,accuracy,0.9264705882352942
0,ecoli,bagging,random,0,all,precision,0.8091397849462365
0,ecoli,bagging,random,0,all,recall,0.7693208430913349
0,ecoli,bagging,random,0,all,f1-score,0.7873671044402752
0,ecoli,bagging,random,0,all,auc,0.9437939110070257
0,ecoli,bagging,random,0,all,g-mean,0.7434333920607233
1,ecoli,bagging,random,1,-1,precision,0.9523809523809523
1,ecoli,bagging,random,1,-1,recall,0.9836065573770492
1,ecoli,bagging,random,1,-1,f1-score,0.967741935483871
1,ecoli,bagging,random,1,1,precision,0.8
1,ecoli,bagging,random,1,1,recall,0.5714285714285714
1,ecoli,bagging,random,1,1,f1-score,0.6666666666666666
1,ecoli,bagging,random,1,all,accuracy,0.9411764705882353
1,ecoli,bagging,random,1,all,precision,0.8761904761904762
1,ecoli,bagging,random,1,all,recall,0.7775175644028103
1,ecoli,bagging,random,1,all,f1-score,0.8172043010752688
1,ecoli,bagging,random,1,all,auc,0.949648711943794
1,ecoli,bagging,random,1,all,g-mean,0.7497072027996945
2,ecoli,bagging,random,2,-1,precision,0.921875
2,ecoli,bagging,random,2,-1,recall,0.9672131147540983
2,ecoli,bagging,random,2,-1,f1-score,0.944
2,ecoli,bagging,random,2,1,precision,0.5
2,ecoli,bagging,random,2,1,recall,0.2857142857142857
2,ecoli,bagging,random,2,1,f1-score,0.36363636363636365
2,ecoli,bagging,random,2,all,accuracy,0.8970588235294118
2,ecoli,bagging,random,2,all,precision,0.7109375
2,ecoli,bagging,random,2,all,recall,0.626463700234192
2,ecoli,bagging,random,2,all,f1-score,0.6538181818181819
2,ecoli,bagging,random,2,all,auc,0.9437939110070257
2,ecoli,bagging,random,2,all,g-mean,0.5256867928866548
3,ecoli,bagging,random,3,-1,precision,0.9365079365079365
3,ecoli,bagging,random,3,-1,recall,0.9672131147540983
3,ecoli,bagging,random,3,-1,f1-score,0.9516129032258065
3,ecoli,bagging,random,3,1,precision,0.6
3,ecoli,bagging,random,3,1,recall,0.42857142857142855
3,ecoli,bagging,random,3,1,f1-score,0.5
3,ecoli,bagging,random,3,all,accuracy,0.9117647058823529
3,ecoli,bagging,random,3,all,precision,0.7682539682539682
3,ecoli,bagging,random,3,all,recall,0.6978922716627635
3,ecoli,bagging,random,3,all,f1-score,0.7258064516129032
3,ecoli,bagging,random,3,all,auc,0.9625292740046838
3,ecoli,bagging,random,3,all,g-mean,0.6438322035462228
4,ecoli,bagging,random,4,-1,precision,0.9642857142857143
4,ecoli,bagging,random,4,-1,recall,0.8852459016393442
4,ecoli,bagging,random,4,-1,f1-score,0.9230769230769231
4,ecoli,bagging,random,4,1,precision,0.4166666666666667
4,ecoli,bagging,random,4,1,recall,0.7142857142857143
4,ecoli,bagging,random,4,1,f1-score,0.5263157894736842
4,ecoli,bagging,random,4,all,accuracy,0.8676470588235294
4,ecoli,bagging,random,4,all,precision,0.6904761904761905
4,ecoli,bagging,random,4,all,recall,0.7997658079625293
4,ecoli,bagging,random,4,all,f1-score,0.7246963562753037
4,ecoli,bagging,random,4,all,auc,0.9344262295081966
4,ecoli,bagging,random,4,all,g-mean,0.7951845705060934
5,ecoli,bagging,random,5,-1,precision,0.921875
5,ecoli,bagging,random,5,-1,recall,0.9672131147540983
5,ecoli,bagging,random,5,-1,f1-score,0.944
5,ecoli,bagging,random,5,1,precision,0.5
5,ecoli,bagging,random,5,1,recall,0.2857142857142857
5,ecoli,bagging,random,5,1,f1-score,0.36363636363636365
5,ecoli,bagging,random,5,all,accuracy,0.8970588235294118
5,ecoli,bagging,random,5,all,precision,0.7109375
5,ecoli,bagging,random,5,all,recall,0.626463700234192
5,ecoli,bagging,random,5,all,f1-score,0.6538181818181819
5,ecoli,bagging,random,5,all,auc,0.949648711943794
5,ecoli,bagging,random,5,all,g-mean,0.5256867928866548
6,ecoli,bagging,random,6,-1,precision,0.9672131147540983
6,ecoli,bagging,random,6,-1,recall,0.9672131147540983
6,ecoli,bagging,random,6,-1,f1-score,0.9672131147540983
6,ecoli,bagging,random,6,1,precision,0.7142857142857143
6,ecoli,bagging,random,6,1,recall,0.7142857142857143
6,ecoli,bagging,random,6,1,f1-score,0.7142857142857143
6,ecoli,bagging,random,6,all,accuracy,0.9411764705882353
6,ecoli,bagging,random,6,all,precision,0.8407494145199064
6,ecoli,bagging,random,6,all,recall,0.8407494145199064
6,ecoli,bagging,random,6,all,f1-score,0.8407494145199064
6,ecoli,bagging,random,6,all,auc,0.9672131147540983
6,ecoli,bagging,random,6,all,g-mean,0.831183800695515
7,ecoli,bagging,random,7,-1,precision,0.9375
7,ecoli,bagging,random,7,-1,recall,0.9836065573770492
7,ecoli,bagging,random,7,-1,f1-score,0.96
7,ecoli,bagging,random,7,1,precision,0.75
7,ecoli,bagging,random,7,1,recall,0.42857142857142855
7,ecoli,bagging,random,7,1,f1-score,0.5454545454545454
7,ecoli,bagging,random,7,all,accuracy,0.9264705882352942
7,ecoli,bagging,random,7,all,precision,0.84375
7,ecoli,bagging,random,7,all,recall,0.7060889929742389
7,ecoli,bagging,random,7,all,f1-score,0.7527272727272727
7,ecoli,bagging,random,7,all,auc,0.9449648711943794
7,ecoli,bagging,random,7,all,g-mean,0.6492654830247075
8,ecoli,bagging,random,8,-1,precision,0.9242424242424242
8,ecoli,bagging,random,8,-1,recall,1.0
8,ecoli,bagging,random,8,-1,f1-score,0.9606299212598425
8,ecoli,bagging,random,8,1,precision,1.0
8,ecoli,bagging,random,8,1,recall,0.2857142857142857
8,ecoli,bagging,random,8,1,f1-score,0.4444444444444444
8,ecoli,bagging,random,8,all,accuracy,0.9264705882352942
8,ecoli,bagging,random,8,all,precision,0.9621212121212122
8,ecoli,bagging,random,8,all,recall,0.6428571428571428
8,ecoli,bagging,random,8,all,f1-score,0.7025371828521434
8,ecoli,bagging,random,8,all,auc,0.9578454332552693
8,ecoli,bagging,random,8,all,g-mean,0.5345224838248488
9,ecoli,bagging,random,9,-1,precision,0.9516129032258065
9,ecoli,bagging,random,9,-1,recall,0.9672131147540983
9,ecoli,bagging,random,9,-1,f1-score,0.959349593495935
9,ecoli,bagging,random,9,1,precision,0.6666666666666666
9,ecoli,bagging,random,9,1,recall,0.5714285714285714
9,ecoli,bagging,random,9,1,f1-score,0.6153846153846154
9,ecoli,bagging,random,9,all,accuracy,0.9264705882352942
9,ecoli,bagging,random,9,all,precision,0.8091397849462365
9,ecoli,bagging,random,9,all,recall,0.7693208430913349
