forest_index,dataset,type,strategy,iteration,class,metric,value
0,letter_img,bagging,random,0,-1,precision,0.9974106680476437
0,letter_img,bagging,random,0,-1,recall,0.9997404619776797
0,letter_img,bagging,random,0,-1,f1-score,0.9985742060920285
0,letter_img,bagging,random,0,1,precision,0.9927536231884058
0,letter_img,bagging,random,0,1,recall,0.9319727891156463
0,letter_img,bagging,random,0,1,f1-score,0.9614035087719298
0,letter_img,bagging,random,0,all,accuracy,0.99725
0,letter_img,bagging,random,0,all,precision,0.9950821456180248
0,letter_img,bagging,random,0,all,recall,0.965856625546663
0,letter_img,bagging,random,0,all,f1-score,0.9799888574319792
0,letter_img,bagging,random,0,all,auc,0.9999011283724495
0,letter_img,bagging,random,0,all,g-mean,0.9652620922532402
1,letter_img,bagging,random,1,-1,precision,0.9974106680476437
1,letter_img,bagging,random,1,-1,recall,0.9997404619776797
1,letter_img,bagging,random,1,-1,f1-score,0.9985742060920285
1,letter_img,bagging,random,1,1,precision,0.9927536231884058
1,letter_img,bagging,random,1,1,recall,0.9319727891156463
1,letter_img,bagging,random,1,1,f1-score,0.9614035087719298
1,letter_img,bagging,random,1,all,accuracy,0.99725
1,letter_img,bagging,random,1,all,precision,0.9950821456180248
1,letter_img,bagging,random,1,all,recall,0.965856625546663
1,letter_img,bagging,random,1,all,f1-score,0.9799888574319792
1,letter_img,bagging,random,1,all,auc,0.9998154984807316
1,letter_img,bagging,random,1,all,g-mean,0.9652620922532402
2,letter_img,bagging,random,2,-1,precision,0.9974106680476437
2,letter_img,bagging,random,2,-1,recall,0.9997404619776797
2,letter_img,bagging,random,2,-1,f1-score,0.9985742060920285
2,letter_img,bagging,random,2,1,precision,0.9927536231884058
2,letter_img,bagging,random,2,1,recall,0.9319727891156463
2,letter_img,bagging,random,2,1,f1-score,0.9614035087719298
2,letter_img,bagging,random,2,all,accuracy,0.99725
2,letter_img,bagging,random,2,all,precision,0.9950821456180248
2,letter_img,bagging,random,2,all,recall,0.965856625546663
2,letter_img,bagging,random,2,all,f1-score,0.9799888574319792
2,letter_img,bagging,random,2,all,auc,0.9998675826416733
2,letter_img,bagging,random,2,all,g-mean,0.9652620922532402
3,letter_img,bagging,random,3,-1,precision,0.9971524721718872
3,letter_img,bagging,random,3,-1,recall,0.9997404619776797
3,letter_img,bagging,random,3,-1,f1-score,0.9984447900466563
3,letter_img,bagging,random,3,1,precision,0.9927007299270073
3,letter_img,bagging,random,3,1,recall,0.9251700680272109
3,letter_img,bagging,random,3,1,f1-score,0.9577464788732394
3,letter_img,bagging,random,3,all,accuracy,0.997
3,letter_img,bagging,random,3,all,precision,0.9949266010494473
3,letter_img,bagging,random,3,all,recall,0.9624552650024454
3,letter_img,bagging,random,3,all,f1-score,0.9780956344599478
3,letter_img,bagging,random,3,all,auc,0.999875527683173
