forest_index,dataset,type,strategy,iteration,class,metric,value
0,Oil,bagging,random,0,-1,precision,0.9572192513368984
0,Oil,bagging,random,0,-1,recall,0.9944444444444445
0,Oil,bagging,random,0,-1,f1-score,0.9754768392370572
0,Oil,bagging,random,0,1,precision,0.0
0,Oil,bagging,random,0,1,recall,0.0
0,Oil,bagging,random,0,1,f1-score,0.0
0,Oil,bagging,random,0,all,accuracy,0.9521276595744681
0,Oil,bagging,random,0,all,precision,0.4786096256684492
0,Oil,bagging,random,0,all,recall,0.49722222222222223
0,Oil,bagging,random,0,all,f1-score,0.4877384196185286
0,Oil,bagging,random,0,all,auc,0.9635416666666667
0,Oil,bagging,random,0,all,g-mean,0.0
1,Oil,bagging,random,1,-1,precision,0.9623655913978495
1,Oil,bagging,random,1,-1,recall,0.9944444444444445
1,Oil,bagging,random,1,-1,f1-score,0.9781420765027322
1,Oil,bagging,random,1,1,precision,0.5
1,Oil,bagging,random,1,1,recall,0.125
1,Oil,bagging,random,1,1,f1-score,0.2
1,Oil,bagging,random,1,all,accuracy,0.9574468085106383
1,Oil,bagging,random,1,all,precision,0.7311827956989247
1,Oil,bagging,random,1,all,recall,0.5597222222222222
1,Oil,bagging,random,1,all,f1-score,0.5890710382513661
1,Oil,bagging,random,1,all,auc,0.9638888888888889
1,Oil,bagging,random,1,all,g-mean,0.3525699300217697
2,Oil,bagging,random,2,-1,precision,0.9572192513368984
2,Oil,bagging,random,2,-1,recall,0.9944444444444445
2,Oil,bagging,random,2,-1,f1-score,0.9754768392370572
2,Oil,bagging,random,2,1,precision,0.0
2,Oil,bagging,random,2,1,recall,0.0
2,Oil,bagging,random,2,1,f1-score,0.0
2,Oil,bagging,random,2,all,accuracy,0.9521276595744681
2,Oil,bagging,random,2,all,precision,0.4786096256684492
2,Oil,bagging,random,2,all,recall,0.49722222222222223
2,Oil,bagging,random,2,all,f1-score,0.4877384196185286
2,Oil,bagging,random,2,all,auc,0.9704861111111112
2,Oil,bagging,random,2,all,g-mean,0.0
3,Oil,bagging,random,3,-1,precision,0.9675675675675676
3,Oil,bagging,random,3,-1,recall,0.9944444444444445
3,Oil,bagging,random,3,-1,f1-score,0.9808219178082191
3,Oil,bagging,random,3,1,precision,0.6666666666666666
3,Oil,bagging,random,3,1,recall,0.25
3,Oil,bagging,random,3,1,f1-score,0.36363636363636365
3,Oil,bagging,random,3,all,accuracy,0.9627659574468085
3,Oil,bagging,random,3,all,precision,0.8171171171171171
3,Oil,bagging,random,3,all,recall,0.6222222222222222
3,Oil,bagging,random,3,all,f1-score,0.6722291407222913
3,Oil,bagging,random,3,all,auc,0.94375
3,Oil,bagging,random,3,all,g-mean,0.4986091767217197
4,Oil,bagging,random,4,-1,precision,0.9623655913978495
4,Oil,bagging,random,4,-1,recall,0.9944444444444445
4,Oil,bagging,random,4,-1,f1-score,0.9781420765027322
4,Oil,bagging,random,4,1,precision,0.5
4,Oil,bagging,random,4,1,recall,0.125
4,Oil,bagging,random,4,1,f1-score,0.2
4,Oil,bagging,random,4,all,accuracy,0.9574468085106383
4,Oil,bagging,random,4,all,precision,0.7311827956989247
4,Oil,bagging,random,4,all,recall,0.5597222222222222
4,Oil,bagging,random,4,all,f1-score,0.5890710382513661
4,Oil,bagging,random,4,all,auc,0.9659722222222222
4,Oil,bagging,random,4,all,g-mean,0.3525699300217697
5,Oil,bagging,random,5,-1,precision,0.9623655913978495
5,Oil,bagging,random,5,-1,recall,0.9944444444444445
5,Oil,bagging,random,5,-1,f1-score,0.9781420765027322
5,Oil,bagging,random,5,1,precision,0.5
5,Oil,bagging,random,5,1,recall,0.125
5,Oil,bagging,random,5,1,f1-score,0.2
5,Oil,bagging,random,5,all,accuracy,0.9574468085106383
5,Oil,bagging,random,5,all,precision,0.7311827956989247
5,Oil,bagging,random,5,all,recall,0.5597222222222222
5,Oil,bagging,random,5,all,f1-score,0.5890710382513661
5,Oil,bagging,random,5,all,auc,0.9833333333333334
5,Oil,bagging,random,5,all,g-mean,0.3525699300217697
6,Oil,bagging,random,6,-1,precision,0.9623655913978495
6,Oil,bagging,random,6,-1,recall,0.9944444444444445
6,Oil,bagging,random,6,-1,f1-score,0.9781420765027322
6,Oil,bagging,random,6,1,precision,0.5
6,Oil,bagging,random,6,1,recall,0.125
6,Oil,bagging,random,6,1,f1-score,0.2
6,Oil,bagging,random,6,all,accuracy,0.9574468085106383
6,Oil,bagging,random,6,all,precision,0.7311827956989247
6,Oil,bagging,random,6,all,recall,0.5597222222222222
6,Oil,bagging,random,6,all,f1-score,0.5890710382513661
6,Oil,bagging,random,6,all,auc,0.9645833333333332
6,Oil,bagging,random,6,all,g-mean,0.3525699300217697
7,Oil,bagging,random,7,-1,precision,0.9572192513368984
7,Oil,bagging,random,7,-1,recall,0.9944444444444445
7,Oil,bagging,random,7,-1,f1-score,0.9754768392370572
7,Oil,bagging,random,7,1,precision,0.0
7,Oil,bagging,random,7,1,recall,0.0
7,Oil,bagging,random,7,1,f1-score,0.0
7,Oil,bagging,random,7,all,accuracy,0.9521276595744681
7,Oil,bagging,random,7,all,precision,0.4786096256684492
7,Oil,bagging,random,7,all,recall,0.49722222222222223
7,Oil,bagging,random,7,all,f1-score,0.4877384196185286
7,Oil,bagging,random,7,all,auc,0.9434027777777778
7,Oil,bagging,random,7,all,g-mean,0.0
8,Oil,bagging,random,8,-1,precision,0.9572192513368984
8,Oil,bagging,random,8,-1,recall,0.9944444444444445
8,Oil,bagging,random,8,-1,f1-score,0.9754768392370572
8,Oil,bagging,random,8,1,precision,0.0
8,Oil,bagging,random,8,1,recall,0.0
8,Oil,bagging,random,8,1,f1-score,0.0
8,Oil,bagging,random,8,all,accuracy,0.9521276595744681
8,Oil,bagging,random,8,all,precision,0.4786096256684492
8,Oil,bagging,random,8,all,recall,0.49722222222222223
8,Oil,bagging,random,8,all,f1-score,0.4877384196185286
8,Oil,bagging,random,8,all,auc,0.9732638888888889
8,Oil,bagging,random,8,all,g-mean,0.0
9,Oil,bagging,random,9,-1,precision,0.9572192513368984
9,Oil,bagging,random,9,-1,recall,0.9944444444444445
9,Oil,bagging,random,9,-1,f1-score,0.9754768392370572
9,Oil,bagging,random,9,1,precision,0.0
9,Oil,bagging,random,9,1,recall,0.0
9,Oil,bagging,random,9,1,f1-score,0.0
9,Oil,bagging,random,9,all,accuracy,0.9521276595744681
9,Oil,bagging,random,9,all,precision,0.4786096256684492
9,Oil,bagging,random,9,all,recall,0.49722222222222223
9,Oil,bagging,random,9,all,f1-score,0.4877384196185286
9,Oil,bagging,random,9,all,auc,0.971875
9,Oil,bagging,random,9,all,g-mean,0.0
10,Oil,bagging,random,10,-1,precision,0.9623655913978495
10,Oil,bagging,random,10,-1,recall,0.9944444444444445
10,Oil,bagging,random,10,-1,f1-score,0.9781420765027322
10,Oil,bagging,random,10,1,precision,0.5
10,Oil,bagging,random,10,1,recall,0.125
10,Oil,bagging,random,10,1,f1-score,0.2
10,Oil,bagging,random,10,all,accuracy,0.9574468085106383
10,Oil,bagging,random,10,all,precision,0.7311827956989247
10,Oil,bagging,random,10,all,recall,0.5597222222222222
10,Oil,bagging,random,10,all,f1-score,0.5890710382513661
10,Oil,bagging,random,10,all,auc,0.9385416666666666
10,Oil,bagging,random,10,all,g-mean,0.3525699300217697
11,Oil,bagging,random,11,-1,precision,0.9623655913978495
11,Oil,bagging,random,11,-1,recall,0.9944444444444445
11,Oil,bagging,random,11,-1,f1-score,0.9781420765027322
11,Oil,bagging,random,11,1,precision,0.5
11,Oil,bagging,random,11,1,recall,0.125
11,Oil,bagging,random,11,1,f1-score,0.2
11,Oil,bagging,random,11,all,accuracy,0.9574468085106383
11,Oil,bagging,random,11,all,precision,0.7311827956989247
11,Oil,bagging,random,11,all,recall,0.5597222222222222
11,Oil,bagging,random,11,all,f1-score,0.5890710382513661
11,Oil,bagging,random,11,all,auc,0.954861111111111
11,Oil,bagging,random,11,all,g-mean,0.3525699300217697
12,Oil,bagging,random,12,-1,precision,0.9574468085106383
12,Oil,bagging,random,12,-1,recall,1.0
12,Oil,bagging,random,12,-1,f1-score,0.9782608695652174
12,Oil,bagging,random,12,1,precision,0.0
12,Oil,bagging,random,12,1,recall,0.0
12,Oil,bagging,random,12,1,f1-score,0.0
12,Oil,bagging,random,12,all,accuracy,0.9574468085106383
12,Oil,bagging,random,12,all,precision,0.4787234042553192
12,Oil,bagging,random,12,all,recall,0.5
12,Oil,bagging,random,12,all,f1-score,0.4891304347826087
12,Oil,bagging,random,12,all,auc,0.9486111111111111
12,Oil,bagging,random,12,all,g-mean,0.0
13,Oil,bagging,random,13,-1,precision,0.9623655913978495
13,Oil,bagging,random,13,-1,recall,0.9944444444444445
13,Oil,bagging,random,13,-1,f1-score,0.9781420765027322
13,Oil,bagging,random,13,1,precision,0.5
13,Oil,bagging,random,13,1,recall,0.125
13,Oil,bagging,random,13,1,f1-score,0.2
13,Oil,bagging,random,13,all,accuracy,0.9574468085106383
13,Oil,bagging,random,13,all,precision,0.7311827956989247
13,Oil,bagging,random,13,all,recall,0.5597222222222222
13,Oil,bagging,random,13,all,f1-score,0.5890710382513661
13,Oil,bagging,random,13,all,auc,0.9690972222222223
13,Oil,bagging,random,13,all,g-mean,0.3525699300217697
14,Oil,bagging,random,14,-1,precision,0.9572192513368984
14,Oil,bagging,random,14,-1,recall,0.9944444444444445
14,Oil,bagging,random,14,-1,f1-score,0.9754768392370572
14,Oil,bagging,random,14,1,precision,0.0
14,Oil,bagging,random,14,1,recall,0.0
14,Oil,bagging,random,14,1,f1-score,0.0
14,Oil,bagging,random,14,all,accuracy,0.9521276595744681
14,Oil,bagging,random,14,all,precision,0.4786096256684492
14,Oil,bagging,random,14,all,recall,0.49722222222222223
14,Oil,bagging,random,14,all,f1-score,0.4877384196185286
14,Oil,bagging,random,14,all,auc,0.9517361111111111
14,Oil,bagging,random,14,all,g-mean,0.0
15,Oil,bagging,random,15,-1,precision,0.9728260869565217
15,Oil,bagging,random,15,-1,recall,0.9944444444444445
15,Oil,bagging,random,15,-1,f1-score,0.9835164835164835
15,Oil,bagging,random,15,1,precision,0.75
15,Oil,bagging,random,15,1,recall,0.375
15,Oil,bagging,random,15,1,f1-score,0.5
15,Oil,bagging,random,15,all,accuracy,0.9680851063829787
15,Oil,bagging,random,15,all,precision,0.8614130434782609
15,Oil,bagging,random,15,all,recall,0.6847222222222222
15,Oil,bagging,random,15,all,f1-score,0.7417582417582418
15,Oil,bagging,random,15,all,auc,0.9583333333333333
15,Oil,bagging,random,15,all,g-mean,0.6106690320187087
16,Oil,bagging,random,16,-1,precision,0.9572192513368984
16,Oil,bagging,random,16,-1,recall,0.9944444444444445
16,Oil,bagging,random,16,-1,f1-score,0.9754768392370572
16,Oil,bagging,random,16,1,precision,0.0
16,Oil,bagging,random,16,1,recall,0.0
16,Oil,bagging,random,16,1,f1-score,0.0
16,Oil,bagging,random,16,all,accuracy,0.9521276595744681
16,Oil,bagging,random,16,all,precision,0.4786096256684492
16,Oil,bagging,random,16,all,recall,0.49722222222222223
16,Oil,bagging,random,16,all,f1-score,0.4877384196185286
16,Oil,bagging,random,16,all,auc,0.9649305555555555
16,Oil,bagging,random,16,all,g-mean,0.0
17,Oil,bagging,random,17,-1,precision,0.9572192513368984
17,Oil,bagging,random,17,-1,recall,0.9944444444444445
17,Oil,bagging,random,17,-1,f1-score,0.9754768392370572
17,Oil,bagging,random,17,1,precision,0.0
17,Oil,bagging,random,17,1,recall,0.0
17,Oil,bagging,random,17,1,f1-score,0.0
17,Oil,bagging,random,17,all,accuracy,0.9521276595744681
17,Oil,bagging,random,17,all,precision,0.4786096256684492
17,Oil,bagging,random,17,all,recall,0.49722222222222223
17,Oil,bagging,random,17,all,f1-score,0.4877384196185286
17,Oil,bagging,random,17,all,auc,0.8899305555555557
17,Oil,bagging,random,17,all,g-mean,0.0
18,Oil,bagging,random,18,-1,precision,0.9623655913978495
18,Oil,bagging,random,18,-1,recall,0.9944444444444445
18,Oil,bagging,random,18,-1,f1-score,0.9781420765027322
18,Oil,bagging,random,18,1,precision,0.5
18,Oil,bagging,random,18,1,recall,0.125
18,Oil,bagging,random,18,1,f1-score,0.2
18,Oil,bagging,random,18,all,accuracy,0.9574468085106383
18,Oil,bagging,random,18,all,precision,0.7311827956989247
18,Oil,bagging,random,18,all,recall,0.5597222222222222
18,Oil,bagging,random,18,all,f1-score,0.5890710382513661
18,Oil,bagging,random,18,all,auc,0.9611111111111111
18,Oil,bagging,random,18,all,g-mean,0.3525699300217697
19,Oil,bagging,random,19,-1,precision,0.9623655913978495
19,Oil,bagging,random,19,-1,recall,0.9944444444444445
19,Oil,bagging,random,19,-1,f1-score,0.9781420765027322
19,Oil,bagging,random,19,1,precision,0.5
19,Oil,bagging,random,19,1,recall,0.125
19,Oil,bagging,random,19,1,f1-score,0.2
19,Oil,bagging,random,19,all,accuracy,0.9574468085106383
19,Oil,bagging,random,19,all,precision,0.7311827956989247
19,Oil,bagging,random,19,all,recall,0.5597222222222222
19,Oil,bagging,random,19,all,f1-score,0.5890710382513661
19,Oil,bagging,random,19,all,auc,0.9576388888888889
19,Oil,bagging,random,19,all,g-mean,0.3525699300217697
20,Oil,bagging,random,20,-1,precision,0.9572192513368984
20,Oil,bagging,random,20,-1,recall,0.9944444444444445
20,Oil,bagging,random,20,-1,f1-score,0.9754768392370572
20,Oil,bagging,random,20,1,precision,0.0
20,Oil,bagging,random,20,1,recall,0.0
20,Oil,bagging,random,20,1,f1-score,0.0
20,Oil,bagging,random,20,all,accuracy,0.9521276595744681
20,Oil,bagging,random,20,all,precision,0.4786096256684492
20,Oil,bagging,random,20,all,recall,0.49722222222222223
20,Oil,bagging,random,20,all,f1-score,0.4877384196185286
20,Oil,bagging,random,20,all,auc,0.9447916666666667
20,Oil,bagging,random,20,all,g-mean,0.0
21,Oil,bagging,random,21,-1,precision,0.9572192513368984
21,Oil,bagging,random,21,-1,recall,0.9944444444444445
21,Oil,bagging,random,21,-1,f1-score,0.9754768392370572
21,Oil,bagging,random,21,1,precision,0.0
21,Oil,bagging,random,21,1,recall,0.0
21,Oil,bagging,random,21,1,f1-score,0.0
21,Oil,bagging,random,21,all,accuracy,0.9521276595744681
21,Oil,bagging,random,21,all,precision,0.4786096256684492
21,Oil,bagging,random,21,all,recall,0.49722222222222223
21,Oil,bagging,random,21,all,f1-score,0.4877384196185286
21,Oil,bagging,random,21,all,auc,0.9673611111111111
21,Oil,bagging,random,21,all,g-mean,0.0
22,Oil,bagging,random,22,-1,precision,0.9623655913978495
22,Oil,bagging,random,22,-1,recall,0.9944444444444445
22,Oil,bagging,random,22,-1,f1-score,0.9781420765027322
22,Oil,bagging,random,22,1,precision,0.5
22,Oil,bagging,random,22,1,recall,0.125
22,Oil,bagging,random,22,1,f1-score,0.2
22,Oil,bagging,random,22,all,accuracy,0.9574468085106383
22,Oil,bagging,random,22,all,precision,0.7311827956989247
