forest_index,dataset,type,strategy,iteration,class,metric,value
0,optical_digits,bagging,random,0,-1,precision,0.9815891472868217
0,optical_digits,bagging,random,0,-1,recall,1.0
0,optical_digits,bagging,random,0,-1,f1-score,0.9907090464547678
0,optical_digits,bagging,random,0,1,precision,1.0
0,optical_digits,bagging,random,0,1,recall,0.8288288288288288
0,optical_digits,bagging,random,0,1,f1-score,0.9064039408866995
0,optical_digits,bagging,random,0,all,accuracy,0.9830960854092526
0,optical_digits,bagging,random,0,all,precision,0.9907945736434108
0,optical_digits,bagging,random,0,all,recall,0.9144144144144144
0,optical_digits,bagging,random,0,all,f1-score,0.9485564936707336
0,optical_digits,bagging,random,0,all,auc,0.9994219293330843
0,optical_digits,bagging,random,0,all,g-mean,0.910400367326831
1,optical_digits,bagging,random,1,-1,precision,0.983495145631068
1,optical_digits,bagging,random,1,-1,recall,1.0
1,optical_digits,bagging,random,1,-1,f1-score,0.9916789035731767
1,optical_digits,bagging,random,1,1,precision,1.0
1,optical_digits,bagging,random,1,1,recall,0.8468468468468469
1,optical_digits,bagging,random,1,1,f1-score,0.9170731707317074
1,optical_digits,bagging,random,1,all,accuracy,0.9848754448398577
1,optical_digits,bagging,random,1,all,precision,0.991747572815534
1,optical_digits,bagging,random,1,all,recall,0.9234234234234234
1,optical_digits,bagging,random,1,all,f1-score,0.954376037152442
1,optical_digits,bagging,random,1,all,auc,0.9995019698869649
1,optical_digits,bagging,random,1,all,g-mean,0.9202428195030086
2,optical_digits,bagging,random,2,-1,precision,0.9844357976653697
2,optical_digits,bagging,random,2,-1,recall,0.9990128331688055
2,optical_digits,bagging,random,2,-1,f1-score,0.9916707496325331
2,optical_digits,bagging,random,2,1,precision,0.9895833333333334
2,optical_digits,bagging,random,2,1,recall,0.8558558558558559
2,optical_digits,bagging,random,2,1,f1-score,0.9178743961352657
2,optical_digits,bagging,random,2,all,accuracy,0.9848754448398577
2,optical_digits,bagging,random,2,all,precision,0.9870095654993516
2,optical_digits,bagging,random,2,all,recall,0.9274343445123308
2,optical_digits,bagging,random,2,all,f1-score,0.9547725728838994
2,optical_digits,bagging,random,2,all,auc,0.9990083864713677
2,optical_digits,bagging,random,2,all,g-mean,0.9246680395377962
3,optical_digits,bagging,random,3,-1,precision,0.9796905222437138
3,optical_digits,bagging,random,3,-1,recall,1.0
3,optical_digits,bagging,random,3,-1,f1-score,0.9897410845139228
3,optical_digits,bagging,random,3,1,precision,1.0
