forest_index,dataset,type,strategy,iteration,class,metric,value
0,optical_digits,bagging,random,0,-1,precision,0.972168905950096
0,optical_digits,bagging,random,0,-1,recall,1.0
0,optical_digits,bagging,random,0,-1,f1-score,0.9858880778588808
0,optical_digits,bagging,random,0,1,precision,1.0
0,optical_digits,bagging,random,0,1,recall,0.7387387387387387
0,optical_digits,bagging,random,0,1,f1-score,0.8497409326424871
0,optical_digits,bagging,random,0,all,accuracy,0.9741992882562278
0,optical_digits,bagging,random,0,all,precision,0.986084452975048
0,optical_digits,bagging,random,0,all,recall,0.8693693693693694
0,optical_digits,bagging,random,0,all,f1-score,0.9178145052506839
0,optical_digits,bagging,random,0,all,auc,0.9986393105840292
0,optical_digits,bagging,random,0,all,g-mean,0.8594991208481477
1,optical_digits,bagging,random,1,-1,precision,0.972168905950096
1,optical_digits,bagging,random,1,-1,recall,1.0
1,optical_digits,bagging,random,1,-1,f1-score,0.9858880778588808
1,optical_digits,bagging,random,1,1,precision,1.0
1,optical_digits,bagging,random,1,1,recall,0.7387387387387387
1,optical_digits,bagging,random,1,1,f1-score,0.8497409326424871
1,optical_digits,bagging,random,1,all,accuracy,0.9741992882562278
1,optical_digits,bagging,random,1,all,precision,0.986084452975048
1,optical_digits,bagging,random,1,all,recall,0.8693693693693694
1,optical_digits,bagging,random,1,all,f1-score,0.9178145052506839
1,optical_digits,bagging,random,1,all,auc,0.9982924681838798
1,optical_digits,bagging,random,1,all,g-mean,0.8594991208481477
2,optical_digits,bagging,random,2,-1,precision,0.9731027857829011
2,optical_digits,bagging,random,2,-1,recall,1.0
2,optical_digits,bagging,random,2,-1,f1-score,0.9863680623174295
2,optical_digits,bagging,random,2,1,precision,1.0
2,optical_digits,bagging,random,2,1,recall,0.7477477477477478
2,optical_digits,bagging,random,2,1,f1-score,0.8556701030927835
2,optical_digits,bagging,random,2,all,accuracy,0.9750889679715302
2,optical_digits,bagging,random,2,all,precision,0.9865513928914506
2,optical_digits,bagging,random,2,all,recall,0.8738738738738738
2,optical_digits,bagging,random,2,all,f1-score,0.9210190827051065
2,optical_digits,bagging,random,2,all,auc,0.9985770568198998
2,optical_digits,bagging,random,2,all,g-mean,0.8647240876416868
3,optical_digits,bagging,random,3,-1,precision,0.9740384615384615
3,optical_digits,bagging,random,3,-1,recall,1.0
3,optical_digits,bagging,random,3,-1,f1-score,0.9868485143692158
3,optical_digits,bagging,random,3,1,precision,1.0
3,optical_digits,bagging,random,3,1,recall,0.7567567567567568
3,optical_digits,bagging,random,3,1,f1-score,0.8615384615384616
3,optical_digits,bagging,random,3,all,accuracy,0.9759786476868327
3,optical_digits,bagging,random,3,all,precision,0.9870192307692307
3,optical_digits,bagging,random,3,all,recall,0.8783783783783784
3,optical_digits,bagging,random,3,all,f1-score,0.9241934879538387
3,optical_digits,bagging,random,3,all,auc,0.9983458285531336
3,optical_digits,bagging,random,3,all,g-mean,0.86991767240168
4,optical_digits,bagging,random,4,-1,precision,0.972168905950096
4,optical_digits,bagging,random,4,-1,recall,1.0
4,optical_digits,bagging,random,4,-1,f1-score,0.9858880778588808
4,optical_digits,bagging,random,4,1,precision,1.0
4,optical_digits,bagging,random,4,1,recall,0.7387387387387387
4,optical_digits,bagging,random,4,1,f1-score,0.8497409326424871
4,optical_digits,bagging,random,4,all,accuracy,0.9741992882562278
4,optical_digits,bagging,random,4,all,precision,0.986084452975048
4,optical_digits,bagging,random,4,all,recall,0.8693693693693694
4,optical_digits,bagging,random,4,all,f1-score,0.9178145052506839
4,optical_digits,bagging,random,4,all,auc,0.9980879201017405
4,optical_digits,bagging,random,4,all,g-mean,0.8594991208481477
5,optical_digits,bagging,random,5,-1,precision,0.9749759384023099
5,optical_digits,bagging,random,5,-1,recall,1.0
5,optical_digits,bagging,random,5,-1,f1-score,0.9873294346978557
5,optical_digits,bagging,random,5,1,precision,1.0
5,optical_digits,bagging,random,5,1,recall,0.7657657657657657
5,optical_digits,bagging,random,5,1,f1-score,0.8673469387755102
5,optical_digits,bagging,random,5,all,accuracy,0.9768683274021353
5,optical_digits,bagging,random,5,all,precision,0.9874879692011549
5,optical_digits,bagging,random,5,all,recall,0.8828828828828829
5,optical_digits,bagging,random,5,all,f1-score,0.927338186736683
5,optical_digits,bagging,random,5,all,auc,0.9982124276299992
5,optical_digits,bagging,random,5,all,g-mean,0.8750804338835177
6,optical_digits,bagging,random,6,-1,precision,0.9703065134099617
6,optical_digits,bagging,random,6,-1,recall,1.0
6,optical_digits,bagging,random,6,-1,f1-score,0.9849295089936801
6,optical_digits,bagging,random,6,1,precision,1.0
6,optical_digits,bagging,random,6,1,recall,0.7207207207207207
6,optical_digits,bagging,random,6,1,f1-score,0.837696335078534
6,optical_digits,bagging,random,6,all,accuracy,0.9724199288256228
6,optical_digits,bagging,random,6,all,precision,0.9851532567049808
6,optical_digits,bagging,random,6,all,recall,0.8603603603603603
6,optical_digits,bagging,random,6,all,f1-score,0.9113129220361071
6,optical_digits,bagging,random,6,all,auc,0.9985903969122133
6,optical_digits,bagging,random,6,all,g-mean,0.8489527199560177
7,optical_digits,bagging,random,7,-1,precision,0.972168905950096
7,optical_digits,bagging,random,7,-1,recall,1.0
7,optical_digits,bagging,random,7,-1,f1-score,0.9858880778588808
7,optical_digits,bagging,random,7,1,precision,1.0
7,optical_digits,bagging,random,7,1,recall,0.7387387387387387
7,optical_digits,bagging,random,7,1,f1-score,0.8497409326424871
7,optical_digits,bagging,random,7,all,accuracy,0.9741992882562278
7,optical_digits,bagging,random,7,all,precision,0.986084452975048
7,optical_digits,bagging,random,7,all,recall,0.8693693693693694
7,optical_digits,bagging,random,7,all,f1-score,0.9178145052506839
7,optical_digits,bagging,random,7,all,auc,0.9987816049020393
7,optical_digits,bagging,random,7,all,g-mean,0.8594991208481477
8,optical_digits,bagging,random,8,-1,precision,0.9712368168744008
8,optical_digits,bagging,random,8,-1,recall,1.0
8,optical_digits,bagging,random,8,-1,f1-score,0.9854085603112841
8,optical_digits,bagging,random,8,1,precision,1.0
8,optical_digits,bagging,random,8,1,recall,0.7297297297297297
8,optical_digits,bagging,random,8,1,f1-score,0.84375
8,optical_digits,bagging,random,8,all,accuracy,0.9733096085409253
8,optical_digits,bagging,random,8,all,precision,0.9856184084372004
8,optical_digits,bagging,random,8,all,recall,0.8648648648648649
8,optical_digits,bagging,random,8,all,f1-score,0.914579280155642
8,optical_digits,bagging,random,8,all,auc,0.9986748841635318
8,optical_digits,bagging,random,8,all,g-mean,0.8542421961772491
9,optical_digits,bagging,random,9,-1,precision,0.9749759384023099
9,optical_digits,bagging,random,9,-1,recall,1.0
9,optical_digits,bagging,random,9,-1,f1-score,0.9873294346978557
9,optical_digits,bagging,random,9,1,precision,1.0
9,optical_digits,bagging,random,9,1,recall,0.7657657657657657
9,optical_digits,bagging,random,9,1,f1-score,0.8673469387755102
9,optical_digits,bagging,random,9,all,accuracy,0.9768683274021353
9,optical_digits,bagging,random,9,all,precision,0.9874879692011549
9,optical_digits,bagging,random,9,all,recall,0.8828828828828829
9,optical_digits,bagging,random,9,all,f1-score,0.927338186736683
9,optical_digits,bagging,random,9,all,auc,0.9982746813941286
9,optical_digits,bagging,random,9,all,g-mean,0.8750804338835177
10,optical_digits,bagging,random,10,-1,precision,0.972168905950096
10,optical_digits,bagging,random,10,-1,recall,1.0
10,optical_digits,bagging,random,10,-1,f1-score,0.9858880778588808
10,optical_digits,bagging,random,10,1,precision,1.0
10,optical_digits,bagging,random,10,1,recall,0.7387387387387387
10,optical_digits,bagging,random,10,1,f1-score,0.8497409326424871
10,optical_digits,bagging,random,10,all,accuracy,0.9741992882562278
10,optical_digits,bagging,random,10,all,precision,0.986084452975048
10,optical_digits,bagging,random,10,all,recall,0.8693693693693694
10,optical_digits,bagging,random,10,all,f1-score,0.9178145052506839
10,optical_digits,bagging,random,10,all,auc,0.9982435545120638
10,optical_digits,bagging,random,10,all,g-mean,0.8594991208481477
11,optical_digits,bagging,random,11,-1,precision,0.972168905950096
11,optical_digits,bagging,random,11,-1,recall,1.0
11,optical_digits,bagging,random,11,-1,f1-score,0.9858880778588808
11,optical_digits,bagging,random,11,1,precision,1.0
11,optical_digits,bagging,random,11,1,recall,0.7387387387387387
11,optical_digits,bagging,random,11,1,f1-score,0.8497409326424871
11,optical_digits,bagging,random,11,all,accuracy,0.9741992882562278
11,optical_digits,bagging,random,11,all,precision,0.986084452975048
11,optical_digits,bagging,random,11,all,recall,0.8693693693693694
11,optical_digits,bagging,random,11,all,f1-score,0.9178145052506839
11,optical_digits,bagging,random,11,all,auc,0.9988483053636064
11,optical_digits,bagging,random,11,all,g-mean,0.8594991208481477
12,optical_digits,bagging,random,12,-1,precision,0.9731027857829011
12,optical_digits,bagging,random,12,-1,recall,1.0
12,optical_digits,bagging,random,12,-1,f1-score,0.9863680623174295
12,optical_digits,bagging,random,12,1,precision,1.0
12,optical_digits,bagging,random,12,1,recall,0.7477477477477478
12,optical_digits,bagging,random,12,1,f1-score,0.8556701030927835
12,optical_digits,bagging,random,12,all,accuracy,0.9750889679715302
12,optical_digits,bagging,random,12,all,precision,0.9865513928914506
12,optical_digits,bagging,random,12,all,recall,0.8738738738738738
12,optical_digits,bagging,random,12,all,f1-score,0.9210190827051065
12,optical_digits,bagging,random,12,all,auc,0.9985548233327108
12,optical_digits,bagging,random,12,all,g-mean,0.8647240876416868
13,optical_digits,bagging,random,13,-1,precision,0.9749759384023099
13,optical_digits,bagging,random,13,-1,recall,1.0
13,optical_digits,bagging,random,13,-1,f1-score,0.9873294346978557
13,optical_digits,bagging,random,13,1,precision,1.0
13,optical_digits,bagging,random,13,1,recall,0.7657657657657657
13,optical_digits,bagging,random,13,1,f1-score,0.8673469387755102
13,optical_digits,bagging,random,13,all,accuracy,0.9768683274021353
13,optical_digits,bagging,random,13,all,precision,0.9874879692011549
13,optical_digits,bagging,random,13,all,recall,0.8828828828828829
13,optical_digits,bagging,random,13,all,f1-score,0.927338186736683
13,optical_digits,bagging,random,13,all,auc,0.9987149044404721
13,optical_digits,bagging,random,13,all,g-mean,0.8750804338835177
14,optical_digits,bagging,random,14,-1,precision,0.9731027857829011
14,optical_digits,bagging,random,14,-1,recall,1.0
14,optical_digits,bagging,random,14,-1,f1-score,0.9863680623174295
14,optical_digits,bagging,random,14,1,precision,1.0
14,optical_digits,bagging,random,14,1,recall,0.7477477477477478
14,optical_digits,bagging,random,14,1,f1-score,0.8556701030927835
14,optical_digits,bagging,random,14,all,accuracy,0.9750889679715302
14,optical_digits,bagging,random,14,all,precision,0.9865513928914506
