forest_index,dataset,type,strategy,iteration,class,metric,value
0,pen_digits,bagging,random,0,-1,precision,0.9979919678714859
0,pen_digits,bagging,random,0,-1,recall,1.0
0,pen_digits,bagging,random,0,-1,f1-score,0.9989949748743718
0,pen_digits,bagging,random,0,1,precision,1.0
0,pen_digits,bagging,random,0,1,recall,0.981042654028436
0,pen_digits,bagging,random,0,1,f1-score,0.9904306220095693
0,pen_digits,bagging,random,0,all,accuracy,0.998180991359709
0,pen_digits,bagging,random,0,all,precision,0.998995983935743
0,pen_digits,bagging,random,0,all,recall,0.990521327014218
0,pen_digits,bagging,random,0,all,f1-score,0.9947127984419706
0,pen_digits,bagging,random,0,all,auc,0.9999952320558422
0,pen_digits,bagging,random,0,all,g-mean,0.9904759734735801
1,pen_digits,bagging,random,1,-1,precision,0.997491219267436
1,pen_digits,bagging,random,1,-1,recall,1.0
1,pen_digits,bagging,random,1,-1,f1-score,0.9987440341622708
1,pen_digits,bagging,random,1,1,precision,1.0
1,pen_digits,bagging,random,1,1,recall,0.976303317535545
1,pen_digits,bagging,random,1,1,f1-score,0.988009592326139
1,pen_digits,bagging,random,1,all,accuracy,0.9977262391996362
1,pen_digits,bagging,random,1,all,precision,0.998745609633718
1,pen_digits,bagging,random,1,all,recall,0.9881516587677726
1,pen_digits,bagging,random,1,all,f1-score,0.9933768132442049
1,pen_digits,bagging,random,1,all,auc,0.9999976160279211
1,pen_digits,bagging,random,1,all,g-mean,0.988080622993663
2,pen_digits,bagging,random,2,-1,precision,0.9964912280701754
2,pen_digits,bagging,random,2,-1,recall,1.0
2,pen_digits,bagging,random,2,-1,f1-score,0.9982425307557118
2,pen_digits,bagging,random,2,1,precision,1.0
2,pen_digits,bagging,random,2,1,recall,0.966824644549763
2,pen_digits,bagging,random,2,1,f1-score,0.983132530120482
2,pen_digits,bagging,random,2,all,accuracy,0.9968167348794906
2,pen_digits,bagging,random,2,all,precision,0.9982456140350877
2,pen_digits,bagging,random,2,all,recall,0.9834123222748815
2,pen_digits,bagging,random,2,all,f1-score,0.9906875304380969
2,pen_digits,bagging,random,2,all,auc,1.0
2,pen_digits,bagging,random,2,all,g-mean,0.9832724162457539
3,pen_digits,bagging,random,3,-1,precision,0.9964912280701754
3,pen_digits,bagging,random,3,-1,recall,1.0
3,pen_digits,bagging,random,3,-1,f1-score,0.9982425307557118
3,pen_digits,bagging,random,3,1,precision,1.0
3,pen_digits,bagging,random,3,1,recall,0.966824644549763
3,pen_digits,bagging,random,3,1,f1-score,0.983132530120482
3,pen_digits,bagging,random,3,all,accuracy,0.9968167348794906
3,pen_digits,bagging,random,3,all,precision,0.9982456140350877
3,pen_digits,bagging,random,3,all,recall,0.9834123222748815
3,pen_digits,bagging,random,3,all,f1-score,0.9906875304380969
3,pen_digits,bagging,random,3,all,auc,1.0
3,pen_digits,bagging,random,3,all,g-mean,0.9832724162457539
4,pen_digits,bagging,random,4,-1,precision,0.9969909729187563
4,pen_digits,bagging,random,4,-1,recall,1.0
4,pen_digits,bagging,random,4,-1,f1-score,0.9984932194876946
4,pen_digits,bagging,random,4,1,precision,1.0
4,pen_digits,bagging,random,4,1,recall,0.9715639810426541
4,pen_digits,bagging,random,4,1,f1-score,0.9855769230769231
4,pen_digits,bagging,random,4,all,accuracy,0.9972714870395635
4,pen_digits,bagging,random,4,all,precision,0.9984954864593781
4,pen_digits,bagging,random,4,all,recall,0.985781990521327
4,pen_digits,bagging,random,4,all,f1-score,0.992035071282309
4,pen_digits,bagging,random,4,all,auc,1.0
4,pen_digits,bagging,random,4,all,g-mean,0.9856794514661722
5,pen_digits,bagging,random,5,-1,precision,0.9964912280701754
5,pen_digits,bagging,random,5,-1,recall,1.0
5,pen_digits,bagging,random,5,-1,f1-score,0.9982425307557118
5,pen_digits,bagging,random,5,1,precision,1.0
5,pen_digits,bagging,random,5,1,recall,0.966824644549763
5,pen_digits,bagging,random,5,1,f1-score,0.983132530120482
5,pen_digits,bagging,random,5,all,accuracy,0.9968167348794906
5,pen_digits,bagging,random,5,all,precision,0.9982456140350877
5,pen_digits,bagging,random,5,all,recall,0.9834123222748815
5,pen_digits,bagging,random,5,all,f1-score,0.9906875304380969
5,pen_digits,bagging,random,5,all,auc,0.9999964240418816
5,pen_digits,bagging,random,5,all,g-mean,0.9832724162457539
6,pen_digits,bagging,random,6,-1,precision,0.997491219267436
6,pen_digits,bagging,random,6,-1,recall,1.0
6,pen_digits,bagging,random,6,-1,f1-score,0.9987440341622708
6,pen_digits,bagging,random,6,1,precision,1.0
6,pen_digits,bagging,random,6,1,recall,0.976303317535545
6,pen_digits,bagging,random,6,1,f1-score,0.988009592326139
6,pen_digits,bagging,random,6,all,accuracy,0.9977262391996362
6,pen_digits,bagging,random,6,all,precision,0.998745609633718
6,pen_digits,bagging,random,6,all,recall,0.9881516587677726
6,pen_digits,bagging,random,6,all,f1-score,0.9933768132442049
6,pen_digits,bagging,random,6,all,auc,0.9999952320558422
6,pen_digits,bagging,random,6,all,g-mean,0.988080622993663
7,pen_digits,bagging,random,7,-1,precision,0.9969909729187563
7,pen_digits,bagging,random,7,-1,recall,1.0
7,pen_digits,bagging,random,7,-1,f1-score,0.9984932194876946
7,pen_digits,bagging,random,7,1,precision,1.0
7,pen_digits,bagging,random,7,1,recall,0.9715639810426541
7,pen_digits,bagging,random,7,1,f1-score,0.9855769230769231
7,pen_digits,bagging,random,7,all,accuracy,0.9972714870395635
7,pen_digits,bagging,random,7,all,precision,0.9984954864593781
7,pen_digits,bagging,random,7,all,recall,0.985781990521327
7,pen_digits,bagging,random,7,all,f1-score,0.992035071282309
7,pen_digits,bagging,random,7,all,auc,0.9999916560977238
7,pen_digits,bagging,random,7,all,g-mean,0.9856794514661722
8,pen_digits,bagging,random,8,-1,precision,0.9979919678714859
8,pen_digits,bagging,random,8,-1,recall,1.0
8,pen_digits,bagging,random,8,-1,f1-score,0.9989949748743718
8,pen_digits,bagging,random,8,1,precision,1.0
8,pen_digits,bagging,random,8,1,recall,0.981042654028436
8,pen_digits,bagging,random,8,1,f1-score,0.9904306220095693
8,pen_digits,bagging,random,8,all,accuracy,0.998180991359709
8,pen_digits,bagging,random,8,all,precision,0.998995983935743
8,pen_digits,bagging,random,8,all,recall,0.990521327014218
8,pen_digits,bagging,random,8,all,f1-score,0.9947127984419706
8,pen_digits,bagging,random,8,all,auc,0.9999988080139606
8,pen_digits,bagging,random,8,all,g-mean,0.9904759734735801
9,pen_digits,bagging,random,9,-1,precision,0.9964912280701754
9,pen_digits,bagging,random,9,-1,recall,1.0
9,pen_digits,bagging,random,9,-1,f1-score,0.9982425307557118
9,pen_digits,bagging,random,9,1,precision,1.0
9,pen_digits,bagging,random,9,1,recall,0.966824644549763
9,pen_digits,bagging,random,9,1,f1-score,0.983132530120482
9,pen_digits,bagging,random,9,all,accuracy,0.9968167348794906
9,pen_digits,bagging,random,9,all,precision,0.9982456140350877
9,pen_digits,bagging,random,9,all,recall,0.9834123222748815
