forest_index,dataset,type,strategy,iteration,class,metric,value
0,pen_digits,bagging,random,0,-1,precision,0.9959899749373433
0,pen_digits,bagging,random,0,-1,recall,0.9994969818913481
0,pen_digits,bagging,random,0,-1,f1-score,0.9977403966859152
0,pen_digits,bagging,random,0,1,precision,0.9950980392156863
0,pen_digits,bagging,random,0,1,recall,0.9620853080568721
0,pen_digits,bagging,random,0,1,f1-score,0.9783132530120482
0,pen_digits,bagging,random,0,all,accuracy,0.9959072305593452
0,pen_digits,bagging,random,0,all,precision,0.9955440070765148
0,pen_digits,bagging,random,0,all,recall,0.98079114497411
0,pen_digits,bagging,random,0,all,f1-score,0.9880268248489816
0,pen_digits,bagging,random,0,all,auc,0.9999582804886189
0,pen_digits,bagging,random,0,all,g-mean,0.9806127480941962
1,pen_digits,bagging,random,1,-1,precision,0.9974899598393574
1,pen_digits,bagging,random,1,-1,recall,0.9994969818913481
1,pen_digits,bagging,random,1,-1,f1-score,0.9984924623115577
1,pen_digits,bagging,random,1,1,precision,0.9951690821256038
1,pen_digits,bagging,random,1,1,recall,0.976303317535545
1,pen_digits,bagging,random,1,1,f1-score,0.9856459330143541
1,pen_digits,bagging,random,1,all,accuracy,0.9972714870395635
1,pen_digits,bagging,random,1,all,precision,0.9963295209824806
1,pen_digits,bagging,random,1,all,recall,0.9879001497134465
1,pen_digits,bagging,random,1,all,f1-score,0.9920691976629559
1,pen_digits,bagging,random,1,all,auc,0.9999451686421849
1,pen_digits,bagging,random,1,all,g-mean,0.9878320805113021
2,pen_digits,bagging,random,2,-1,precision,0.9964894684052157
2,pen_digits,bagging,random,2,-1,recall,0.9994969818913481
2,pen_digits,bagging,random,2,-1,f1-score,0.9979909593169262
2,pen_digits,bagging,random,2,1,precision,0.9951219512195122
2,pen_digits,bagging,random,2,1,recall,0.966824644549763
2,pen_digits,bagging,random,2,1,f1-score,0.9807692307692307
2,pen_digits,bagging,random,2,all,accuracy,0.9963619827194179
2,pen_digits,bagging,random,2,all,precision,0.9958057098123639
2,pen_digits,bagging,random,2,all,recall,0.9831608132205556
2,pen_digits,bagging,random,2,all,f1-score,0.9893800950430784
2,pen_digits,bagging,random,2,all,auc,0.9999392087119876
2,pen_digits,bagging,random,2,all,g-mean,0.9830250832230394
3,pen_digits,bagging,random,3,-1,precision,0.9974899598393574
3,pen_digits,bagging,random,3,-1,recall,0.9994969818913481
3,pen_digits,bagging,random,3,-1,f1-score,0.9984924623115577
3,pen_digits,bagging,random,3,1,precision,0.9951690821256038
3,pen_digits,bagging,random,3,1,recall,0.976303317535545
3,pen_digits,bagging,random,3,1,f1-score,0.9856459330143541
3,pen_digits,bagging,random,3,all,accuracy,0.9972714870395635
3,pen_digits,bagging,random,3,all,precision,0.9963295209824806
