forest_index,dataset,type,strategy,iteration,class,metric,value
0,thyroid_sick,bagging,random,0,-1,precision,0.9818941504178273
0,thyroid_sick,bagging,random,0,-1,recall,0.9943582510578279
0,thyroid_sick,bagging,random,0,-1,f1-score,0.9880868955851436
0,thyroid_sick,bagging,random,0,1,precision,0.8918918918918919
0,thyroid_sick,bagging,random,0,1,recall,0.717391304347826
0,thyroid_sick,bagging,random,0,1,f1-score,0.7951807228915663
0,thyroid_sick,bagging,random,0,all,accuracy,0.9774834437086093
0,thyroid_sick,bagging,random,0,all,precision,0.9368930211548596
0,thyroid_sick,bagging,random,0,all,recall,0.855874777702827
0,thyroid_sick,bagging,random,0,all,f1-score,0.8916338092383549
0,thyroid_sick,bagging,random,0,all,auc,0.9936530324400563
0,thyroid_sick,bagging,random,0,all,g-mean,0.844596923221603
1,thyroid_sick,bagging,random,1,-1,precision,0.9805013927576601
1,thyroid_sick,bagging,random,1,-1,recall,0.9929478138222849
1,thyroid_sick,bagging,random,1,-1,f1-score,0.9866853538892782
1,thyroid_sick,bagging,random,1,1,precision,0.8648648648648649
1,thyroid_sick,bagging,random,1,1,recall,0.6956521739130435
1,thyroid_sick,bagging,random,1,1,f1-score,0.7710843373493976
1,thyroid_sick,bagging,random,1,all,accuracy,0.9748344370860927
1,thyroid_sick,bagging,random,1,all,precision,0.9226831288112625
1,thyroid_sick,bagging,random,1,all,recall,0.8442999938676642
1,thyroid_sick,bagging,random,1,all,f1-score,0.8788848456193379
1,thyroid_sick,bagging,random,1,all,auc,0.9943122585392776
1,thyroid_sick,bagging,random,1,all,g-mean,0.8311114878689119
2,thyroid_sick,bagging,random,2,-1,precision,0.9832167832167832
2,thyroid_sick,bagging,random,2,-1,recall,0.9915373765867419
2,thyroid_sick,bagging,random,2,-1,f1-score,0.9873595505617978
2,thyroid_sick,bagging,random,2,1,precision,0.85
2,thyroid_sick,bagging,random,2,1,recall,0.7391304347826086
2,thyroid_sick,bagging,random,2,1,f1-score,0.7906976744186046
2,thyroid_sick,bagging,random,2,all,accuracy,0.976158940397351
2,thyroid_sick,bagging,random,2,all,precision,0.9166083916083916
2,thyroid_sick,bagging,random,2,all,recall,0.8653339056846753
2,thyroid_sick,bagging,random,2,all,f1-score,0.8890286124902012
2,thyroid_sick,bagging,random,2,all,auc,0.9941436193045932
2,thyroid_sick,bagging,random,2,all,g-mean,0.8560814518839698
3,thyroid_sick,bagging,random,3,-1,precision,0.9832167832167832
3,thyroid_sick,bagging,random,3,-1,recall,0.9915373765867419
3,thyroid_sick,bagging,random,3,-1,f1-score,0.9873595505617978
3,thyroid_sick,bagging,random,3,1,precision,0.85
3,thyroid_sick,bagging,random,3,1,recall,0.7391304347826086
3,thyroid_sick,bagging,random,3,1,f1-score,0.7906976744186046
3,thyroid_sick,bagging,random,3,all,accuracy,0.976158940397351
3,thyroid_sick,bagging,random,3,all,precision,0.9166083916083916
3,thyroid_sick,bagging,random,3,all,recall,0.8653339056846753
3,thyroid_sick,bagging,random,3,all,f1-score,0.8890286124902012
3,thyroid_sick,bagging,random,3,all,auc,0.9950941313546331
3,thyroid_sick,bagging,random,3,all,g-mean,0.8560814518839698
4,thyroid_sick,bagging,random,4,-1,precision,0.9818688981868898
4,thyroid_sick,bagging,random,4,-1,recall,0.9929478138222849
4,thyroid_sick,bagging,random,4,-1,f1-score,0.9873772791023843
4,thyroid_sick,bagging,random,4,1,precision,0.868421052631579
4,thyroid_sick,bagging,random,4,1,recall,0.717391304347826
4,thyroid_sick,bagging,random,4,1,f1-score,0.7857142857142857
4,thyroid_sick,bagging,random,4,all,accuracy,0.976158940397351
4,thyroid_sick,bagging,random,4,all,precision,0.9251449754092345
4,thyroid_sick,bagging,random,4,all,recall,0.8551695590850554
4,thyroid_sick,bagging,random,4,all,f1-score,0.8865457824083349
4,thyroid_sick,bagging,random,4,all,auc,0.9949408229594652
4,thyroid_sick,bagging,random,4,all,g-mean,0.8439977057476468
5,thyroid_sick,bagging,random,5,-1,precision,0.9832402234636871
5,thyroid_sick,bagging,random,5,-1,recall,0.9929478138222849
5,thyroid_sick,bagging,random,5,-1,f1-score,0.9880701754385965
5,thyroid_sick,bagging,random,5,1,precision,0.8717948717948718
5,thyroid_sick,bagging,random,5,1,recall,0.7391304347826086
5,thyroid_sick,bagging,random,5,1,f1-score,0.8
5,thyroid_sick,bagging,random,5,all,accuracy,0.9774834437086093
5,thyroid_sick,bagging,random,5,all,precision,0.9275175476292794
5,thyroid_sick,bagging,random,5,all,recall,0.8660391243024468
5,thyroid_sick,bagging,random,5,all,f1-score,0.8940350877192983
5,thyroid_sick,bagging,random,5,all,auc,0.9954007481449685
5,thyroid_sick,bagging,random,5,all,g-mean,0.8566901127869436
6,thyroid_sick,bagging,random,6,-1,precision,0.9818435754189944
6,thyroid_sick,bagging,random,6,-1,recall,0.9915373765867419
6,thyroid_sick,bagging,random,6,-1,f1-score,0.9866666666666667
6,thyroid_sick,bagging,random,6,1,precision,0.8461538461538461
6,thyroid_sick,bagging,random,6,1,recall,0.717391304347826
6,thyroid_sick,bagging,random,6,1,f1-score,0.7764705882352941
6,thyroid_sick,bagging,random,6,all,accuracy,0.9748344370860927
6,thyroid_sick,bagging,random,6,all,precision,0.9139987107864203
