forest_index,dataset,type,strategy,iteration,class,metric,value
0,thyroid_sick,bagging,random,0,-1,precision,0.9847009735744089
0,thyroid_sick,bagging,random,0,-1,recall,0.998589562764457
0,thyroid_sick,bagging,random,0,-1,f1-score,0.9915966386554622
0,thyroid_sick,bagging,random,0,1,precision,0.9722222222222222
0,thyroid_sick,bagging,random,0,1,recall,0.7608695652173914
0,thyroid_sick,bagging,random,0,1,f1-score,0.8536585365853658
0,thyroid_sick,bagging,random,0,all,accuracy,0.9841059602649007
0,thyroid_sick,bagging,random,0,all,precision,0.9784615978983155
0,thyroid_sick,bagging,random,0,all,recall,0.8797295639909242
0,thyroid_sick,bagging,random,0,all,f1-score,0.922627587620414
0,thyroid_sick,bagging,random,0,all,auc,0.9964739069111422
0,thyroid_sick,bagging,random,0,all,g-mean,0.8716630119783776
1,thyroid_sick,bagging,random,1,-1,precision,0.9902234636871509
1,thyroid_sick,bagging,random,1,-1,recall,1.0
1,thyroid_sick,bagging,random,1,-1,f1-score,0.9950877192982456
1,thyroid_sick,bagging,random,1,1,precision,1.0
1,thyroid_sick,bagging,random,1,1,recall,0.8478260869565217
1,thyroid_sick,bagging,random,1,1,f1-score,0.9176470588235294
1,thyroid_sick,bagging,random,1,all,accuracy,0.990728476821192
1,thyroid_sick,bagging,random,1,all,precision,0.9951117318435754
1,thyroid_sick,bagging,random,1,all,recall,0.9239130434782609
1,thyroid_sick,bagging,random,1,all,f1-score,0.9563673890608875
1,thyroid_sick,bagging,random,1,all,auc,0.9978076899491016
1,thyroid_sick,bagging,random,1,all,g-mean,0.920774721067277
2,thyroid_sick,bagging,random,2,-1,precision,0.9860529986052998
2,thyroid_sick,bagging,random,2,-1,recall,0.997179125528914
2,thyroid_sick,bagging,random,2,-1,f1-score,0.9915848527349228
2,thyroid_sick,bagging,random,2,1,precision,0.9473684210526315
2,thyroid_sick,bagging,random,2,1,recall,0.782608695652174
2,thyroid_sick,bagging,random,2,1,f1-score,0.8571428571428571
2,thyroid_sick,bagging,random,2,all,accuracy,0.9841059602649007
2,thyroid_sick,bagging,random,2,all,precision,0.9667107098289657
2,thyroid_sick,bagging,random,2,all,recall,0.8898939105905439
2,thyroid_sick,bagging,random,2,all,f1-score,0.92436385493889
2,thyroid_sick,bagging,random,2,all,auc,0.995293432268351
2,thyroid_sick,bagging,random,2,all,g-mean,0.8834031100023131
3,thyroid_sick,bagging,random,3,-1,precision,0.9847222222222223
3,thyroid_sick,bagging,random,3,-1,recall,1.0
3,thyroid_sick,bagging,random,3,-1,f1-score,0.9923023093072079
3,thyroid_sick,bagging,random,3,1,precision,1.0
3,thyroid_sick,bagging,random,3,1,recall,0.7608695652173914
3,thyroid_sick,bagging,random,3,1,f1-score,0.8641975308641975
3,thyroid_sick,bagging,random,3,all,accuracy,0.9854304635761589
3,thyroid_sick,bagging,random,3,all,precision,0.9923611111111111
3,thyroid_sick,bagging,random,3,all,recall,0.8804347826086957
3,thyroid_sick,bagging,random,3,all,f1-score,0.9282499200857026
3,thyroid_sick,bagging,random,3,all,auc,0.9982829459741215
3,thyroid_sick,bagging,random,3,all,g-mean,0.872278375988647
4,thyroid_sick,bagging,random,4,-1,precision,0.9764542936288089
4,thyroid_sick,bagging,random,4,-1,recall,0.9943582510578279
4,thyroid_sick,bagging,random,4,-1,f1-score,0.9853249475890985
4,thyroid_sick,bagging,random,4,1,precision,0.8787878787878788
4,thyroid_sick,bagging,random,4,1,recall,0.6304347826086957
4,thyroid_sick,bagging,random,4,1,f1-score,0.7341772151898734
4,thyroid_sick,bagging,random,4,all,accuracy,0.9721854304635762
4,thyroid_sick,bagging,random,4,all,precision,0.9276210862083438
4,thyroid_sick,bagging,random,4,all,recall,0.8123965168332619
4,thyroid_sick,bagging,random,4,all,f1-score,0.859751081389486
4,thyroid_sick,bagging,random,4,all,auc,0.9933617464892377
4,thyroid_sick,bagging,random,4,all,g-mean,0.7917562932119988
5,thyroid_sick,bagging,random,5,-1,precision,0.9860529986052998
5,thyroid_sick,bagging,random,5,-1,recall,0.997179125528914
5,thyroid_sick,bagging,random,5,-1,f1-score,0.9915848527349228
5,thyroid_sick,bagging,random,5,1,precision,0.9473684210526315
5,thyroid_sick,bagging,random,5,1,recall,0.782608695652174
5,thyroid_sick,bagging,random,5,1,f1-score,0.8571428571428571
5,thyroid_sick,bagging,random,5,all,accuracy,0.9841059602649007
5,thyroid_sick,bagging,random,5,all,precision,0.9667107098289657
5,thyroid_sick,bagging,random,5,all,recall,0.8898939105905439
5,thyroid_sick,bagging,random,5,all,f1-score,0.92436385493889
5,thyroid_sick,bagging,random,5,all,auc,0.9968878395780952
5,thyroid_sick,bagging,random,5,all,g-mean,0.8834031100023131
6,thyroid_sick,bagging,random,6,-1,precision,0.9901269393511989
6,thyroid_sick,bagging,random,6,-1,recall,0.9901269393511989
6,thyroid_sick,bagging,random,6,-1,f1-score,0.9901269393511989
6,thyroid_sick,bagging,random,6,1,precision,0.8478260869565217
6,thyroid_sick,bagging,random,6,1,recall,0.8478260869565217
6,thyroid_sick,bagging,random,6,1,f1-score,0.8478260869565217
6,thyroid_sick,bagging,random,6,all,accuracy,0.9814569536423841
6,thyroid_sick,bagging,random,6,all,precision,0.9189765131538603
6,thyroid_sick,bagging,random,6,all,recall,0.9189765131538603
6,thyroid_sick,bagging,random,6,all,f1-score,0.9189765131538603
6,thyroid_sick,bagging,random,6,all,auc,0.9967498620224443
6,thyroid_sick,bagging,random,6,all,g-mean,0.9162180136738004
7,thyroid_sick,bagging,random,7,-1,precision,0.9818688981868898
7,thyroid_sick,bagging,random,7,-1,recall,0.9929478138222849
7,thyroid_sick,bagging,random,7,-1,f1-score,0.9873772791023843
7,thyroid_sick,bagging,random,7,1,precision,0.868421052631579
7,thyroid_sick,bagging,random,7,1,recall,0.717391304347826
7,thyroid_sick,bagging,random,7,1,f1-score,0.7857142857142857
7,thyroid_sick,bagging,random,7,all,accuracy,0.976158940397351
7,thyroid_sick,bagging,random,7,all,precision,0.9251449754092345
7,thyroid_sick,bagging,random,7,all,recall,0.8551695590850554
7,thyroid_sick,bagging,random,7,all,f1-score,0.8865457824083349
7,thyroid_sick,bagging,random,7,all,auc,0.9953547556264181
7,thyroid_sick,bagging,random,7,all,g-mean,0.8439977057476468
8,thyroid_sick,bagging,random,8,-1,precision,0.9888268156424581
8,thyroid_sick,bagging,random,8,-1,recall,0.998589562764457
8,thyroid_sick,bagging,random,8,-1,f1-score,0.9936842105263158
8,thyroid_sick,bagging,random,8,1,precision,0.9743589743589743
8,thyroid_sick,bagging,random,8,1,recall,0.8260869565217391
8,thyroid_sick,bagging,random,8,1,f1-score,0.8941176470588236
8,thyroid_sick,bagging,random,8,all,accuracy,0.9880794701986755
8,thyroid_sick,bagging,random,8,all,precision,0.9815928950007162
8,thyroid_sick,bagging,random,8,all,recall,0.912338259643098
8,thyroid_sick,bagging,random,8,all,f1-score,0.9439009287925697
8,thyroid_sick,bagging,random,8,all,auc,0.9969798246151959
8,thyroid_sick,bagging,random,8,all,g-mean,0.9082520645274992
9,thyroid_sick,bagging,random,9,-1,precision,0.9819193324061196
9,thyroid_sick,bagging,random,9,-1,recall,0.995768688293371
9,thyroid_sick,bagging,random,9,-1,f1-score,0.988795518207283
9,thyroid_sick,bagging,random,9,1,precision,0.9166666666666666
9,thyroid_sick,bagging,random,9,1,recall,0.717391304347826
9,thyroid_sick,bagging,random,9,1,f1-score,0.8048780487804879
9,thyroid_sick,bagging,random,9,all,accuracy,0.9788079470198675
9,thyroid_sick,bagging,random,9,all,precision,0.9492929995363931
9,thyroid_sick,bagging,random,9,all,recall,0.8565799963205984
9,thyroid_sick,bagging,random,9,all,f1-score,0.8968367834938854
9,thyroid_sick,bagging,random,9,all,auc,0.9977463665910344
9,thyroid_sick,bagging,random,9,all,g-mean,0.8451957158691147
10,thyroid_sick,bagging,random,10,-1,precision,0.9860917941585535
10,thyroid_sick,bagging,random,10,-1,recall,1.0
10,thyroid_sick,bagging,random,10,-1,f1-score,0.9929971988795518
10,thyroid_sick,bagging,random,10,1,precision,1.0
10,thyroid_sick,bagging,random,10,1,recall,0.782608695652174
10,thyroid_sick,bagging,random,10,1,f1-score,0.8780487804878049
