forest_index,dataset,type,strategy,iteration,class,metric,value
0,US Crime,bagging,random,0,-1,precision,0.9505208333333334
0,US Crime,bagging,random,0,-1,recall,0.989159891598916
0,US Crime,bagging,random,0,-1,f1-score,0.9694555112881806
0,US Crime,bagging,random,0,1,precision,0.7333333333333333
0,US Crime,bagging,random,0,1,recall,0.36666666666666664
0,US Crime,bagging,random,0,1,f1-score,0.4888888888888889
0,US Crime,bagging,random,0,all,accuracy,0.9423558897243107
0,US Crime,bagging,random,0,all,precision,0.8419270833333333
0,US Crime,bagging,random,0,all,recall,0.6779132791327913
0,US Crime,bagging,random,0,all,f1-score,0.7291722000885348
0,US Crime,bagging,random,0,all,auc,0.9386630532971996
0,US Crime,bagging,random,0,all,g-mean,0.6022391221540958
1,US Crime,bagging,random,1,-1,precision,0.9483204134366925
1,US Crime,bagging,random,1,-1,recall,0.994579945799458
1,US Crime,bagging,random,1,-1,f1-score,0.9708994708994709
1,US Crime,bagging,random,1,1,precision,0.8333333333333334
1,US Crime,bagging,random,1,1,recall,0.3333333333333333
1,US Crime,bagging,random,1,1,f1-score,0.47619047619047616
1,US Crime,bagging,random,1,all,accuracy,0.9448621553884712
1,US Crime,bagging,random,1,all,precision,0.8908268733850129
1,US Crime,bagging,random,1,all,recall,0.6639566395663956
1,US Crime,bagging,random,1,all,f1-score,0.7235449735449735
1,US Crime,bagging,random,1,all,auc,0.9369467028003613
1,US Crime,bagging,random,1,all,g-mean,0.5757835084472456
2,US Crime,bagging,random,2,-1,precision,0.9431524547803618
2,US Crime,bagging,random,2,-1,recall,0.989159891598916
2,US Crime,bagging,random,2,-1,f1-score,0.9656084656084656
2,US Crime,bagging,random,2,1,precision,0.6666666666666666
2,US Crime,bagging,random,2,1,recall,0.26666666666666666
2,US Crime,bagging,random,2,1,f1-score,0.38095238095238093
2,US Crime,bagging,random,2,all,accuracy,0.9348370927318296
2,US Crime,bagging,random,2,all,precision,0.8049095607235142
2,US Crime,bagging,random,2,all,recall,0.6279132791327914
2,US Crime,bagging,random,2,all,f1-score,0.6732804232804233
2,US Crime,bagging,random,2,all,auc,0.944263775971093
2,US Crime,bagging,random,2,all,g-mean,0.5135912490425087
3,US Crime,bagging,random,3,-1,precision,0.9483204134366925
3,US Crime,bagging,random,3,-1,recall,0.994579945799458
3,US Crime,bagging,random,3,-1,f1-score,0.9708994708994709
3,US Crime,bagging,random,3,1,precision,0.8333333333333334
3,US Crime,bagging,random,3,1,recall,0.3333333333333333
3,US Crime,bagging,random,3,1,f1-score,0.47619047619047616
3,US Crime,bagging,random,3,all,accuracy,0.9448621553884712
