forest_index,dataset,type,strategy,iteration,class,metric,value
0,us_crime,bagging,random,0,-1,precision,0.9360613810741688
0,us_crime,bagging,random,0,-1,recall,0.991869918699187
0,us_crime,bagging,random,0,-1,f1-score,0.9631578947368421
0,us_crime,bagging,random,0,1,precision,0.625
0,us_crime,bagging,random,0,1,recall,0.16666666666666666
0,us_crime,bagging,random,0,1,f1-score,0.2631578947368421
0,us_crime,bagging,random,0,all,accuracy,0.9298245614035088
0,us_crime,bagging,random,0,all,precision,0.7805306905370843
0,us_crime,bagging,random,0,all,recall,0.5792682926829268
0,us_crime,bagging,random,0,all,f1-score,0.6131578947368421
0,us_crime,bagging,random,0,all,auc,0.916847335140018
0,us_crime,bagging,random,0,all,g-mean,0.4065853577252028
1,us_crime,bagging,random,1,-1,precision,0.9506493506493506
1,us_crime,bagging,random,1,-1,recall,0.991869918699187
1,us_crime,bagging,random,1,-1,f1-score,0.9708222811671088
1,us_crime,bagging,random,1,1,precision,0.7857142857142857
1,us_crime,bagging,random,1,1,recall,0.36666666666666664
1,us_crime,bagging,random,1,1,f1-score,0.5
1,us_crime,bagging,random,1,all,accuracy,0.9448621553884712
1,us_crime,bagging,random,1,all,precision,0.8681818181818182
1,us_crime,bagging,random,1,all,recall,0.6792682926829268
1,us_crime,bagging,random,1,all,f1-score,0.7354111405835544
1,us_crime,bagging,random,1,all,auc,0.90483288166215
1,us_crime,bagging,random,1,all,g-mean,0.6030635429673796
2,us_crime,bagging,random,2,-1,precision,0.9432989690721649
2,us_crime,bagging,random,2,-1,recall,0.991869918699187
2,us_crime,bagging,random,2,-1,f1-score,0.9669749009247027
2,us_crime,bagging,random,2,1,precision,0.7272727272727273
2,us_crime,bagging,random,2,1,recall,0.26666666666666666
2,us_crime,bagging,random,2,1,f1-score,0.3902439024390244
2,us_crime,bagging,random,2,all,accuracy,0.9373433583959899
2,us_crime,bagging,random,2,all,precision,0.8352858481724461
2,us_crime,bagging,random,2,all,recall,0.6292682926829268
2,us_crime,bagging,random,2,all,f1-score,0.6786094016818636
2,us_crime,bagging,random,2,all,auc,0.9214092140921409
2,us_crime,bagging,random,2,all,g-mean,0.5142943174743911
3,us_crime,bagging,random,3,-1,precision,0.9404145077720207
3,us_crime,bagging,random,3,-1,recall,0.983739837398374
3,us_crime,bagging,random,3,-1,f1-score,0.9615894039735099
3,us_crime,bagging,random,3,1,precision,0.5384615384615384
3,us_crime,bagging,random,3,1,recall,0.23333333333333334
3,us_crime,bagging,random,3,1,f1-score,0.32558139534883723
3,us_crime,bagging,random,3,all,accuracy,0.9273182957393483
3,us_crime,bagging,random,3,all,precision,0.7394380231167796
3,us_crime,bagging,random,3,all,recall,0.6085365853658536
3,us_crime,bagging,random,3,all,f1-score,0.6435853996611736
3,us_crime,bagging,random,3,all,auc,0.909936766034327
3,us_crime,bagging,random,3,all,g-mean,0.47910259380737436
4,us_crime,bagging,random,4,-1,precision,0.9407216494845361
4,us_crime,bagging,random,4,-1,recall,0.989159891598916
4,us_crime,bagging,random,4,-1,f1-score,0.964332892998679
4,us_crime,bagging,random,4,1,precision,0.6363636363636364
4,us_crime,bagging,random,4,1,recall,0.23333333333333334
4,us_crime,bagging,random,4,1,f1-score,0.34146341463414637
4,us_crime,bagging,random,4,all,accuracy,0.9323308270676691
4,us_crime,bagging,random,4,all,precision,0.7885426429240863
4,us_crime,bagging,random,4,all,recall,0.6112466124661247
4,us_crime,bagging,random,4,all,f1-score,0.6528981538164127
4,us_crime,bagging,random,4,all,auc,0.9128274616079495
4,us_crime,bagging,random,4,all,g-mean,0.4804206226905895
5,us_crime,bagging,random,5,-1,precision,0.9404145077720207
5,us_crime,bagging,random,5,-1,recall,0.983739837398374
5,us_crime,bagging,random,5,-1,f1-score,0.9615894039735099
5,us_crime,bagging,random,5,1,precision,0.5384615384615384
5,us_crime,bagging,random,5,1,recall,0.23333333333333334
5,us_crime,bagging,random,5,1,f1-score,0.32558139534883723
5,us_crime,bagging,random,5,all,accuracy,0.9273182957393483
5,us_crime,bagging,random,5,all,precision,0.7394380231167796
5,us_crime,bagging,random,5,all,recall,0.6085365853658536
5,us_crime,bagging,random,5,all,f1-score,0.6435853996611736
5,us_crime,bagging,random,5,all,auc,0.9327913279132792
5,us_crime,bagging,random,5,all,g-mean,0.47910259380737436
6,us_crime,bagging,random,6,-1,precision,0.9432989690721649
6,us_crime,bagging,random,6,-1,recall,0.991869918699187
6,us_crime,bagging,random,6,-1,f1-score,0.9669749009247027
6,us_crime,bagging,random,6,1,precision,0.7272727272727273
6,us_crime,bagging,random,6,1,recall,0.26666666666666666
6,us_crime,bagging,random,6,1,f1-score,0.3902439024390244
6,us_crime,bagging,random,6,all,accuracy,0.9373433583959899
6,us_crime,bagging,random,6,all,precision,0.8352858481724461
6,us_crime,bagging,random,6,all,recall,0.6292682926829268
6,us_crime,bagging,random,6,all,f1-score,0.6786094016818636
6,us_crime,bagging,random,6,all,auc,0.9118789521228545
6,us_crime,bagging,random,6,all,g-mean,0.5142943174743911
7,us_crime,bagging,random,7,-1,precision,0.9477806788511749
7,us_crime,bagging,random,7,-1,recall,0.983739837398374
7,us_crime,bagging,random,7,-1,f1-score,0.9654255319148937
7,us_crime,bagging,random,7,1,precision,0.625
7,us_crime,bagging,random,7,1,recall,0.3333333333333333
7,us_crime,bagging,random,7,1,f1-score,0.43478260869565216
7,us_crime,bagging,random,7,all,accuracy,0.9348370927318296
7,us_crime,bagging,random,7,all,precision,0.7863903394255874
7,us_crime,bagging,random,7,all,recall,0.6585365853658537
7,us_crime,bagging,random,7,all,f1-score,0.7001040703052729
7,us_crime,bagging,random,7,all,auc,0.898509485094851
7,us_crime,bagging,random,7,all,g-mean,0.5726371269248889
8,us_crime,bagging,random,8,-1,precision,0.9408740359897172
8,us_crime,bagging,random,8,-1,recall,0.991869918699187
8,us_crime,bagging,random,8,-1,f1-score,0.9656992084432717
8,us_crime,bagging,random,8,1,precision,0.7
8,us_crime,bagging,random,8,1,recall,0.23333333333333334
8,us_crime,bagging,random,8,1,f1-score,0.35
8,us_crime,bagging,random,8,all,accuracy,0.9348370927318296
8,us_crime,bagging,random,8,all,precision,0.8204370179948586
8,us_crime,bagging,random,8,all,recall,0.6126016260162601
8,us_crime,bagging,random,8,all,f1-score,0.6578496042216359
8,us_crime,bagging,random,8,all,auc,0.9360433604336044
8,us_crime,bagging,random,8,all,g-mean,0.4810782829884796
9,us_crime,bagging,random,9,-1,precision,0.952755905511811
9,us_crime,bagging,random,9,-1,recall,0.983739837398374
9,us_crime,bagging,random,9,-1,f1-score,0.968
9,us_crime,bagging,random,9,1,precision,0.6666666666666666
9,us_crime,bagging,random,9,1,recall,0.4
9,us_crime,bagging,random,9,1,f1-score,0.5
9,us_crime,bagging,random,9,all,accuracy,0.9398496240601504
9,us_crime,bagging,random,9,all,precision,0.8097112860892388
9,us_crime,bagging,random,9,all,recall,0.691869918699187
9,us_crime,bagging,random,9,all,f1-score,0.734
9,us_crime,bagging,random,9,all,auc,0.9246160794941283
9,us_crime,bagging,random,9,all,g-mean,0.6272925433634212
10,us_crime,bagging,random,10,-1,precision,0.948051948051948
10,us_crime,bagging,random,10,-1,recall,0.989159891598916
10,us_crime,bagging,random,10,-1,f1-score,0.9681697612732095
10,us_crime,bagging,random,10,1,precision,0.7142857142857143
10,us_crime,bagging,random,10,1,recall,0.3333333333333333
10,us_crime,bagging,random,10,1,f1-score,0.45454545454545453
10,us_crime,bagging,random,10,all,accuracy,0.9398496240601504
10,us_crime,bagging,random,10,all,precision,0.8311688311688312
10,us_crime,bagging,random,10,all,recall,0.6612466124661247
10,us_crime,bagging,random,10,all,f1-score,0.711357607909332
10,us_crime,bagging,random,10,all,auc,0.8934507678410117
10,us_crime,bagging,random,10,all,g-mean,0.5742124727540366
11,us_crime,bagging,random,11,-1,precision,0.9528795811518325
11,us_crime,bagging,random,11,-1,recall,0.986449864498645
11,us_crime,bagging,random,11,-1,f1-score,0.9693741677762983
11,us_crime,bagging,random,11,1,precision,0.7058823529411765
11,us_crime,bagging,random,11,1,recall,0.4
11,us_crime,bagging,random,11,1,f1-score,0.5106382978723404
11,us_crime,bagging,random,11,all,accuracy,0.9423558897243107
11,us_crime,bagging,random,11,all,precision,0.8293809670465044
11,us_crime,bagging,random,11,all,recall,0.6932249322493225
11,us_crime,bagging,random,11,all,f1-score,0.7400062328243193
11,us_crime,bagging,random,11,all,auc,0.8995483288166215
11,us_crime,bagging,random,11,all,g-mean,0.6281559884291943
12,us_crime,bagging,random,12,-1,precision,0.9461538461538461
12,us_crime,bagging,random,12,-1,recall,1.0
12,us_crime,bagging,random,12,-1,f1-score,0.9723320158102767
12,us_crime,bagging,random,12,1,precision,1.0
12,us_crime,bagging,random,12,1,recall,0.3
12,us_crime,bagging,random,12,1,f1-score,0.46153846153846156
12,us_crime,bagging,random,12,all,accuracy,0.9473684210526315
12,us_crime,bagging,random,12,all,precision,0.9730769230769231
12,us_crime,bagging,random,12,all,recall,0.65
12,us_crime,bagging,random,12,all,f1-score,0.7169352386743691
12,us_crime,bagging,random,12,all,auc,0.9498644986449865
12,us_crime,bagging,random,12,all,g-mean,0.5477225575051661
13,us_crime,bagging,random,13,-1,precision,0.9454545454545454
13,us_crime,bagging,random,13,-1,recall,0.986449864498645
13,us_crime,bagging,random,13,-1,f1-score,0.9655172413793104
13,us_crime,bagging,random,13,1,precision,0.6428571428571429
13,us_crime,bagging,random,13,1,recall,0.3
13,us_crime,bagging,random,13,1,f1-score,0.4090909090909091
13,us_crime,bagging,random,13,all,accuracy,0.9348370927318296
13,us_crime,bagging,random,13,all,precision,0.7941558441558442
13,us_crime,bagging,random,13,all,recall,0.6432249322493225
13,us_crime,bagging,random,13,all,f1-score,0.6873040752351097
13,us_crime,bagging,random,13,all,auc,0.9145438121047877
13,us_crime,bagging,random,13,all,g-mean,0.5439990435190061
14,us_crime,bagging,random,14,-1,precision,0.9503916449086162
14,us_crime,bagging,random,14,-1,recall,0.986449864498645
14,us_crime,bagging,random,14,-1,f1-score,0.9680851063829787
14,us_crime,bagging,random,14,1,precision,0.6875
14,us_crime,bagging,random,14,1,recall,0.36666666666666664
14,us_crime,bagging,random,14,1,f1-score,0.4782608695652174
14,us_crime,bagging,random,14,all,accuracy,0.9398496240601504
14,us_crime,bagging,random,14,all,precision,0.818945822454308
14,us_crime,bagging,random,14,all,recall,0.6765582655826559
14,us_crime,bagging,random,14,all,f1-score,0.723172987974098
14,us_crime,bagging,random,14,all,auc,0.9237127371273712
14,us_crime,bagging,random,14,all,g-mean,0.6014135712215872
15,us_crime,bagging,random,15,-1,precision,0.9530026109660574
15,us_crime,bagging,random,15,-1,recall,0.989159891598916
15,us_crime,bagging,random,15,-1,f1-score,0.9707446808510638
15,us_crime,bagging,random,15,1,precision,0.75
15,us_crime,bagging,random,15,1,recall,0.4
15,us_crime,bagging,random,15,1,f1-score,0.5217391304347826
15,us_crime,bagging,random,15,all,accuracy,0.9448621553884712
15,us_crime,bagging,random,15,all,precision,0.8515013054830287
15,us_crime,bagging,random,15,all,recall,0.694579945799458
15,us_crime,bagging,random,15,all,f1-score,0.7462419056429233
15,us_crime,bagging,random,15,all,auc,0.8929087624209575
15,us_crime,bagging,random,15,all,g-mean,0.6290182482564131
16,us_crime,bagging,random,16,-1,precision,0.9458762886597938
16,us_crime,bagging,random,16,-1,recall,0.994579945799458
16,us_crime,bagging,random,16,-1,f1-score,0.9696169088507266
16,us_crime,bagging,random,16,1,precision,0.8181818181818182
16,us_crime,bagging,random,16,1,recall,0.3
16,us_crime,bagging,random,16,1,f1-score,0.43902439024390244
16,us_crime,bagging,random,16,all,accuracy,0.9423558897243107
16,us_crime,bagging,random,16,all,precision,0.882029053420806
16,us_crime,bagging,random,16,all,recall,0.647289972899729
16,us_crime,bagging,random,16,all,f1-score,0.7043206495473145
16,us_crime,bagging,random,16,all,auc,0.9192411924119241
16,us_crime,bagging,random,16,all,g-mean,0.5462361977568287
17,us_crime,bagging,random,17,-1,precision,0.958005249343832
17,us_crime,bagging,random,17,-1,recall,0.989159891598916
17,us_crime,bagging,random,17,-1,f1-score,0.9733333333333334
17,us_crime,bagging,random,17,1,precision,0.7777777777777778
17,us_crime,bagging,random,17,1,recall,0.4666666666666667
17,us_crime,bagging,random,17,1,f1-score,0.5833333333333334
17,us_crime,bagging,random,17,all,accuracy,0.949874686716792
17,us_crime,bagging,random,17,all,precision,0.867891513560805
17,us_crime,bagging,random,17,all,recall,0.7279132791327914
17,us_crime,bagging,random,17,all,f1-score,0.7783333333333333
17,us_crime,bagging,random,17,all,auc,0.9490063233965673
17,us_crime,bagging,random,17,all,g-mean,0.6794173602527591
18,us_crime,bagging,random,18,-1,precision,0.9479166666666666
18,us_crime,bagging,random,18,-1,recall,0.986449864498645
18,us_crime,bagging,random,18,-1,f1-score,0.9667994687915007
18,us_crime,bagging,random,18,1,precision,0.6666666666666666
18,us_crime,bagging,random,18,1,recall,0.3333333333333333
18,us_crime,bagging,random,18,1,f1-score,0.4444444444444444
18,us_crime,bagging,random,18,all,accuracy,0.9373433583959899
18,us_crime,bagging,random,18,all,precision,0.8072916666666666
18,us_crime,bagging,random,18,all,recall,0.6598915989159891
18,us_crime,bagging,random,18,all,f1-score,0.7056219566179726
18,us_crime,bagging,random,18,all,auc,0.9492321589882565
18,us_crime,bagging,random,18,all,g-mean,0.573425340824373
19,us_crime,bagging,random,19,-1,precision,0.9407216494845361
19,us_crime,bagging,random,19,-1,recall,0.989159891598916
19,us_crime,bagging,random,19,-1,f1-score,0.964332892998679
19,us_crime,bagging,random,19,1,precision,0.6363636363636364
19,us_crime,bagging,random,19,1,recall,0.23333333333333334
19,us_crime,bagging,random,19,1,f1-score,0.34146341463414637
19,us_crime,bagging,random,19,all,accuracy,0.9323308270676691
19,us_crime,bagging,random,19,all,precision,0.7885426429240863
19,us_crime,bagging,random,19,all,recall,0.6112466124661247
19,us_crime,bagging,random,19,all,f1-score,0.6528981538164127
19,us_crime,bagging,random,19,all,auc,0.8927280939476061
19,us_crime,bagging,random,19,all,g-mean,0.4804206226905895
20,us_crime,bagging,random,20,-1,precision,0.9458762886597938
20,us_crime,bagging,random,20,-1,recall,0.994579945799458
20,us_crime,bagging,random,20,-1,f1-score,0.9696169088507266
20,us_crime,bagging,random,20,1,precision,0.8181818181818182
20,us_crime,bagging,random,20,1,recall,0.3
20,us_crime,bagging,random,20,1,f1-score,0.43902439024390244
20,us_crime,bagging,random,20,all,accuracy,0.9423558897243107
20,us_crime,bagging,random,20,all,precision,0.882029053420806
20,us_crime,bagging,random,20,all,recall,0.647289972899729
20,us_crime,bagging,random,20,all,f1-score,0.7043206495473145
20,us_crime,bagging,random,20,all,auc,0.903613369467028
20,us_crime,bagging,random,20,all,g-mean,0.5462361977568287
21,us_crime,bagging,random,21,-1,precision,0.9458762886597938
21,us_crime,bagging,random,21,-1,recall,0.994579945799458
21,us_crime,bagging,random,21,-1,f1-score,0.9696169088507266
21,us_crime,bagging,random,21,1,precision,0.8181818181818182
21,us_crime,bagging,random,21,1,recall,0.3
21,us_crime,bagging,random,21,1,f1-score,0.43902439024390244
21,us_crime,bagging,random,21,all,accuracy,0.9423558897243107
21,us_crime,bagging,random,21,all,precision,0.882029053420806
21,us_crime,bagging,random,21,all,recall,0.647289972899729
21,us_crime,bagging,random,21,all,f1-score,0.7043206495473145
21,us_crime,bagging,random,21,all,auc,0.9513098464317977
21,us_crime,bagging,random,21,all,g-mean,0.5462361977568287
22,us_crime,bagging,random,22,-1,precision,0.9607329842931938
22,us_crime,bagging,random,22,-1,recall,0.994579945799458
22,us_crime,bagging,random,22,-1,f1-score,0.9773635153129161
22,us_crime,bagging,random,22,1,precision,0.8823529411764706
22,us_crime,bagging,random,22,1,recall,0.5
22,us_crime,bagging,random,22,1,f1-score,0.6382978723404256
22,us_crime,bagging,random,22,all,accuracy,0.9573934837092731
22,us_crime,bagging,random,22,all,precision,0.9215429627348322
22,us_crime,bagging,random,22,all,recall,0.747289972899729
22,us_crime,bagging,random,22,all,f1-score,0.8078306938266708
22,us_crime,bagging,random,22,all,auc,0.969557362240289
22,us_crime,bagging,random,22,all,g-mean,0.7051878990026197
23,us_crime,bagging,random,23,-1,precision,0.9485861182519281
23,us_crime,bagging,random,23,-1,recall,1.0
23,us_crime,bagging,random,23,-1,f1-score,0.9736147757255936
23,us_crime,bagging,random,23,1,precision,1.0
23,us_crime,bagging,random,23,1,recall,0.3333333333333333
23,us_crime,bagging,random,23,1,f1-score,0.5
23,us_crime,bagging,random,23,all,accuracy,0.949874686716792
23,us_crime,bagging,random,23,all,precision,0.974293059125964
23,us_crime,bagging,random,23,all,recall,0.6666666666666666
23,us_crime,bagging,random,23,all,f1-score,0.7368073878627968
23,us_crime,bagging,random,23,all,auc,0.9208220415537489
23,us_crime,bagging,random,23,all,g-mean,0.5773502691896257
24,us_crime,bagging,random,24,-1,precision,0.9505208333333334
24,us_crime,bagging,random,24,-1,recall,0.989159891598916
24,us_crime,bagging,random,24,-1,f1-score,0.9694555112881806
24,us_crime,bagging,random,24,1,precision,0.7333333333333333
24,us_crime,bagging,random,24,1,recall,0.36666666666666664
24,us_crime,bagging,random,24,1,f1-score,0.4888888888888889
24,us_crime,bagging,random,24,all,accuracy,0.9423558897243107
24,us_crime,bagging,random,24,all,precision,0.8419270833333333
24,us_crime,bagging,random,24,all,recall,0.6779132791327913
24,us_crime,bagging,random,24,all,f1-score,0.7291722000885348
24,us_crime,bagging,random,24,all,auc,0.907226738934056
24,us_crime,bagging,random,24,all,g-mean,0.6022391221540958
25,us_crime,bagging,random,25,-1,precision,0.9484536082474226
25,us_crime,bagging,random,25,-1,recall,0.997289972899729
25,us_crime,bagging,random,25,-1,f1-score,0.9722589167767504
25,us_crime,bagging,random,25,1,precision,0.9090909090909091
25,us_crime,bagging,random,25,1,recall,0.3333333333333333
25,us_crime,bagging,random,25,1,f1-score,0.4878048780487805
25,us_crime,bagging,random,25,all,accuracy,0.9473684210526315
25,us_crime,bagging,random,25,all,precision,0.9287722586691658
25,us_crime,bagging,random,25,all,recall,0.6653116531165312
25,us_crime,bagging,random,25,all,f1-score,0.7300318974127654
25,us_crime,bagging,random,25,all,auc,0.9509936766034327
25,us_crime,bagging,random,25,all,g-mean,0.5765674210069247
26,us_crime,bagging,random,26,-1,precision,0.9454545454545454
26,us_crime,bagging,random,26,-1,recall,0.986449864498645
26,us_crime,bagging,random,26,-1,f1-score,0.9655172413793104
26,us_crime,bagging,random,26,1,precision,0.6428571428571429
26,us_crime,bagging,random,26,1,recall,0.3
26,us_crime,bagging,random,26,1,f1-score,0.4090909090909091
26,us_crime,bagging,random,26,all,accuracy,0.9348370927318296
26,us_crime,bagging,random,26,all,precision,0.7941558441558442
26,us_crime,bagging,random,26,all,recall,0.6432249322493225
26,us_crime,bagging,random,26,all,f1-score,0.6873040752351097
26,us_crime,bagging,random,26,all,auc,0.8835591689250225
26,us_crime,bagging,random,26,all,g-mean,0.5439990435190061
27,us_crime,bagging,random,27,-1,precision,0.9505208333333334
27,us_crime,bagging,random,27,-1,recall,0.989159891598916
27,us_crime,bagging,random,27,-1,f1-score,0.9694555112881806
27,us_crime,bagging,random,27,1,precision,0.7333333333333333
27,us_crime,bagging,random,27,1,recall,0.36666666666666664
27,us_crime,bagging,random,27,1,f1-score,0.4888888888888889
27,us_crime,bagging,random,27,all,accuracy,0.9423558897243107
27,us_crime,bagging,random,27,all,precision,0.8419270833333333
27,us_crime,bagging,random,27,all,recall,0.6779132791327913
27,us_crime,bagging,random,27,all,f1-score,0.7291722000885348
27,us_crime,bagging,random,27,all,auc,0.9200542005420054
27,us_crime,bagging,random,27,all,g-mean,0.6022391221540958
28,us_crime,bagging,random,28,-1,precision,0.9528795811518325
28,us_crime,bagging,random,28,-1,recall,0.986449864498645
28,us_crime,bagging,random,28,-1,f1-score,0.9693741677762983
28,us_crime,bagging,random,28,1,precision,0.7058823529411765
28,us_crime,bagging,random,28,1,recall,0.4
28,us_crime,bagging,random,28,1,f1-score,0.5106382978723404
28,us_crime,bagging,random,28,all,accuracy,0.9423558897243107
28,us_crime,bagging,random,28,all,precision,0.8293809670465044
28,us_crime,bagging,random,28,all,recall,0.6932249322493225
28,us_crime,bagging,random,28,all,f1-score,0.7400062328243193
28,us_crime,bagging,random,28,all,auc,0.9311653116531164
28,us_crime,bagging,random,28,all,g-mean,0.6281559884291943
29,us_crime,bagging,random,29,-1,precision,0.9432989690721649
29,us_crime,bagging,random,29,-1,recall,0.991869918699187
29,us_crime,bagging,random,29,-1,f1-score,0.9669749009247027
29,us_crime,bagging,random,29,1,precision,0.7272727272727273
29,us_crime,bagging,random,29,1,recall,0.26666666666666666
29,us_crime,bagging,random,29,1,f1-score,0.3902439024390244
29,us_crime,bagging,random,29,all,accuracy,0.9373433583959899
29,us_crime,bagging,random,29,all,precision,0.8352858481724461
29,us_crime,bagging,random,29,all,recall,0.6292682926829268
29,us_crime,bagging,random,29,all,f1-score,0.6786094016818636
29,us_crime,bagging,random,29,all,auc,0.9121047877145438
29,us_crime,bagging,random,29,all,g-mean,0.5142943174743911
30,us_crime,bagging,random,30,-1,precision,0.9457364341085271
30,us_crime,bagging,random,30,-1,recall,0.991869918699187
30,us_crime,bagging,random,30,-1,f1-score,0.9682539682539683
30,us_crime,bagging,random,30,1,precision,0.75
30,us_crime,bagging,random,30,1,recall,0.3
30,us_crime,bagging,random,30,1,f1-score,0.42857142857142855
30,us_crime,bagging,random,30,all,accuracy,0.9398496240601504
30,us_crime,bagging,random,30,all,precision,0.8478682170542635
30,us_crime,bagging,random,30,all,recall,0.6459349593495934
30,us_crime,bagging,random,30,all,f1-score,0.6984126984126984
30,us_crime,bagging,random,30,all,auc,0.9187443541102077
30,us_crime,bagging,random,30,all,g-mean,0.5454914991177736
31,us_crime,bagging,random,31,-1,precision,0.9386189258312021
31,us_crime,bagging,random,31,-1,recall,0.994579945799458
31,us_crime,bagging,random,31,-1,f1-score,0.9657894736842105
31,us_crime,bagging,random,31,1,precision,0.75
31,us_crime,bagging,random,31,1,recall,0.2
31,us_crime,bagging,random,31,1,f1-score,0.3157894736842105
31,us_crime,bagging,random,31,all,accuracy,0.9348370927318296
31,us_crime,bagging,random,31,all,precision,0.844309462915601
31,us_crime,bagging,random,31,all,recall,0.597289972899729
31,us_crime,bagging,random,31,all,f1-score,0.6407894736842106
31,us_crime,bagging,random,31,all,auc,0.9219512195121952
31,us_crime,bagging,random,31,all,g-mean,0.44599998784741196
32,us_crime,bagging,random,32,-1,precision,0.9455958549222798
32,us_crime,bagging,random,32,-1,recall,0.989159891598916
32,us_crime,bagging,random,32,-1,f1-score,0.9668874172185431
32,us_crime,bagging,random,32,1,precision,0.6923076923076923
32,us_crime,bagging,random,32,1,recall,0.3
32,us_crime,bagging,random,32,1,f1-score,0.4186046511627907
32,us_crime,bagging,random,32,all,accuracy,0.9373433583959899
32,us_crime,bagging,random,32,all,precision,0.8189517736149861
32,us_crime,bagging,random,32,all,recall,0.644579945799458
32,us_crime,bagging,random,32,all,f1-score,0.6927460341906669
32,us_crime,bagging,random,32,all,auc,0.9002710027100271
32,us_crime,bagging,random,32,all,g-mean,0.5447457824340403
33,us_crime,bagging,random,33,-1,precision,0.9384615384615385
33,us_crime,bagging,random,33,-1,recall,0.991869918699187
33,us_crime,bagging,random,33,-1,f1-score,0.9644268774703557
33,us_crime,bagging,random,33,1,precision,0.6666666666666666
33,us_crime,bagging,random,33,1,recall,0.2
33,us_crime,bagging,random,33,1,f1-score,0.3076923076923077
33,us_crime,bagging,random,33,all,accuracy,0.9323308270676691
33,us_crime,bagging,random,33,all,precision,0.8025641025641026
33,us_crime,bagging,random,33,all,recall,0.5959349593495935
33,us_crime,bagging,random,33,all,f1-score,0.6360595925813317
