forest_index,dataset,type,strategy,iteration,class,metric,value
0,webpage,bagging,random,0,-1,precision,0.9898514487424621
0,webpage,bagging,random,0,-1,recall,0.9955621301775148
0,webpage,bagging,random,0,-1,f1-score,0.9926985765911941
0,webpage,bagging,random,0,1,precision,0.8089171974522293
0,webpage,bagging,random,0,1,recall,0.6479591836734694
0,webpage,bagging,random,0,1,f1-score,0.7195467422096318
0,webpage,bagging,random,0,all,accuracy,0.9857676825761932
0,webpage,bagging,random,0,all,precision,0.8993843230973457
0,webpage,bagging,random,0,all,recall,0.821760656925492
0,webpage,bagging,random,0,all,f1-score,0.856122659400413
0,webpage,bagging,random,0,all,auc,0.9605625830213742
0,webpage,bagging,random,0,all,g-mean,0.8031709812773634
1,webpage,bagging,random,1,-1,precision,0.9899955862880683
1,webpage,bagging,random,1,-1,recall,0.9954142011834319
1,webpage,bagging,random,1,-1,f1-score,0.9926974994467802
1,webpage,bagging,random,1,1,precision,0.8050314465408805
1,webpage,bagging,random,1,1,recall,0.6530612244897959
1,webpage,bagging,random,1,1,f1-score,0.7211267605633803
1,webpage,bagging,random,1,all,accuracy,0.9857676825761932
1,webpage,bagging,random,1,all,precision,0.8975135164144744
1,webpage,bagging,random,1,all,recall,0.8242377128366138
1,webpage,bagging,random,1,all,f1-score,0.8569121300050803
1,webpage,bagging,random,1,all,auc,0.9588195115324236
1,webpage,bagging,random,1,all,g-mean,0.8062669639141765
2,webpage,bagging,random,2,-1,precision,0.9897073959711807
2,webpage,bagging,random,2,-1,recall,0.9957100591715976
2,webpage,bagging,random,2,-1,f1-score,0.9926996534178896
2,webpage,bagging,random,2,1,precision,0.8129032258064516
2,webpage,bagging,random,2,1,recall,0.6428571428571429
2,webpage,bagging,random,2,1,f1-score,0.717948717948718
2,webpage,bagging,random,2,all,accuracy,0.9857676825761932
2,webpage,bagging,random,2,all,precision,0.9013053108888162
2,webpage,bagging,random,2,all,recall,0.8192836010143703
2,webpage,bagging,random,2,all,f1-score,0.8553241856833038
2,webpage,bagging,random,2,all,auc,0.9610297669363603
2,webpage,bagging,random,2,all,g-mean,0.8000620749374201
3,webpage,bagging,random,3,-1,precision,0.9897104218727032
3,webpage,bagging,random,3,-1,recall,0.9960059171597633
3,webpage,bagging,random,3,-1,f1-score,0.9928481899284819
3,webpage,bagging,random,3,1,precision,0.8235294117647058
3,webpage,bagging,random,3,1,recall,0.6428571428571429
3,webpage,bagging,random,3,1,f1-score,0.7220630372492837
3,webpage,bagging,random,3,all,accuracy,0.9860552041403106
3,webpage,bagging,random,3,all,precision,0.9066199168187046
3,webpage,bagging,random,3,all,recall,0.8194315300084531
3,webpage,bagging,random,3,all,f1-score,0.8574556135888828
3,webpage,bagging,random,3,all,auc,0.9577123082960995
3,webpage,bagging,random,3,all,g-mean,0.8001809283994049
4,webpage,bagging,random,4,-1,precision,0.9894133215703573
4,webpage,bagging,random,4,-1,recall,0.9954142011834319
4,webpage,bagging,random,4,-1,f1-score,0.9924046899196225
4,webpage,bagging,random,4,1,precision,0.8
4,webpage,bagging,random,4,1,recall,0.6326530612244898
4,webpage,bagging,random,4,1,f1-score,0.7065527065527065
4,webpage,bagging,random,4,all,accuracy,0.9851926394479587
4,webpage,bagging,random,4,all,precision,0.8947066607851787
4,webpage,bagging,random,4,all,recall,0.8140336312039609
4,webpage,bagging,random,4,all,f1-score,0.8494786982361645
4,webpage,bagging,random,4,all,auc,0.9606482459847844
4,webpage,bagging,random,4,all,g-mean,0.7935690528019779
5,webpage,bagging,random,5,-1,precision,0.9898454746136865
5,webpage,bagging,random,5,-1,recall,0.9949704142011835
5,webpage,bagging,random,5,-1,f1-score,0.9924013279232755
5,webpage,bagging,random,5,1,precision,0.7888198757763976
5,webpage,bagging,random,5,1,recall,0.6479591836734694
5,webpage,bagging,random,5,1,f1-score,0.711484593837535
5,webpage,bagging,random,5,all,accuracy,0.9851926394479587
5,webpage,bagging,random,5,all,precision,0.8893326751950421
5,webpage,bagging,random,5,all,recall,0.8214647989373265
5,webpage,bagging,random,5,all,f1-score,0.8519429608804052
5,webpage,bagging,random,5,all,auc,0.9578074055065815
5,webpage,bagging,random,5,all,g-mean,0.8029322620028744
6,webpage,bagging,random,6,-1,precision,0.9898559247280212
6,webpage,bagging,random,6,-1,recall,0.9960059171597633
6,webpage,bagging,random,6,-1,f1-score,0.9929213980238902
6,webpage,bagging,random,6,1,precision,0.8246753246753247
6,webpage,bagging,random,6,1,recall,0.6479591836734694
6,webpage,bagging,random,6,1,f1-score,0.7257142857142858
6,webpage,bagging,random,6,all,accuracy,0.9861989649223691
6,webpage,bagging,random,6,all,precision,0.9072656247016729
6,webpage,bagging,random,6,all,recall,0.8219825504166163
6,webpage,bagging,random,6,all,f1-score,0.859317841869088
6,webpage,bagging,random,6,all,auc,0.9614052499698105
6,webpage,bagging,random,6,all,g-mean,0.8033499741811071
7,webpage,bagging,random,7,-1,precision,0.9904327347659699
7,webpage,bagging,random,7,-1,recall,0.9954142011834319
7,webpage,bagging,random,7,-1,f1-score,0.9929172200088535
7,webpage,bagging,random,7,1,precision,0.808641975308642
7,webpage,bagging,random,7,1,recall,0.6683673469387755
7,webpage,bagging,random,7,1,f1-score,0.7318435754189944
7,webpage,bagging,random,7,all,accuracy,0.9861989649223691
7,webpage,bagging,random,7,all,precision,0.899537355037306
7,webpage,bagging,random,7,all,recall,0.8318907740611037
7,webpage,bagging,random,7,all,f1-score,0.8623803977139239
7,webpage,bagging,random,7,all,auc,0.9594142464678179
7,webpage,bagging,random,7,all,g-mean,0.8156606823613303
8,webpage,bagging,random,8,-1,precision,0.9898559247280212
8,webpage,bagging,random,8,-1,recall,0.9960059171597633
8,webpage,bagging,random,8,-1,f1-score,0.9929213980238902
8,webpage,bagging,random,8,1,precision,0.8246753246753247
8,webpage,bagging,random,8,1,recall,0.6479591836734694
8,webpage,bagging,random,8,1,f1-score,0.7257142857142858
8,webpage,bagging,random,8,all,accuracy,0.9861989649223691
8,webpage,bagging,random,8,all,precision,0.9072656247016729
8,webpage,bagging,random,8,all,recall,0.8219825504166163
8,webpage,bagging,random,8,all,f1-score,0.859317841869088
8,webpage,bagging,random,8,all,auc,0.9617965825383408
8,webpage,bagging,random,8,all,g-mean,0.8033499741811071
9,webpage,bagging,random,9,-1,precision,0.9899941141848146
9,webpage,bagging,random,9,-1,recall,0.9952662721893492
9,webpage,bagging,random,9,-1,f1-score,0.9926231926822071
9,webpage,bagging,random,9,1,precision,0.8
9,webpage,bagging,random,9,1,recall,0.6530612244897959
9,webpage,bagging,random,9,1,f1-score,0.7191011235955056
9,webpage,bagging,random,9,all,accuracy,0.9856239217941346
9,webpage,bagging,random,9,all,precision,0.8949970570924073
9,webpage,bagging,random,9,all,recall,0.8241637483395725
9,webpage,bagging,random,9,all,f1-score,0.8558621581388564
9,webpage,bagging,random,9,all,auc,0.9625120758362516
9,webpage,bagging,random,9,all,g-mean,0.8062070518231472
10,webpage,bagging,random,10,-1,precision,0.9897028537805237
10,webpage,bagging,random,10,-1,recall,0.9952662721893492
10,webpage,bagging,random,10,-1,f1-score,0.9924767664847323
10,webpage,bagging,random,10,1,precision,0.7974683544303798
10,webpage,bagging,random,10,1,recall,0.6428571428571429
10,webpage,bagging,random,10,1,f1-score,0.711864406779661
10,webpage,bagging,random,10,all,accuracy,0.9853364002300172
10,webpage,bagging,random,10,all,precision,0.8935856041054517
10,webpage,bagging,random,10,all,recall,0.819061707523246
10,webpage,bagging,random,10,all,f1-score,0.8521705866321967
10,webpage,bagging,random,10,all,auc,0.9616350682284748
10,webpage,bagging,random,10,all,g-mean,0.7998837616314789
11,webpage,bagging,random,11,-1,precision,0.9902941176470588
11,webpage,bagging,random,11,-1,recall,0.9961538461538462
11,webpage,bagging,random,11,-1,f1-score,0.9932153392330384
11,webpage,bagging,random,11,1,precision,0.8333333333333334
11,webpage,bagging,random,11,1,recall,0.6632653061224489
11,webpage,bagging,random,11,1,f1-score,0.7386363636363636
11,webpage,bagging,random,11,all,accuracy,0.9867740080506038
11,webpage,bagging,random,11,all,precision,0.9118137254901961
11,webpage,bagging,random,11,all,recall,0.8297095761381476
