forest_index,dataset,type,strategy,iteration,class,metric,value
0,webpage,bagging,random,0,-1,precision,0.99088637365868
0,webpage,bagging,random,0,-1,recall,0.9971893491124261
0,webpage,bagging,random,0,-1,f1-score,0.9940278699402787
0,webpage,bagging,random,0,1,precision,0.8758169934640523
0,webpage,bagging,random,0,1,recall,0.6836734693877551
0,webpage,bagging,random,0,1,f1-score,0.7679083094555874
0,webpage,bagging,random,0,all,accuracy,0.988355376653249
0,webpage,bagging,random,0,all,precision,0.9333516835613662
0,webpage,bagging,random,0,all,recall,0.8404314092500906
0,webpage,bagging,random,0,all,f1-score,0.880968089697933
0,webpage,bagging,random,0,all,auc,0.9742052590266876
0,webpage,bagging,random,0,all,g-mean,0.8256826884125703
1,webpage,bagging,random,1,-1,precision,0.9911751728195323
1,webpage,bagging,random,1,-1,recall,0.9968934911242604
1,webpage,bagging,random,1,-1,f1-score,0.9940261081200679
1,webpage,bagging,random,1,1,precision,0.8662420382165605
1,webpage,bagging,random,1,1,recall,0.6938775510204082
1,webpage,bagging,random,1,1,f1-score,0.7705382436260623
1,webpage,bagging,random,1,all,accuracy,0.988355376653249
1,webpage,bagging,random,1,all,precision,0.9287086055180465
1,webpage,bagging,random,1,all,recall,0.8453855210723342
1,webpage,bagging,random,1,all,f1-score,0.882282175873065
1,webpage,bagging,random,1,all,auc,0.969918337157348
1,webpage,bagging,random,1,all,g-mean,0.8316982711593711
2,webpage,bagging,random,2,-1,precision,0.9913222532725401
2,webpage,bagging,random,2,-1,recall,0.9970414201183432
2,webpage,bagging,random,2,-1,f1-score,0.994173611623276
2,webpage,bagging,random,2,1,precision,0.8726114649681529
2,webpage,bagging,random,2,1,recall,0.6989795918367347
2,webpage,bagging,random,2,1,f1-score,0.7762039660056658
2,webpage,bagging,random,2,all,accuracy,0.9886428982173663
2,webpage,bagging,random,2,all,precision,0.9319668591203465
2,webpage,bagging,random,2,all,recall,0.8480105059775389
2,webpage,bagging,random,2,all,f1-score,0.8851887888144709
2,webpage,bagging,random,2,all,auc,0.9738052469508514
2,webpage,bagging,random,2,all,g-mean,0.8348123171579573
3,webpage,bagging,random,3,-1,precision,0.9907393796854329
3,webpage,bagging,random,3,-1,recall,0.9970414201183432
3,webpage,bagging,random,3,-1,f1-score,0.9938804099388041
3,webpage,bagging,random,3,1,precision,0.869281045751634
3,webpage,bagging,random,3,1,recall,0.6785714285714286
3,webpage,bagging,random,3,1,f1-score,0.7621776504297995
3,webpage,bagging,random,3,all,accuracy,0.9880678550891316
3,webpage,bagging,random,3,all,precision,0.9300102127185335
3,webpage,bagging,random,3,all,recall,0.837806424344886
3,webpage,bagging,random,3,all,f1-score,0.8780290301843018
3,webpage,bagging,random,3,all,auc,0.9728029525419635
3,webpage,bagging,random,3,all,g-mean,0.8225349966989793
4,webpage,bagging,random,4,-1,precision,0.9914668235986465
4,webpage,bagging,random,4,-1,recall,0.9968934911242604
4,webpage,bagging,random,4,-1,f1-score,0.9941727520837943
4,webpage,bagging,random,4,1,precision,0.8679245283018868
4,webpage,bagging,random,4,1,recall,0.7040816326530612
4,webpage,bagging,random,4,1,f1-score,0.7774647887323943
4,webpage,bagging,random,4,all,accuracy,0.9886428982173663
4,webpage,bagging,random,4,all,precision,0.9296956759502666
4,webpage,bagging,random,4,all,recall,0.8504875618886608
4,webpage,bagging,random,4,all,f1-score,0.8858187704080943
4,webpage,bagging,random,4,all,auc,0.9770045888177756
4,webpage,bagging,random,4,all,g-mean,0.837791380244497
5,webpage,bagging,random,5,-1,precision,0.9908850338135843
5,webpage,bagging,random,5,-1,recall,0.9970414201183432
5,webpage,bagging,random,5,-1,f1-score,0.9939536941454062
5,webpage,bagging,random,5,1,precision,0.8701298701298701
5,webpage,bagging,random,5,1,recall,0.6836734693877551
5,webpage,bagging,random,5,1,f1-score,0.7657142857142857
5,webpage,bagging,random,5,all,accuracy,0.9882116158711903
5,webpage,bagging,random,5,all,precision,0.9305074519717271
5,webpage,bagging,random,5,all,recall,0.8403574447530491
5,webpage,bagging,random,5,all,f1-score,0.879833989929846
5,webpage,bagging,random,5,all,auc,0.9739086462987562
5,webpage,bagging,random,5,all,g-mean,0.8256214428026939
6,webpage,bagging,random,6,-1,precision,0.9916151809355693
6,webpage,bagging,random,6,-1,recall,0.9971893491124261
6,webpage,bagging,random,6,-1,f1-score,0.9943944534592123
6,webpage,bagging,random,6,1,precision,0.879746835443038
6,webpage,bagging,random,6,1,recall,0.7091836734693877
6,webpage,bagging,random,6,1,f1-score,0.7853107344632768
6,webpage,bagging,random,6,all,accuracy,0.9890741805635422
6,webpage,bagging,random,6,all,precision,0.9356810081893037
6,webpage,bagging,random,6,all,recall,0.853186511290907
6,webpage,bagging,random,6,all,f1-score,0.8898525939612445
6,webpage,bagging,random,6,all,auc,0.9743305458277985
6,webpage,bagging,random,6,all,g-mean,0.8409461372454826
7,webpage,bagging,random,7,-1,precision,0.991902237926973
7,webpage,bagging,random,7,-1,recall,0.9965976331360947
7,webpage,bagging,random,7,-1,f1-score,0.9942443919716647
7,webpage,bagging,random,7,1,precision,0.8597560975609756
7,webpage,bagging,random,7,1,recall,0.7193877551020408
7,webpage,bagging,random,7,1,f1-score,0.7833333333333333
7,webpage,bagging,random,7,all,accuracy,0.988786658999425
7,webpage,bagging,random,7,all,precision,0.9258291677439743
7,webpage,bagging,random,7,all,recall,0.8579926941190678
7,webpage,bagging,random,7,all,f1-score,0.888788862652499
7,webpage,bagging,random,7,all,auc,0.9768793020166646
7,webpage,bagging,random,7,all,g-mean,0.8467231743856917
8,webpage,bagging,random,8,-1,precision,0.9910333676319271
8,webpage,bagging,random,8,-1,recall,0.9973372781065089
8,webpage,bagging,random,8,-1,f1-score,0.9941753299417533
8,webpage,bagging,random,8,1,precision,0.8823529411764706
8,webpage,bagging,random,8,1,recall,0.6887755102040817
8,webpage,bagging,random,8,1,f1-score,0.7736389684813754
8,webpage,bagging,random,8,all,accuracy,0.9886428982173663
8,webpage,bagging,random,8,all,precision,0.9366931544041988
8,webpage,bagging,random,8,all,recall,0.8430563941552953
8,webpage,bagging,random,8,all,f1-score,0.8839071492115643
