forest_index,dataset,type,strategy,iteration,class,metric,value
0,wine_quality,bagging,random,0,-1,precision,0.9681724845995893
0,wine_quality,bagging,random,0,-1,recall,1.0
0,wine_quality,bagging,random,0,-1,f1-score,0.983828899321857
0,wine_quality,bagging,random,0,1,precision,1.0
0,wine_quality,bagging,random,0,1,recall,0.16216216216216217
0,wine_quality,bagging,random,0,1,f1-score,0.27906976744186046
0,wine_quality,bagging,random,0,all,accuracy,0.9683673469387755
0,wine_quality,bagging,random,0,all,precision,0.9840862422997947
0,wine_quality,bagging,random,0,all,recall,0.5810810810810811
0,wine_quality,bagging,random,0,all,f1-score,0.6314493333818587
0,wine_quality,bagging,random,0,all,auc,0.9149637442320369
0,wine_quality,bagging,random,0,all,g-mean,0.4026936331284146
1,wine_quality,bagging,random,1,-1,precision,0.9681724845995893
1,wine_quality,bagging,random,1,-1,recall,1.0
1,wine_quality,bagging,random,1,-1,f1-score,0.983828899321857
1,wine_quality,bagging,random,1,1,precision,1.0
1,wine_quality,bagging,random,1,1,recall,0.16216216216216217
1,wine_quality,bagging,random,1,1,f1-score,0.27906976744186046
1,wine_quality,bagging,random,1,all,accuracy,0.9683673469387755
1,wine_quality,bagging,random,1,all,precision,0.9840862422997947
1,wine_quality,bagging,random,1,all,recall,0.5810810810810811
1,wine_quality,bagging,random,1,all,f1-score,0.6314493333818587
1,wine_quality,bagging,random,1,all,auc,0.9014072396893182
1,wine_quality,bagging,random,1,all,g-mean,0.4026936331284146
2,wine_quality,bagging,random,2,-1,precision,0.9681069958847737
2,wine_quality,bagging,random,2,-1,recall,0.9978791092258749
2,wine_quality,bagging,random,2,-1,f1-score,0.9827676240208877
2,wine_quality,bagging,random,2,1,precision,0.75
2,wine_quality,bagging,random,2,1,recall,0.16216216216216217
2,wine_quality,bagging,random,2,1,f1-score,0.26666666666666666
2,wine_quality,bagging,random,2,all,accuracy,0.9663265306122449
2,wine_quality,bagging,random,2,all,precision,0.8590534979423868
2,wine_quality,bagging,random,2,all,recall,0.5800206356940185
2,wine_quality,bagging,random,2,all,f1-score,0.6247171453437772
2,wine_quality,bagging,random,2,all,auc,0.9045885758505059
2,wine_quality,bagging,random,2,all,g-mean,0.4022663718588968
3,wine_quality,bagging,random,3,-1,precision,0.9681397738951696
3,wine_quality,bagging,random,3,-1,recall,0.9989395546129375
3,wine_quality,bagging,random,3,-1,f1-score,0.9832985386221295
3,wine_quality,bagging,random,3,1,precision,0.8571428571428571
3,wine_quality,bagging,random,3,1,recall,0.16216216216216217
3,wine_quality,bagging,random,3,1,f1-score,0.2727272727272727
3,wine_quality,bagging,random,3,all,accuracy,0.9673469387755103
3,wine_quality,bagging,random,3,all,precision,0.9126413155190134
3,wine_quality,bagging,random,3,all,recall,0.5805508583875498
3,wine_quality,bagging,random,3,all,f1-score,0.628012905674701
3,wine_quality,bagging,random,3,all,auc,0.9113524977787968
3,wine_quality,bagging,random,3,all,g-mean,0.40248005918969604
4,wine_quality,bagging,random,4,-1,precision,0.9681069958847737
4,wine_quality,bagging,random,4,-1,recall,0.9978791092258749
4,wine_quality,bagging,random,4,-1,f1-score,0.9827676240208877
4,wine_quality,bagging,random,4,1,precision,0.75
4,wine_quality,bagging,random,4,1,recall,0.16216216216216217
4,wine_quality,bagging,random,4,1,f1-score,0.26666666666666666
4,wine_quality,bagging,random,4,all,accuracy,0.9663265306122449
4,wine_quality,bagging,random,4,all,precision,0.8590534979423868
4,wine_quality,bagging,random,4,all,recall,0.5800206356940185
4,wine_quality,bagging,random,4,all,f1-score,0.6247171453437772
4,wine_quality,bagging,random,4,all,auc,0.9023100513026282
4,wine_quality,bagging,random,4,all,g-mean,0.4022663718588968
5,wine_quality,bagging,random,5,-1,precision,0.9681397738951696
5,wine_quality,bagging,random,5,-1,recall,0.9989395546129375
5,wine_quality,bagging,random,5,-1,f1-score,0.9832985386221295
5,wine_quality,bagging,random,5,1,precision,0.8571428571428571
5,wine_quality,bagging,random,5,1,recall,0.16216216216216217
5,wine_quality,bagging,random,5,1,f1-score,0.2727272727272727
5,wine_quality,bagging,random,5,all,accuracy,0.9673469387755103
5,wine_quality,bagging,random,5,all,precision,0.9126413155190134
5,wine_quality,bagging,random,5,all,recall,0.5805508583875498
5,wine_quality,bagging,random,5,all,f1-score,0.628012905674701
5,wine_quality,bagging,random,5,all,auc,0.8868906021610158
5,wine_quality,bagging,random,5,all,g-mean,0.40248005918969604
6,wine_quality,bagging,random,6,-1,precision,0.9681397738951696
6,wine_quality,bagging,random,6,-1,recall,0.9989395546129375
6,wine_quality,bagging,random,6,-1,f1-score,0.9832985386221295
6,wine_quality,bagging,random,6,1,precision,0.8571428571428571
6,wine_quality,bagging,random,6,1,recall,0.16216216216216217
6,wine_quality,bagging,random,6,1,f1-score,0.2727272727272727
6,wine_quality,bagging,random,6,all,accuracy,0.9673469387755103
6,wine_quality,bagging,random,6,all,precision,0.9126413155190134
6,wine_quality,bagging,random,6,all,recall,0.5805508583875498
6,wine_quality,bagging,random,6,all,f1-score,0.628012905674701
6,wine_quality,bagging,random,6,all,auc,0.9075979478948727
6,wine_quality,bagging,random,6,all,g-mean,0.40248005918969604
7,wine_quality,bagging,random,7,-1,precision,0.9681724845995893
7,wine_quality,bagging,random,7,-1,recall,1.0
7,wine_quality,bagging,random,7,-1,f1-score,0.983828899321857
7,wine_quality,bagging,random,7,1,precision,1.0
7,wine_quality,bagging,random,7,1,recall,0.16216216216216217
7,wine_quality,bagging,random,7,1,f1-score,0.27906976744186046
7,wine_quality,bagging,random,7,all,accuracy,0.9683673469387755
7,wine_quality,bagging,random,7,all,precision,0.9840862422997947
7,wine_quality,bagging,random,7,all,recall,0.5810810810810811
7,wine_quality,bagging,random,7,all,f1-score,0.6314493333818587
7,wine_quality,bagging,random,7,all,auc,0.9046745579089163
7,wine_quality,bagging,random,7,all,g-mean,0.4026936331284146
8,wine_quality,bagging,random,8,-1,precision,0.9671120246659815
8,wine_quality,bagging,random,8,-1,recall,0.9978791092258749
8,wine_quality,bagging,random,8,-1,f1-score,0.9822546972860126
8,wine_quality,bagging,random,8,1,precision,0.7142857142857143
8,wine_quality,bagging,random,8,1,recall,0.13513513513513514
8,wine_quality,bagging,random,8,1,f1-score,0.22727272727272727
8,wine_quality,bagging,random,8,all,accuracy,0.9653061224489796
8,wine_quality,bagging,random,8,all,precision,0.8406988694758479
8,wine_quality,bagging,random,8,all,recall,0.566507122180505
8,wine_quality,bagging,random,8,all,f1-score,0.6047637122793699
8,wine_quality,bagging,random,8,all,auc,0.9155512882978418
8,wine_quality,bagging,random,8,all,g-mean,0.3672172766547986
9,wine_quality,bagging,random,9,-1,precision,0.9670781893004116
9,wine_quality,bagging,random,9,-1,recall,0.9968186638388123
9,wine_quality,bagging,random,9,-1,f1-score,0.9817232375979112
9,wine_quality,bagging,random,9,1,precision,0.625
9,wine_quality,bagging,random,9,1,recall,0.13513513513513514
9,wine_quality,bagging,random,9,1,f1-score,0.2222222222222222
9,wine_quality,bagging,random,9,all,accuracy,0.9642857142857143
9,wine_quality,bagging,random,9,all,precision,0.7960390946502058
9,wine_quality,bagging,random,9,all,recall,0.5659768994869737
9,wine_quality,bagging,random,9,all,f1-score,0.6019727299100668
9,wine_quality,bagging,random,9,all,auc,0.8999885357255453
9,wine_quality,bagging,random,9,all,g-mean,0.36702210402519736
10,wine_quality,bagging,random,10,-1,precision,0.9681397738951696
10,wine_quality,bagging,random,10,-1,recall,0.9989395546129375
10,wine_quality,bagging,random,10,-1,f1-score,0.9832985386221295
10,wine_quality,bagging,random,10,1,precision,0.8571428571428571
10,wine_quality,bagging,random,10,1,recall,0.16216216216216217
10,wine_quality,bagging,random,10,1,f1-score,0.2727272727272727
10,wine_quality,bagging,random,10,all,accuracy,0.9673469387755103
10,wine_quality,bagging,random,10,all,precision,0.9126413155190134
10,wine_quality,bagging,random,10,all,recall,0.5805508583875498
