forest_index,dataset,type,strategy,iteration,class,metric,value
0,wine_quality,bagging,random,0,-1,precision,0.9701338825952626
0,wine_quality,bagging,random,0,-1,recall,0.9989395546129375
0,wine_quality,bagging,random,0,-1,f1-score,0.9843260188087775
0,wine_quality,bagging,random,0,1,precision,0.8888888888888888
0,wine_quality,bagging,random,0,1,recall,0.21621621621621623
0,wine_quality,bagging,random,0,1,f1-score,0.34782608695652173
0,wine_quality,bagging,random,0,all,accuracy,0.9693877551020408
0,wine_quality,bagging,random,0,all,precision,0.9295113857420757
0,wine_quality,bagging,random,0,all,recall,0.6075778854145768
0,wine_quality,bagging,random,0,all,f1-score,0.6660760528826496
0,wine_quality,bagging,random,0,all,auc,0.8544896964833338
0,wine_quality,bagging,random,0,all,g-mean,0.46474394103325506
1,wine_quality,bagging,random,1,-1,precision,0.9701338825952626
1,wine_quality,bagging,random,1,-1,recall,0.9989395546129375
1,wine_quality,bagging,random,1,-1,f1-score,0.9843260188087775
1,wine_quality,bagging,random,1,1,precision,0.8888888888888888
1,wine_quality,bagging,random,1,1,recall,0.21621621621621623
1,wine_quality,bagging,random,1,1,f1-score,0.34782608695652173
1,wine_quality,bagging,random,1,all,accuracy,0.9693877551020408
1,wine_quality,bagging,random,1,all,precision,0.9295113857420757
1,wine_quality,bagging,random,1,all,recall,0.6075778854145768
1,wine_quality,bagging,random,1,all,f1-score,0.6660760528826496
1,wine_quality,bagging,random,1,all,auc,0.865008168295549
1,wine_quality,bagging,random,1,all,g-mean,0.46474394103325506
2,wine_quality,bagging,random,2,-1,precision,0.9711637487126673
2,wine_quality,bagging,random,2,-1,recall,1.0
2,wine_quality,bagging,random,2,-1,f1-score,0.9853709508881923
2,wine_quality,bagging,random,2,1,precision,1.0
2,wine_quality,bagging,random,2,1,recall,0.24324324324324326
2,wine_quality,bagging,random,2,1,f1-score,0.391304347826087
2,wine_quality,bagging,random,2,all,accuracy,0.9714285714285714
2,wine_quality,bagging,random,2,all,precision,0.9855818743563336
2,wine_quality,bagging,random,2,all,recall,0.6216216216216216
2,wine_quality,bagging,random,2,all,f1-score,0.6883376493571396
2,wine_quality,bagging,random,2,all,auc,0.889255108767304
2,wine_quality,bagging,random,2,all,g-mean,0.4931969619160719
3,wine_quality,bagging,random,3,-1,precision,0.9701338825952626
3,wine_quality,bagging,random,3,-1,recall,0.9989395546129375
3,wine_quality,bagging,random,3,-1,f1-score,0.9843260188087775
3,wine_quality,bagging,random,3,1,precision,0.8888888888888888
3,wine_quality,bagging,random,3,1,recall,0.21621621621621623
3,wine_quality,bagging,random,3,1,f1-score,0.34782608695652173
3,wine_quality,bagging,random,3,all,accuracy,0.9693877551020408
3,wine_quality,bagging,random,3,all,precision,0.9295113857420757
3,wine_quality,bagging,random,3,all,recall,0.6075778854145768
