forest_index,dataset,type,strategy,iteration,class,metric,value
0,ecoli,bagging,BorderlineSMOTE,0,-1,precision,0.9830508474576272
0,ecoli,bagging,BorderlineSMOTE,0,-1,recall,0.9508196721311475
0,ecoli,bagging,BorderlineSMOTE,0,1,precision,0.6666666666666666
0,ecoli,bagging,BorderlineSMOTE,0,1,recall,0.8571428571428571
0,ecoli,bagging,BorderlineSMOTE,0,all,precision,0.8248587570621468
0,ecoli,bagging,BorderlineSMOTE,0,all,recall,0.9039812646370022
1,ecoli,bagging,BorderlineSMOTE,1,-1,precision,0.9523809523809523
1,ecoli,bagging,BorderlineSMOTE,1,-1,recall,0.9836065573770492
1,ecoli,bagging,BorderlineSMOTE,1,1,precision,0.8
1,ecoli,bagging,BorderlineSMOTE,1,1,recall,0.5714285714285714
1,ecoli,bagging,BorderlineSMOTE,1,all,precision,0.8761904761904762
1,ecoli,bagging,BorderlineSMOTE,1,all,recall,0.7775175644028103
2,ecoli,bagging,BorderlineSMOTE,2,-1,precision,0.921875
2,ecoli,bagging,BorderlineSMOTE,2,-1,recall,0.9672131147540983
2,ecoli,bagging,BorderlineSMOTE,2,1,precision,0.5
2,ecoli,bagging,BorderlineSMOTE,2,1,recall,0.2857142857142857
2,ecoli,bagging,BorderlineSMOTE,2,all,precision,0.7109375
2,ecoli,bagging,BorderlineSMOTE,2,all,recall,0.626463700234192
3,ecoli,bagging,BorderlineSMOTE,3,-1,precision,0.9516129032258065
3,ecoli,bagging,BorderlineSMOTE,3,-1,recall,0.9672131147540983
3,ecoli,bagging,BorderlineSMOTE,3,1,precision,0.6666666666666666
3,ecoli,bagging,BorderlineSMOTE,3,1,recall,0.5714285714285714
3,ecoli,bagging,BorderlineSMOTE,3,all,precision,0.8091397849462365
3,ecoli,bagging,BorderlineSMOTE,3,all,recall,0.7693208430913349
4,ecoli,bagging,BorderlineSMOTE,4,-1,precision,0.9375
4,ecoli,bagging,BorderlineSMOTE,4,-1,recall,0.9836065573770492
4,ecoli,bagging,BorderlineSMOTE,4,1,precision,0.75
4,ecoli,bagging,BorderlineSMOTE,4,1,recall,0.42857142857142855
4,ecoli,bagging,BorderlineSMOTE,4,all,precision,0.84375
4,ecoli,bagging,BorderlineSMOTE,4,all,recall,0.7060889929742389
5,ecoli,bagging,BorderlineSMOTE,5,-1,precision,0.9830508474576272
5,ecoli,bagging,BorderlineSMOTE,5,-1,recall,0.9508196721311475
5,ecoli,bagging,BorderlineSMOTE,5,1,precision,0.6666666666666666
5,ecoli,bagging,BorderlineSMOTE,5,1,recall,0.8571428571428571
5,ecoli,bagging,BorderlineSMOTE,5,all,precision,0.8248587570621468
5,ecoli,bagging,BorderlineSMOTE,5,all,recall,0.9039812646370022
6,ecoli,bagging,BorderlineSMOTE,6,-1,precision,0.9838709677419355
6,ecoli,bagging,BorderlineSMOTE,6,-1,recall,1.0
6,ecoli,bagging,BorderlineSMOTE,6,1,precision,1.0
6,ecoli,bagging,BorderlineSMOTE,6,1,recall,0.8571428571428571
6,ecoli,bagging,BorderlineSMOTE,6,all,precision,0.9919354838709677
6,ecoli,bagging,BorderlineSMOTE,6,all,recall,0.9285714285714286
7,ecoli,bagging,BorderlineSMOTE,7,-1,precision,0.9666666666666667
7,ecoli,bagging,BorderlineSMOTE,7,-1,recall,0.9508196721311475
7,ecoli,bagging,BorderlineSMOTE,7,1,precision,0.625
7,ecoli,bagging,BorderlineSMOTE,7,1,recall,0.7142857142857143
7,ecoli,bagging,BorderlineSMOTE,7,all,precision,0.7958333333333334
7,ecoli,bagging,BorderlineSMOTE,7,all,recall,0.8325526932084308
8,ecoli,bagging,BorderlineSMOTE,8,-1,precision,0.9491525423728814
8,ecoli,bagging,BorderlineSMOTE,8,-1,recall,0.9180327868852459
8,ecoli,bagging,BorderlineSMOTE,8,1,precision,0.4444444444444444
8,ecoli,bagging,BorderlineSMOTE,8,1,recall,0.5714285714285714
8,ecoli,bagging,BorderlineSMOTE,8,all,precision,0.6967984934086628
8,ecoli,bagging,BorderlineSMOTE,8,all,recall,0.7447306791569086
9,ecoli,bagging,BorderlineSMOTE,9,-1,precision,0.9830508474576272
9,ecoli,bagging,BorderlineSMOTE,9,-1,recall,0.9508196721311475
9,ecoli,bagging,BorderlineSMOTE,9,1,precision,0.6666666666666666
9,ecoli,bagging,BorderlineSMOTE,9,1,recall,0.8571428571428571
9,ecoli,bagging,BorderlineSMOTE,9,all,precision,0.8248587570621468
9,ecoli,bagging,BorderlineSMOTE,9,all,recall,0.9039812646370022
10,ecoli,bagging,BorderlineSMOTE,10,-1,precision,0.9661016949152542
10,ecoli,bagging,BorderlineSMOTE,10,-1,recall,0.9344262295081968
10,ecoli,bagging,BorderlineSMOTE,10,1,precision,0.5555555555555556
10,ecoli,bagging,BorderlineSMOTE,10,1,recall,0.7142857142857143
10,ecoli,bagging,BorderlineSMOTE,10,all,precision,0.7608286252354048
10,ecoli,bagging,BorderlineSMOTE,10,all,recall,0.8243559718969555
11,ecoli,bagging,BorderlineSMOTE,11,-1,precision,0.9384615384615385
11,ecoli,bagging,BorderlineSMOTE,11,-1,recall,1.0
11,ecoli,bagging,BorderlineSMOTE,11,1,precision,1.0
11,ecoli,bagging,BorderlineSMOTE,11,1,recall,0.42857142857142855
11,ecoli,bagging,BorderlineSMOTE,11,all,precision,0.9692307692307692
11,ecoli,bagging,BorderlineSMOTE,11,all,recall,0.7142857142857143
12,ecoli,bagging,BorderlineSMOTE,12,-1,precision,0.90625
12,ecoli,bagging,BorderlineSMOTE,12,-1,recall,0.9508196721311475
12,ecoli,bagging,BorderlineSMOTE,12,1,precision,0.25
12,ecoli,bagging,BorderlineSMOTE,12,1,recall,0.14285714285714285
12,ecoli,bagging,BorderlineSMOTE,12,all,precision,0.578125
12,ecoli,bagging,BorderlineSMOTE,12,all,recall,0.5468384074941451
13,ecoli,bagging,BorderlineSMOTE,13,-1,precision,0.9365079365079365
13,ecoli,bagging,BorderlineSMOTE,13,-1,recall,0.9672131147540983
13,ecoli,bagging,BorderlineSMOTE,13,1,precision,0.6
13,ecoli,bagging,BorderlineSMOTE,13,1,recall,0.42857142857142855
13,ecoli,bagging,BorderlineSMOTE,13,all,precision,0.7682539682539682
13,ecoli,bagging,BorderlineSMOTE,13,all,recall,0.6978922716627635
14,ecoli,bagging,BorderlineSMOTE,14,-1,precision,0.9230769230769231
14,ecoli,bagging,BorderlineSMOTE,14,-1,recall,0.9836065573770492
14,ecoli,bagging,BorderlineSMOTE,14,1,precision,0.6666666666666666
14,ecoli,bagging,BorderlineSMOTE,14,1,recall,0.2857142857142857
14,ecoli,bagging,BorderlineSMOTE,14,all,precision,0.7948717948717949
14,ecoli,bagging,BorderlineSMOTE,14,all,recall,0.6346604215456675
15,ecoli,bagging,BorderlineSMOTE,15,-1,precision,0.9365079365079365
15,ecoli,bagging,BorderlineSMOTE,15,-1,recall,0.9672131147540983
15,ecoli,bagging,BorderlineSMOTE,15,1,precision,0.6
15,ecoli,bagging,BorderlineSMOTE,15,1,recall,0.42857142857142855
15,ecoli,bagging,BorderlineSMOTE,15,all,precision,0.7682539682539682
15,ecoli,bagging,BorderlineSMOTE,15,all,recall,0.6978922716627635
16,ecoli,bagging,BorderlineSMOTE,16,-1,precision,0.9672131147540983
16,ecoli,bagging,BorderlineSMOTE,16,-1,recall,0.9672131147540983
16,ecoli,bagging,BorderlineSMOTE,16,1,precision,0.7142857142857143
16,ecoli,bagging,BorderlineSMOTE,16,1,recall,0.7142857142857143
16,ecoli,bagging,BorderlineSMOTE,16,all,precision,0.8407494145199064
16,ecoli,bagging,BorderlineSMOTE,16,all,recall,0.8407494145199064
17,ecoli,bagging,BorderlineSMOTE,17,-1,precision,0.9354838709677419
17,ecoli,bagging,BorderlineSMOTE,17,-1,recall,0.9508196721311475
17,ecoli,bagging,BorderlineSMOTE,17,1,precision,0.5
17,ecoli,bagging,BorderlineSMOTE,17,1,recall,0.42857142857142855
17,ecoli,bagging,BorderlineSMOTE,17,all,precision,0.717741935483871
17,ecoli,bagging,BorderlineSMOTE,17,all,recall,0.689695550351288
18,ecoli,bagging,BorderlineSMOTE,18,-1,precision,0.9090909090909091
18,ecoli,bagging,BorderlineSMOTE,18,-1,recall,0.9836065573770492
18,ecoli,bagging,BorderlineSMOTE,18,1,precision,0.5
18,ecoli,bagging,BorderlineSMOTE,18,1,recall,0.14285714285714285
18,ecoli,bagging,BorderlineSMOTE,18,all,precision,0.7045454545454546
18,ecoli,bagging,BorderlineSMOTE,18,all,recall,0.563231850117096
19,ecoli,bagging,BorderlineSMOTE,19,-1,precision,0.9672131147540983
19,ecoli,bagging,BorderlineSMOTE,19,-1,recall,0.9672131147540983
19,ecoli,bagging,BorderlineSMOTE,19,1,precision,0.7142857142857143
19,ecoli,bagging,BorderlineSMOTE,19,1,recall,0.7142857142857143
19,ecoli,bagging,BorderlineSMOTE,19,all,precision,0.8407494145199064
19,ecoli,bagging,BorderlineSMOTE,19,all,recall,0.8407494145199064
20,ecoli,bagging,BorderlineSMOTE,20,-1,precision,0.9354838709677419
20,ecoli,bagging,BorderlineSMOTE,20,-1,recall,0.9508196721311475
20,ecoli,bagging,BorderlineSMOTE,20,1,precision,0.5
20,ecoli,bagging,BorderlineSMOTE,20,1,recall,0.42857142857142855
20,ecoli,bagging,BorderlineSMOTE,20,all,precision,0.717741935483871
20,ecoli,bagging,BorderlineSMOTE,20,all,recall,0.689695550351288
21,ecoli,bagging,BorderlineSMOTE,21,-1,precision,0.9516129032258065
21,ecoli,bagging,BorderlineSMOTE,21,-1,recall,0.9672131147540983
21,ecoli,bagging,BorderlineSMOTE,21,1,precision,0.6666666666666666
21,ecoli,bagging,BorderlineSMOTE,21,1,recall,0.5714285714285714
21,ecoli,bagging,BorderlineSMOTE,21,all,precision,0.8091397849462365
21,ecoli,bagging,BorderlineSMOTE,21,all,recall,0.7693208430913349
22,ecoli,bagging,BorderlineSMOTE,22,-1,precision,0.9824561403508771
22,ecoli,bagging,BorderlineSMOTE,22,-1,recall,0.9180327868852459
22,ecoli,bagging,BorderlineSMOTE,22,1,precision,0.5454545454545454
22,ecoli,bagging,BorderlineSMOTE,22,1,recall,0.8571428571428571
22,ecoli,bagging,BorderlineSMOTE,22,all,precision,0.7639553429027113
22,ecoli,bagging,BorderlineSMOTE,22,all,recall,0.8875878220140515
23,ecoli,bagging,BorderlineSMOTE,23,-1,precision,0.9682539682539683
23,ecoli,bagging,BorderlineSMOTE,23,-1,recall,1.0
23,ecoli,bagging,BorderlineSMOTE,23,1,precision,1.0
23,ecoli,bagging,BorderlineSMOTE,23,1,recall,0.7142857142857143
23,ecoli,bagging,BorderlineSMOTE,23,all,precision,0.9841269841269842
23,ecoli,bagging,BorderlineSMOTE,23,all,recall,0.8571428571428572
24,ecoli,bagging,BorderlineSMOTE,24,-1,precision,0.9666666666666667
24,ecoli,bagging,BorderlineSMOTE,24,-1,recall,0.9508196721311475
24,ecoli,bagging,BorderlineSMOTE,24,1,precision,0.625
24,ecoli,bagging,BorderlineSMOTE,24,1,recall,0.7142857142857143
24,ecoli,bagging,BorderlineSMOTE,24,all,precision,0.7958333333333334
24,ecoli,bagging,BorderlineSMOTE,24,all,recall,0.8325526932084308
25,ecoli,bagging,BorderlineSMOTE,25,-1,precision,0.9661016949152542
25,ecoli,bagging,BorderlineSMOTE,25,-1,recall,0.9344262295081968
25,ecoli,bagging,BorderlineSMOTE,25,1,precision,0.5555555555555556
25,ecoli,bagging,BorderlineSMOTE,25,1,recall,0.7142857142857143
25,ecoli,bagging,BorderlineSMOTE,25,all,precision,0.7608286252354048
25,ecoli,bagging,BorderlineSMOTE,25,all,recall,0.8243559718969555
26,ecoli,bagging,BorderlineSMOTE,26,-1,precision,0.9508196721311475
26,ecoli,bagging,BorderlineSMOTE,26,-1,recall,0.9508196721311475
26,ecoli,bagging,BorderlineSMOTE,26,1,precision,0.5714285714285714
26,ecoli,bagging,BorderlineSMOTE,26,1,recall,0.5714285714285714
26,ecoli,bagging,BorderlineSMOTE,26,all,precision,0.7611241217798594
26,ecoli,bagging,BorderlineSMOTE,26,all,recall,0.7611241217798594
27,ecoli,bagging,BorderlineSMOTE,27,-1,precision,0.9333333333333333
27,ecoli,bagging,BorderlineSMOTE,27,-1,recall,0.9180327868852459
27,ecoli,bagging,BorderlineSMOTE,27,1,precision,0.375
27,ecoli,bagging,BorderlineSMOTE,27,1,recall,0.42857142857142855
27,ecoli,bagging,BorderlineSMOTE,27,all,precision,0.6541666666666667
27,ecoli,bagging,BorderlineSMOTE,27,all,recall,0.6733021077283372
28,ecoli,bagging,BorderlineSMOTE,28,-1,precision,0.9491525423728814
28,ecoli,bagging,BorderlineSMOTE,28,-1,recall,0.9180327868852459
28,ecoli,bagging,BorderlineSMOTE,28,1,precision,0.4444444444444444
28,ecoli,bagging,BorderlineSMOTE,28,1,recall,0.5714285714285714
28,ecoli,bagging,BorderlineSMOTE,28,all,precision,0.6967984934086628
28,ecoli,bagging,BorderlineSMOTE,28,all,recall,0.7447306791569086
29,ecoli,bagging,BorderlineSMOTE,29,-1,precision,0.9104477611940298
29,ecoli,bagging,BorderlineSMOTE,29,-1,recall,1.0
