forest_index,dataset,type,strategy,iteration,class,metric,value
0,oil,bagging,BorderlineSMOTE,0,-1,precision,0.9781420765027322
0,oil,bagging,BorderlineSMOTE,0,-1,recall,0.9944444444444445
0,oil,bagging,BorderlineSMOTE,0,1,precision,0.8
0,oil,bagging,BorderlineSMOTE,0,1,recall,0.5
0,oil,bagging,BorderlineSMOTE,0,all,precision,0.8890710382513661
0,oil,bagging,BorderlineSMOTE,0,all,recall,0.7472222222222222
1,oil,bagging,BorderlineSMOTE,1,-1,precision,0.9574468085106383
1,oil,bagging,BorderlineSMOTE,1,-1,recall,1.0
1,oil,bagging,BorderlineSMOTE,1,1,precision,0.0
1,oil,bagging,BorderlineSMOTE,1,1,recall,0.0
1,oil,bagging,BorderlineSMOTE,1,all,precision,0.4787234042553192
1,oil,bagging,BorderlineSMOTE,1,all,recall,0.5
2,oil,bagging,BorderlineSMOTE,2,-1,precision,0.9675675675675676
2,oil,bagging,BorderlineSMOTE,2,-1,recall,0.9944444444444445
2,oil,bagging,BorderlineSMOTE,2,1,precision,0.6666666666666666
2,oil,bagging,BorderlineSMOTE,2,1,recall,0.25
2,oil,bagging,BorderlineSMOTE,2,all,precision,0.8171171171171171
2,oil,bagging,BorderlineSMOTE,2,all,recall,0.6222222222222222
3,oil,bagging,BorderlineSMOTE,3,-1,precision,0.967741935483871
3,oil,bagging,BorderlineSMOTE,3,-1,recall,1.0
3,oil,bagging,BorderlineSMOTE,3,1,precision,1.0
3,oil,bagging,BorderlineSMOTE,3,1,recall,0.25
3,oil,bagging,BorderlineSMOTE,3,all,precision,0.9838709677419355
3,oil,bagging,BorderlineSMOTE,3,all,recall,0.625
4,oil,bagging,BorderlineSMOTE,4,-1,precision,0.9782608695652174
4,oil,bagging,BorderlineSMOTE,4,-1,recall,1.0
4,oil,bagging,BorderlineSMOTE,4,1,precision,1.0
4,oil,bagging,BorderlineSMOTE,4,1,recall,0.5
4,oil,bagging,BorderlineSMOTE,4,all,precision,0.9891304347826086
4,oil,bagging,BorderlineSMOTE,4,all,recall,0.75
5,oil,bagging,BorderlineSMOTE,5,-1,precision,0.967741935483871
5,oil,bagging,BorderlineSMOTE,5,-1,recall,1.0
5,oil,bagging,BorderlineSMOTE,5,1,precision,1.0
5,oil,bagging,BorderlineSMOTE,5,1,recall,0.25
5,oil,bagging,BorderlineSMOTE,5,all,precision,0.9838709677419355
5,oil,bagging,BorderlineSMOTE,5,all,recall,0.625
6,oil,bagging,BorderlineSMOTE,6,-1,precision,0.9623655913978495
6,oil,bagging,BorderlineSMOTE,6,-1,recall,0.9944444444444445
6,oil,bagging,BorderlineSMOTE,6,1,precision,0.5
6,oil,bagging,BorderlineSMOTE,6,1,recall,0.125
6,oil,bagging,BorderlineSMOTE,6,all,precision,0.7311827956989247
6,oil,bagging,BorderlineSMOTE,6,all,recall,0.5597222222222222
7,oil,bagging,BorderlineSMOTE,7,-1,precision,0.9572192513368984
7,oil,bagging,BorderlineSMOTE,7,-1,recall,0.9944444444444445
7,oil,bagging,BorderlineSMOTE,7,1,precision,0.0
7,oil,bagging,BorderlineSMOTE,7,1,recall,0.0
7,oil,bagging,BorderlineSMOTE,7,all,precision,0.4786096256684492
7,oil,bagging,BorderlineSMOTE,7,all,recall,0.49722222222222223
