forest_index,dataset,type,strategy,iteration,class,metric,value
0,thyroid_sick,bagging,BorderlineSMOTE,0,-1,precision,0.9901408450704225
0,thyroid_sick,bagging,BorderlineSMOTE,0,-1,recall,0.9915373765867419
0,thyroid_sick,bagging,BorderlineSMOTE,0,1,precision,0.8666666666666667
0,thyroid_sick,bagging,BorderlineSMOTE,0,1,recall,0.8478260869565217
0,thyroid_sick,bagging,BorderlineSMOTE,0,all,precision,0.9284037558685446
0,thyroid_sick,bagging,BorderlineSMOTE,0,all,recall,0.9196817317716318
1,thyroid_sick,bagging,BorderlineSMOTE,1,-1,precision,0.9846582984658299
1,thyroid_sick,bagging,BorderlineSMOTE,1,-1,recall,0.995768688293371
1,thyroid_sick,bagging,BorderlineSMOTE,1,1,precision,0.9210526315789473
1,thyroid_sick,bagging,BorderlineSMOTE,1,1,recall,0.7608695652173914
1,thyroid_sick,bagging,BorderlineSMOTE,1,all,precision,0.9528554650223886
1,thyroid_sick,bagging,BorderlineSMOTE,1,all,recall,0.8783191267553812
2,thyroid_sick,bagging,BorderlineSMOTE,2,-1,precision,0.9860917941585535
2,thyroid_sick,bagging,BorderlineSMOTE,2,-1,recall,1.0
2,thyroid_sick,bagging,BorderlineSMOTE,2,1,precision,1.0
2,thyroid_sick,bagging,BorderlineSMOTE,2,1,recall,0.782608695652174
2,thyroid_sick,bagging,BorderlineSMOTE,2,all,precision,0.9930458970792768
2,thyroid_sick,bagging,BorderlineSMOTE,2,all,recall,0.8913043478260869
3,thyroid_sick,bagging,BorderlineSMOTE,3,-1,precision,0.9833101529902643
3,thyroid_sick,bagging,BorderlineSMOTE,3,-1,recall,0.997179125528914
3,thyroid_sick,bagging,BorderlineSMOTE,3,1,precision,0.9444444444444444
3,thyroid_sick,bagging,BorderlineSMOTE,3,1,recall,0.7391304347826086
3,thyroid_sick,bagging,BorderlineSMOTE,3,all,precision,0.9638772987173543
3,thyroid_sick,bagging,BorderlineSMOTE,3,all,recall,0.8681547801557613
4,thyroid_sick,bagging,BorderlineSMOTE,4,-1,precision,0.9887482419127989
4,thyroid_sick,bagging,BorderlineSMOTE,4,-1,recall,0.9915373765867419
4,thyroid_sick,bagging,BorderlineSMOTE,4,1,precision,0.8636363636363636
4,thyroid_sick,bagging,BorderlineSMOTE,4,1,recall,0.8260869565217391
4,thyroid_sick,bagging,BorderlineSMOTE,4,all,precision,0.9261923027745813
4,thyroid_sick,bagging,BorderlineSMOTE,4,all,recall,0.9088121665542406
5,thyroid_sick,bagging,BorderlineSMOTE,5,-1,precision,0.9833564493758669
5,thyroid_sick,bagging,BorderlineSMOTE,5,-1,recall,1.0
5,thyroid_sick,bagging,BorderlineSMOTE,5,1,precision,1.0
5,thyroid_sick,bagging,BorderlineSMOTE,5,1,recall,0.7391304347826086
5,thyroid_sick,bagging,BorderlineSMOTE,5,all,precision,0.9916782246879334
5,thyroid_sick,bagging,BorderlineSMOTE,5,all,recall,0.8695652173913043
6,thyroid_sick,bagging,BorderlineSMOTE,6,-1,precision,0.9846796657381616
6,thyroid_sick,bagging,BorderlineSMOTE,6,-1,recall,0.997179125528914
6,thyroid_sick,bagging,BorderlineSMOTE,6,1,precision,0.9459459459459459
6,thyroid_sick,bagging,BorderlineSMOTE,6,1,recall,0.7608695652173914
