forest_index,dataset,type,strategy,iteration,class,metric,value
0,us_crime,bagging,BorderlineSMOTE,0,-1,precision,0.95
0,us_crime,bagging,BorderlineSMOTE,0,-1,recall,0.978319783197832
0,us_crime,bagging,BorderlineSMOTE,0,1,precision,0.5789473684210527
0,us_crime,bagging,BorderlineSMOTE,0,1,recall,0.36666666666666664
0,us_crime,bagging,BorderlineSMOTE,0,all,precision,0.7644736842105263
0,us_crime,bagging,BorderlineSMOTE,0,all,recall,0.6724932249322493
1,us_crime,bagging,BorderlineSMOTE,1,-1,precision,0.9448818897637795
1,us_crime,bagging,BorderlineSMOTE,1,-1,recall,0.975609756097561
1,us_crime,bagging,BorderlineSMOTE,1,1,precision,0.5
1,us_crime,bagging,BorderlineSMOTE,1,1,recall,0.3
1,us_crime,bagging,BorderlineSMOTE,1,all,precision,0.7224409448818898
1,us_crime,bagging,BorderlineSMOTE,1,all,recall,0.6378048780487805
2,us_crime,bagging,BorderlineSMOTE,2,-1,precision,0.9427083333333334
2,us_crime,bagging,BorderlineSMOTE,2,-1,recall,0.981029810298103
2,us_crime,bagging,BorderlineSMOTE,2,1,precision,0.5333333333333333
2,us_crime,bagging,BorderlineSMOTE,2,1,recall,0.26666666666666666
2,us_crime,bagging,BorderlineSMOTE,2,all,precision,0.7380208333333333
2,us_crime,bagging,BorderlineSMOTE,2,all,recall,0.6238482384823848
3,us_crime,bagging,BorderlineSMOTE,3,-1,precision,0.9556135770234987
3,us_crime,bagging,BorderlineSMOTE,3,-1,recall,0.991869918699187
3,us_crime,bagging,BorderlineSMOTE,3,1,precision,0.8125
3,us_crime,bagging,BorderlineSMOTE,3,1,recall,0.43333333333333335
3,us_crime,bagging,BorderlineSMOTE,3,all,precision,0.8840567885117494
3,us_crime,bagging,BorderlineSMOTE,3,all,recall,0.7126016260162602
4,us_crime,bagging,BorderlineSMOTE,4,-1,precision,0.948051948051948
4,us_crime,bagging,BorderlineSMOTE,4,-1,recall,0.989159891598916
4,us_crime,bagging,BorderlineSMOTE,4,1,precision,0.7142857142857143
4,us_crime,bagging,BorderlineSMOTE,4,1,recall,0.3333333333333333
4,us_crime,bagging,BorderlineSMOTE,4,all,precision,0.8311688311688312
4,us_crime,bagging,BorderlineSMOTE,4,all,recall,0.6612466124661247
5,us_crime,bagging,BorderlineSMOTE,5,-1,precision,0.955026455026455
5,us_crime,bagging,BorderlineSMOTE,5,-1,recall,0.978319783197832
5,us_crime,bagging,BorderlineSMOTE,5,1,precision,0.6190476190476191
5,us_crime,bagging,BorderlineSMOTE,5,1,recall,0.43333333333333335
5,us_crime,bagging,BorderlineSMOTE,5,all,precision,0.787037037037037
5,us_crime,bagging,BorderlineSMOTE,5,all,recall,0.7058265582655827
6,us_crime,bagging,BorderlineSMOTE,6,-1,precision,0.9502617801047121
6,us_crime,bagging,BorderlineSMOTE,6,-1,recall,0.983739837398374
6,us_crime,bagging,BorderlineSMOTE,6,1,precision,0.6470588235294118
6,us_crime,bagging,BorderlineSMOTE,6,1,recall,0.36666666666666664
6,us_crime,bagging,BorderlineSMOTE,6,all,precision,0.7986603018170619
6,us_crime,bagging,BorderlineSMOTE,6,all,recall,0.6752032520325203
7,us_crime,bagging,BorderlineSMOTE,7,-1,precision,0.95
7,us_crime,bagging,BorderlineSMOTE,7,-1,recall,0.978319783197832
7,us_crime,bagging,BorderlineSMOTE,7,1,precision,0.5789473684210527
7,us_crime,bagging,BorderlineSMOTE,7,1,recall,0.36666666666666664
7,us_crime,bagging,BorderlineSMOTE,7,all,precision,0.7644736842105263
7,us_crime,bagging,BorderlineSMOTE,7,all,recall,0.6724932249322493
8,us_crime,bagging,BorderlineSMOTE,8,-1,precision,0.95
8,us_crime,bagging,BorderlineSMOTE,8,-1,recall,0.978319783197832
8,us_crime,bagging,BorderlineSMOTE,8,1,precision,0.5789473684210527
8,us_crime,bagging,BorderlineSMOTE,8,1,recall,0.36666666666666664
8,us_crime,bagging,BorderlineSMOTE,8,all,precision,0.7644736842105263
8,us_crime,bagging,BorderlineSMOTE,8,all,recall,0.6724932249322493
9,us_crime,bagging,BorderlineSMOTE,9,-1,precision,0.9574468085106383
9,us_crime,bagging,BorderlineSMOTE,9,-1,recall,0.975609756097561
9,us_crime,bagging,BorderlineSMOTE,9,1,precision,0.6086956521739131
9,us_crime,bagging,BorderlineSMOTE,9,1,recall,0.4666666666666667
