forest_index,dataset,type,strategy,iteration,class,metric,value
0,wine_quality,bagging,BorderlineSMOTE,0,-1,precision,0.9740394600207685
0,wine_quality,bagging,BorderlineSMOTE,0,-1,recall,0.9946977730646872
0,wine_quality,bagging,BorderlineSMOTE,0,1,precision,0.7058823529411765
0,wine_quality,bagging,BorderlineSMOTE,0,1,recall,0.32432432432432434
0,wine_quality,bagging,BorderlineSMOTE,0,all,precision,0.8399609064809725
0,wine_quality,bagging,BorderlineSMOTE,0,all,recall,0.6595110486945057
1,wine_quality,bagging,BorderlineSMOTE,1,-1,precision,0.9678756476683937
1,wine_quality,bagging,BorderlineSMOTE,1,-1,recall,0.9904559915164369
1,wine_quality,bagging,BorderlineSMOTE,1,1,precision,0.4
1,wine_quality,bagging,BorderlineSMOTE,1,1,recall,0.16216216216216217
1,wine_quality,bagging,BorderlineSMOTE,1,all,precision,0.6839378238341969
1,wine_quality,bagging,BorderlineSMOTE,1,all,recall,0.5763090768392995
2,wine_quality,bagging,BorderlineSMOTE,2,-1,precision,0.968944099378882
2,wine_quality,bagging,BorderlineSMOTE,2,-1,recall,0.9925768822905621
2,wine_quality,bagging,BorderlineSMOTE,2,1,precision,0.5
2,wine_quality,bagging,BorderlineSMOTE,2,1,recall,0.1891891891891892
2,wine_quality,bagging,BorderlineSMOTE,2,all,precision,0.734472049689441
2,wine_quality,bagging,BorderlineSMOTE,2,all,recall,0.5908830357398757
3,wine_quality,bagging,BorderlineSMOTE,3,-1,precision,0.9689762150982419
3,wine_quality,bagging,BorderlineSMOTE,3,-1,recall,0.9936373276776246
3,wine_quality,bagging,BorderlineSMOTE,3,1,precision,0.5384615384615384
3,wine_quality,bagging,BorderlineSMOTE,3,1,recall,0.1891891891891892
3,wine_quality,bagging,BorderlineSMOTE,3,all,precision,0.7537188767798901
3,wine_quality,bagging,BorderlineSMOTE,3,all,recall,0.5914132584334069
4,wine_quality,bagging,BorderlineSMOTE,4,-1,precision,0.9749739311783108
4,wine_quality,bagging,BorderlineSMOTE,4,-1,recall,0.9915164369034994
4,wine_quality,bagging,BorderlineSMOTE,4,1,precision,0.6190476190476191
4,wine_quality,bagging,BorderlineSMOTE,4,1,recall,0.35135135135135137
4,wine_quality,bagging,BorderlineSMOTE,4,all,precision,0.7970107751129649
4,wine_quality,bagging,BorderlineSMOTE,4,all,recall,0.6714338941274254
5,wine_quality,bagging,BorderlineSMOTE,5,-1,precision,0.9719042663891779
5,wine_quality,bagging,BorderlineSMOTE,5,-1,recall,0.9904559915164369
