forest_index,dataset,type,strategy,iteration,class,metric,value
0,ecoli,bagging,BorderlineSMOTE,0,-1,precision,0.9516129032258065
0,ecoli,bagging,BorderlineSMOTE,0,-1,recall,0.9672131147540983
0,ecoli,bagging,BorderlineSMOTE,0,1,precision,0.6666666666666666
0,ecoli,bagging,BorderlineSMOTE,0,1,recall,0.5714285714285714
0,ecoli,bagging,BorderlineSMOTE,0,all,precision,0.8091397849462365
0,ecoli,bagging,BorderlineSMOTE,0,all,recall,0.7693208430913349
1,ecoli,bagging,BorderlineSMOTE,1,-1,precision,0.9508196721311475
1,ecoli,bagging,BorderlineSMOTE,1,-1,recall,0.9508196721311475
1,ecoli,bagging,BorderlineSMOTE,1,1,precision,0.5714285714285714
1,ecoli,bagging,BorderlineSMOTE,1,1,recall,0.5714285714285714
1,ecoli,bagging,BorderlineSMOTE,1,all,precision,0.7611241217798594
1,ecoli,bagging,BorderlineSMOTE,1,all,recall,0.7611241217798594
2,ecoli,bagging,BorderlineSMOTE,2,-1,precision,0.9482758620689655
2,ecoli,bagging,BorderlineSMOTE,2,-1,recall,0.9016393442622951
2,ecoli,bagging,BorderlineSMOTE,2,1,precision,0.4
2,ecoli,bagging,BorderlineSMOTE,2,1,recall,0.5714285714285714
2,ecoli,bagging,BorderlineSMOTE,2,all,precision,0.6741379310344828
2,ecoli,bagging,BorderlineSMOTE,2,all,recall,0.7365339578454333
3,ecoli,bagging,BorderlineSMOTE,3,-1,precision,0.9375
3,ecoli,bagging,BorderlineSMOTE,3,-1,recall,0.9836065573770492
3,ecoli,bagging,BorderlineSMOTE,3,1,precision,0.75
3,ecoli,bagging,BorderlineSMOTE,3,1,recall,0.42857142857142855
3,ecoli,bagging,BorderlineSMOTE,3,all,precision,0.84375
3,ecoli,bagging,BorderlineSMOTE,3,all,recall,0.7060889929742389
4,ecoli,bagging,BorderlineSMOTE,4,-1,precision,0.95
4,ecoli,bagging,BorderlineSMOTE,4,-1,recall,0.9344262295081968
4,ecoli,bagging,BorderlineSMOTE,4,1,precision,0.5
4,ecoli,bagging,BorderlineSMOTE,4,1,recall,0.5714285714285714
4,ecoli,bagging,BorderlineSMOTE,4,all,precision,0.725
